Orthogroup	L_sativa.proteins	A_hypochondriacus.proteins
OG0010809	Lsat_1_v5_gn_2_108120.1	AH001225-RA
OG0010810	Lsat_1_v5_gn_1_130260.1	AH021427-RA
OG0010811	Lsat_1_v5_gn_5_90820.3, Lsat_1_v5_gn_5_90820.1	AH007732-RA
OG0010812	Lsat_1_v5_gn_8_129441.1	AH000427-RA
OG0010813	Lsat_1_v5_gn_4_28301.1, Lsat_1_v5_gn_4_28301.2	AH000363-RA
OG0010814	Lsat_1_v5_gn_4_51441.1	AH013096-RA
OG0010815	Lsat_1_v5_gn_1_129921.1, Lsat_1_v5_gn_1_129921.3	AH021435-RA
OG0010816	Lsat_1_v5_gn_6_2981.2, Lsat_1_v5_gn_6_2981.1	AH018588-RA, AH018589-RA
OG0010817	Lsat_1_v5_gn_3_10301.3, Lsat_1_v5_gn_3_10301.1	AH018080-RA, AH011314-RA
OG0010818	Lsat_1_v5_gn_5_182580.1, Lsat_1_v5_gn_5_182580.3	AH010608-RA
OG0010819	Lsat_1_v5_gn_5_58820.1	AH017057-RA
OG0010821	Lsat_1_v5_gn_5_98501.3, Lsat_1_v5_gn_5_98501.4	AH014163-RA
OG0010822	Lsat_1_v5_gn_7_3821.1, Lsat_1_v5_gn_7_3821.3	AH009640-RA
OG0010823	Lsat_1_v5_gn_7_42600.3	AH020789-RA
OG0010824	Lsat_1_v5_gn_6_22161.1, Lsat_1_v5_gn_6_22161.4	AH019560-RA
OG0010825	Lsat_1_v5_gn_5_85520.1, Lsat_1_v5_gn_1_19521.1	AH020965-RA, AH014408-RA
OG0010826	Lsat_1_v5_gn_4_29561.1, Lsat_1_v5_gn_4_29561.3	AH012740-RA
OG0010827	Lsat_1_v5_gn_8_63881.1, Lsat_1_v5_gn_5_89380.1	AH014286-RA
OG0010828	Lsat_1_v5_gn_2_132020.1, Lsat_1_v5_gn_8_8621.2, Lsat_1_v5_gn_8_8621.1, Lsat_1_v5_gn_8_8621.3	AH012390-RA
OG0010829	Lsat_1_v5_gn_2_132660.3, Lsat_1_v5_gn_2_132660.1	AH019576-RA
OG0010831	Lsat_1_v5_gn_5_48820.1	AH016103-RA
OG0010832	Lsat_1_v5_gn_5_45400.1	AH009891-RA, AH006677-RA
OG0010834	Lsat_1_v5_gn_2_109441.3, Lsat_1_v5_gn_2_109441.1	AH016012-RA
OG0010835	Lsat_1_v5_gn_5_33680.1, Lsat_1_v5_gn_5_33680.2	AH014210-RA
OG0010836	Lsat_1_v5_gn_9_56840.1	AH019609-RA, AH019608-RA, AH012090-RA
OG0010837	Lsat_1_v5_gn_2_129520.2, Lsat_1_v5_gn_2_129520.1, Lsat_1_v5_gn_8_9361.1	AH012265-RA
OG0010838	Lsat_1_v5_gn_8_16540.1, Lsat_1_v5_gn_8_16540.3	AH018993-RA
OG0010839	Lsat_1_v5_gn_7_10320.1	AH023587-RA
OG0010840	Lsat_1_v5_gn_0_10701.1	AH010666-RA
OG0010841	Lsat_1_v5_gn_7_47900.1	AH020653-RA
OG0010842	Lsat_1_v5_gn_7_2180.1	AH009593-RA
OG0010843	Lsat_1_v5_gn_7_8881.3, Lsat_1_v5_gn_7_8881.1	AH009082-RA
OG0010844	Lsat_1_v5_gn_8_70560.1	AH019032-RA, AH015300-RA
OG0010845	Lsat_1_v5_gn_4_104581.1	AH002010-RA
OG0010846	Lsat_1_v5_gn_5_97060.3, Lsat_1_v5_gn_5_97060.1, Lsat_1_v5_gn_8_58900.2	AH014067-RA
OG0010847	Lsat_1_v5_gn_6_11181.4, Lsat_1_v5_gn_6_11181.5, Lsat_1_v5_gn_6_11181.1	AH016218-RA
OG0010848	Lsat_1_v5_gn_7_6381.1, Lsat_1_v5_gn_7_6341.1, Lsat_1_v5_gn_7_6341.3, Lsat_1_v5_gn_7_6361.1	AH009179-RA
OG0010849	Lsat_1_v5_gn_2_132960.1	AH012361-RA
OG0010850	Lsat_1_v5_gn_7_7441.1, Lsat_1_v5_gn_7_7441.2	AH020144-RA
OG0010851	Lsat_1_v5_gn_7_45681.2, Lsat_1_v5_gn_7_45681.1	AH014075-RA
OG0010852	Lsat_1_v5_gn_3_135401.1	AH009180-RA, AH023815-RA
OG0010853	Lsat_1_v5_gn_5_145141.3	AH020903-RA
OG0010854	Lsat_1_v5_gn_6_10640.1	AH018721-RA
OG0010855	Lsat_1_v5_gn_6_17281.1	AH014688-RA
OG0010858	Lsat_1_v5_gn_2_128640.3, Lsat_1_v5_gn_2_128640.1	AH012198-RA
OG0010859	Lsat_1_v5_gn_7_45801.2, Lsat_1_v5_gn_7_45801.1	AH020763-RA
OG0010860	Lsat_1_v5_gn_9_15461.1, Lsat_1_v5_gn_9_15461.2	AH017536-RA
OG0010861	Lsat_1_v5_gn_7_40700.1	AH020867-RA
OG0010863	Lsat_1_v5_gn_3_132380.1	AH009127-RA
OG0010864	Lsat_1_v5_gn_4_66521.1	AH023538-RA
OG0010865	Lsat_1_v5_gn_5_79280.1, Lsat_1_v5_gn_5_79280.3, Lsat_1_v5_gn_8_70361.1	AH015331-RA
OG0010866	Lsat_1_v5_gn_6_12060.1, Lsat_1_v5_gn_6_12060.2	AH018066-RA
OG0010867	Lsat_1_v5_gn_8_65481.2, Lsat_1_v5_gn_8_65481.1	AH014369-RA
OG0010868	Lsat_1_v5_gn_1_51040.3, Lsat_1_v5_gn_1_51040.1	AH019509-RA
OG0010869	Lsat_1_v5_gn_7_10260.1, Lsat_1_v5_gn_7_10260.3, Lsat_1_v5_gn_3_128400.1, Lsat_1_v5_gn_3_128400.2	AH009075-RA
OG0010870	Lsat_1_v5_gn_7_42880.1, Lsat_1_v5_gn_7_42880.3	AH020815-RA
OG0010871	Lsat_1_v5_gn_5_144781.1	AH020924-RA, AH014449-RA
OG0010872	Lsat_1_v5_gn_5_139160.1	AH014307-RA
OG0010873	Lsat_1_v5_gn_5_99040.1	AH014057-RA
OG0010874	Lsat_1_v5_gn_4_109181.3, Lsat_1_v5_gn_6_72980.1	AH003568-RA
OG0010875	Lsat_1_v5_gn_7_5301.3, Lsat_1_v5_gn_7_5301.1	AH009241-RA
OG0010876	Lsat_1_v5_gn_5_97440.1, Lsat_1_v5_gn_5_97440.2	AH020800-RA
OG0010877	Lsat_1_v5_gn_8_24340.3, Lsat_1_v5_gn_8_24340.1, Lsat_1_v5_gn_2_104161.3, Lsat_1_v5_gn_2_104161.1	AH010224-RA
OG0010878	Lsat_1_v5_gn_3_22540.1	AH018984-RA
OG0010879	Lsat_1_v5_gn_6_69441.1, Lsat_1_v5_gn_6_63921.1	AH015564-RA, AH020842-RA
OG0010880	Lsat_1_v5_gn_6_15221.1	AH018505-RA
OG0010881	Lsat_1_v5_gn_5_134400.3, Lsat_1_v5_gn_5_134400.1, Lsat_1_v5_gn_1_36980.1	AH002157-RA
OG0010882	Lsat_1_v5_gn_4_106301.1	AH013495-RA
OG0010883	Lsat_1_v5_gn_7_35121.1	AH014591-RA
OG0010885	Lsat_1_v5_gn_6_80041.1	AH018446-RA
OG0010888	Lsat_1_v5_gn_3_27220.1	AH019008-RA
OG0010889	Lsat_1_v5_gn_7_41120.1, Lsat_1_v5_gn_7_41120.3	AH014300-RA
OG0010890	Lsat_1_v5_gn_6_88480.1, Lsat_1_v5_gn_6_88480.2	AH018232-RA
OG0010891	Lsat_1_v5_gn_7_55861.1	AH021164-RA
OG0010892	Lsat_1_v5_gn_9_50001.2, Lsat_1_v5_gn_9_50001.1	AH019728-RA
OG0010893	Lsat_1_v5_gn_5_90621.1, Lsat_1_v5_gn_1_45000.1	AH012053-RA
OG0010895	Lsat_1_v5_gn_1_49740.1, Lsat_1_v5_gn_1_49740.3, Lsat_1_v5_gn_5_33341.1	AH016188-RA
OG0010896	Lsat_1_v5_gn_5_96981.1, Lsat_1_v5_gn_7_45960.3, Lsat_1_v5_gn_7_45960.1	AH014112-RA
OG0010897	Lsat_1_v5_gn_2_135281.3, Lsat_1_v5_gn_2_135281.1	AH011937-RA
OG0010898	Lsat_1_v5_gn_4_89921.1	AH001958-RA
OG0010899	Lsat_1_v5_gn_5_103200.1, Lsat_1_v5_gn_7_40921.3, Lsat_1_v5_gn_7_40921.1, Lsat_1_v5_gn_8_105120.1	AH020851-RA, AH014540-RA
OG0010900	Lsat_1_v5_gn_3_19861.2, Lsat_1_v5_gn_3_19861.1	AH018774-RA
OG0010901	Lsat_1_v5_gn_7_45660.3, Lsat_1_v5_gn_7_45660.1, Lsat_1_v5_gn_8_59061.1	AH014108-RA
OG0010902	Lsat_1_v5_gn_8_87980.1, Lsat_1_v5_gn_8_87980.2, Lsat_1_v5_gn_4_42000.1	AH014249-RA
OG0010903	Lsat_1_v5_gn_1_50100.1	AH012653-RA
OG0010904	Lsat_1_v5_gn_4_104420.1, Lsat_1_v5_gn_4_104420.2	AH002030-RA
OG0010905	Lsat_1_v5_gn_7_42521.3, Lsat_1_v5_gn_7_42521.5, Lsat_1_v5_gn_8_57280.1	AH014051-RA
OG0010906	Lsat_1_v5_gn_7_115521.3, Lsat_1_v5_gn_7_115521.1	AH009725-RA
OG0010907	Lsat_1_v5_gn_7_51720.2, Lsat_1_v5_gn_7_51720.1	AH014376-RA
OG0010908	Lsat_1_v5_gn_4_99980.1	AH000494-RA
OG0010911	Lsat_1_v5_gn_6_21660.1, Lsat_1_v5_gn_6_21660.3	AH015361-RA
OG0010912	Lsat_1_v5_gn_5_33301.3, Lsat_1_v5_gn_5_33301.1	AH023308-RA
OG0010914	Lsat_1_v5_gn_8_85701.1	AH021085-RA
OG0010915	Lsat_1_v5_gn_6_48200.2, Lsat_1_v5_gn_6_48200.1	AH010938-RA
OG0010916	Lsat_1_v5_gn_5_188000.1, Lsat_1_v5_gn_4_132320.1	AH018610-RA
OG0010917	Lsat_1_v5_gn_5_91020.2, Lsat_1_v5_gn_5_91020.1	AH012850-RA, AH012849-RA
OG0010919	Lsat_1_v5_gn_2_132821.1	AH019592-RA
OG0010920	Lsat_1_v5_gn_6_9901.2, Lsat_1_v5_gn_6_9901.1, Lsat_1_v5_gn_6_9901.3, Lsat_1_v5_gn_7_8620.1	AH011286-RA, AH018028-RA
OG0010921	Lsat_1_v5_gn_8_64360.1	AH021010-RA
OG0010922	Lsat_1_v5_gn_4_66500.1	AH013643-RA, AH006016-RA
OG0010923	Lsat_1_v5_gn_2_129120.1	AH012232-RA
OG0010924	Lsat_1_v5_gn_5_142241.3, Lsat_1_v5_gn_5_142241.1	AH021143-RA
OG0010926	Lsat_1_v5_gn_7_8041.3, Lsat_1_v5_gn_7_8041.1	AH022221-RA
OG0010927	Lsat_1_v5_gn_7_55181.1	AH021160-RA, AH014261-RA
OG0010929	Lsat_1_v5_gn_4_60821.1	AH014988-RA
OG0010930	Lsat_1_v5_gn_1_55221.1, Lsat_1_v5_gn_1_55221.3	AH003072-RA
OG0010931	Lsat_1_v5_gn_8_145640.1, Lsat_1_v5_gn_8_145640.3	AH021883-RA
OG0010932	Lsat_1_v5_gn_6_37081.1	AH000822-RA, AH002249-RA
OG0010933	Lsat_1_v5_gn_5_123621.3, Lsat_1_v5_gn_5_123621.1	AH021867-RA
OG0010934	Lsat_1_v5_gn_7_116120.1	AH022225-RA, AH013314-RA
OG0010935	Lsat_1_v5_gn_2_35600.1, Lsat_1_v5_gn_2_35600.3	AH022694-RA
OG0010936	Lsat_1_v5_gn_8_63660.1	AH006666-RA
OG0010937	Lsat_1_v5_gn_4_29681.3, Lsat_1_v5_gn_4_29681.1	AH014703-RA
OG0010939	Lsat_1_v5_gn_6_36500.1, Lsat_1_v5_gn_6_36500.2	AH020301-RA
OG0010940	Lsat_1_v5_gn_4_184841.1	AH020303-RA
OG0010941	Lsat_1_v5_gn_8_111400.1	AH013178-RA
OG0010942	Lsat_1_v5_gn_3_68661.1, Lsat_1_v5_gn_5_56361.1	AH006327-RA
OG0010944	Lsat_1_v5_gn_5_126421.5, Lsat_1_v5_gn_7_101941.1	AH010209-RA
OG0010945	Lsat_1_v5_gn_3_117120.3, Lsat_1_v5_gn_3_117120.1	AH011071-RA
OG0010947	Lsat_1_v5_gn_7_106320.1	AH009995-RA
OG0010948	Lsat_1_v5_gn_7_24160.1	AH001136-RA
OG0010949	Lsat_1_v5_gn_2_101660.1	AH007659-RA
OG0010950	Lsat_1_v5_gn_7_23761.1, Lsat_1_v5_gn_7_23761.3	AH009485-RA
OG0010952	Lsat_1_v5_gn_5_6120.1, Lsat_1_v5_gn_5_5140.1, Lsat_1_v5_gn_5_6180.1	AH008186-RA
OG0010953	Lsat_1_v5_gn_5_41960.1, Lsat_1_v5_gn_5_41960.3	AH007807-RA, AH010671-RA
OG0010954	Lsat_1_v5_gn_5_150301.1	AH012481-RA, AH021729-RA
OG0010955	Lsat_1_v5_gn_5_47401.1	AH021938-RA, AH012808-RA
OG0010956	Lsat_1_v5_gn_5_169740.1, Lsat_1_v5_gn_9_24160.3, Lsat_1_v5_gn_9_24160.1	AH013748-RA
OG0010957	Lsat_1_v5_gn_8_137980.1, Lsat_1_v5_gn_8_137980.2	AH001405-RA
OG0010959	Lsat_1_v5_gn_9_38921.2, Lsat_1_v5_gn_9_38921.1	AH021709-RA
OG0010960	Lsat_1_v5_gn_9_15700.2, Lsat_1_v5_gn_9_15700.1	AH017863-RA
OG0010961	Lsat_1_v5_gn_6_30280.1, Lsat_1_v5_gn_6_30280.4, Lsat_1_v5_gn_6_30280.2	AH021975-RA
OG0010963	Lsat_1_v5_gn_6_63040.3, Lsat_1_v5_gn_6_63040.1	AH019740-RA, AH023418-RA
OG0010964	Lsat_1_v5_gn_8_82341.2, Lsat_1_v5_gn_8_82341.1	AH017222-RA
OG0010965	Lsat_1_v5_gn_7_29520.1	AH021313-RA
OG0010966	Lsat_1_v5_gn_2_125021.1, Lsat_1_v5_gn_2_125021.3	AH015401-RA
OG0010967	Lsat_1_v5_gn_4_103261.1, Lsat_1_v5_gn_4_103261.3	AH000477-RA
OG0010968	Lsat_1_v5_gn_7_108760.1, Lsat_1_v5_gn_7_108760.2	AH008188-RA
OG0010969	Lsat_1_v5_gn_8_108741.1, Lsat_1_v5_gn_8_108741.3	AH014304-RA
OG0010972	Lsat_1_v5_gn_5_3260.1, Lsat_1_v5_gn_3_35940.1, Lsat_1_v5_gn_3_35940.3, Lsat_1_v5_gn_3_35940.4, Lsat_1_v5_gn_3_35960.1	AH001129-RA
OG0010973	Lsat_1_v5_gn_7_92401.1	AH008213-RA
OG0010975	Lsat_1_v5_gn_8_20860.1, Lsat_1_v5_gn_8_20860.2	AH010410-RA
OG0010976	Lsat_1_v5_gn_2_120421.1, Lsat_1_v5_gn_9_63241.1	AH023045-RA, AH009117-RA
OG0010977	Lsat_1_v5_gn_6_31920.1, Lsat_1_v5_gn_6_31920.2, Lsat_1_v5_gn_3_22320.1	AH005373-RA
OG0010978	Lsat_1_v5_gn_2_36221.2, Lsat_1_v5_gn_2_36221.1	AH004850-RA
OG0010979	Lsat_1_v5_gn_9_30381.3, Lsat_1_v5_gn_9_30381.1	AH010747-RA
OG0010981	Lsat_1_v5_gn_2_102000.1	AH003010-RA
OG0010984	Lsat_1_v5_gn_7_29840.2, Lsat_1_v5_gn_7_29840.1	AH014720-RA
OG0010986	Lsat_1_v5_gn_5_150801.3, Lsat_1_v5_gn_5_150801.1	AH018813-RA
OG0010988	Lsat_1_v5_gn_2_60700.1	AH016630-RA
OG0010989	Lsat_1_v5_gn_9_88661.2, Lsat_1_v5_gn_9_88661.1, Lsat_1_v5_gn_7_115701.1	AH006483-RA
OG0010990	Lsat_1_v5_gn_5_165601.1	AH021803-RA
OG0010991	Lsat_1_v5_gn_5_8041.3	AH008277-RA, AH009753-RA
OG0010992	Lsat_1_v5_gn_9_33481.1	AH018960-RA, AH003035-RA
OG0010993	Lsat_1_v5_gn_8_106940.2, Lsat_1_v5_gn_8_106940.1	AH010711-RA
OG0010994	Lsat_1_v5_gn_3_10740.3, Lsat_1_v5_gn_3_10740.1	AH003107-RA
OG0010995	Lsat_1_v5_gn_7_110780.1, Lsat_1_v5_gn_7_110780.5, Lsat_1_v5_gn_7_110780.6	AH023390-RA
OG0010996	Lsat_1_v5_gn_5_73901.5	AH006722-RA, AH006030-RA
OG0010997	Lsat_1_v5_gn_3_39241.1	AH022120-RA, AH012606-RA
OG0010999	Lsat_1_v5_gn_7_74540.2, Lsat_1_v5_gn_7_74540.1	AH010400-RA
OG0011001	Lsat_1_v5_gn_7_100300.1	AH010300-RA
OG0011002	Lsat_1_v5_gn_9_47361.1	AH011714-RA
OG0011003	Lsat_1_v5_gn_4_46280.1	AH020580-RA
OG0011004	Lsat_1_v5_gn_8_12781.1	AH016351-RA, AH023118-RA
OG0011005	Lsat_1_v5_gn_8_7620.1	AH022771-RA
OG0011006	Lsat_1_v5_gn_7_104640.1, Lsat_1_v5_gn_7_104640.2	AH010081-RA
OG0011007	Lsat_1_v5_gn_3_111240.1	AH012358-RA
OG0011008	Lsat_1_v5_gn_5_168181.1	AH019682-RA, AH013762-RA
OG0011009	Lsat_1_v5_gn_6_71441.3, Lsat_1_v5_gn_6_71441.1	AH008840-RA
OG0011010	Lsat_1_v5_gn_7_111741.1	AH023408-RA
OG0011011	Lsat_1_v5_gn_1_65300.1	AH001252-RA, AH000170-RA
OG0011013	Lsat_1_v5_gn_7_96121.2, Lsat_1_v5_gn_7_96121.1	AH021149-RA
OG0011014	Lsat_1_v5_gn_5_164861.1, Lsat_1_v5_gn_8_77181.1	AH021813-RA, AH012604-RA
OG0011015	Lsat_1_v5_gn_1_124320.4, Lsat_1_v5_gn_1_124320.1	AH015246-RA
OG0011016	Lsat_1_v5_gn_8_13460.1	AH023181-RA
OG0011018	Lsat_1_v5_gn_2_19801.1, Lsat_1_v5_gn_2_19801.3	AH012712-RA
OG0011019	Lsat_1_v5_gn_7_69060.2, Lsat_1_v5_gn_7_69060.1	AH023394-RA
OG0011020	Lsat_1_v5_gn_6_4261.1, Lsat_1_v5_gn_6_4261.2	AH015253-RA
OG0011021	Lsat_1_v5_gn_9_36200.1, Lsat_1_v5_gn_9_36200.2	AH012434-RA
OG0011022	Lsat_1_v5_gn_4_28361.1	AH000292-RA
OG0011023	Lsat_1_v5_gn_7_16961.1, Lsat_1_v5_gn_4_57701.1	AH015042-RA
OG0011024	Lsat_1_v5_gn_6_52180.1	AH007654-RA
OG0011025	Lsat_1_v5_gn_5_121761.1	AH001197-RA
OG0011026	Lsat_1_v5_gn_2_122921.1	AH008041-RA
OG0011027	Lsat_1_v5_gn_9_62260.1	AH016391-RA
OG0011028	Lsat_1_v5_gn_3_75140.6	AH010799-RA
OG0011029	Lsat_1_v5_gn_4_49781.1	AH021401-RA, AH014835-RA
OG0011031	Lsat_1_v5_gn_6_2361.1, Lsat_1_v5_gn_6_2361.2	AH003215-RA
OG0011032	Lsat_1_v5_gn_9_116181.3, Lsat_1_v5_gn_9_116181.2, Lsat_1_v5_gn_9_116181.1	AH017227-RA
OG0011034	Lsat_1_v5_gn_3_126181.1, Lsat_1_v5_gn_3_126181.3	AH019803-RA
OG0011035	Lsat_1_v5_gn_9_113340.1	AH000672-RA
OG0011036	Lsat_1_v5_gn_3_7600.3, Lsat_1_v5_gn_3_7600.1	AH018638-RA
OG0011037	Lsat_1_v5_gn_7_65980.1, Lsat_1_v5_gn_7_65980.2	AH009932-RA
OG0011038	Lsat_1_v5_gn_3_33321.3, Lsat_1_v5_gn_3_33321.1, Lsat_1_v5_gn_3_33321.2	AH021241-RA
OG0011039	Lsat_1_v5_gn_5_141221.1, Lsat_1_v5_gn_5_141221.3	AH021116-RA
OG0011040	Lsat_1_v5_gn_2_3341.1, Lsat_1_v5_gn_2_3341.2	AH019753-RA
OG0011042	Lsat_1_v5_gn_3_13720.3, Lsat_1_v5_gn_3_13720.2, Lsat_1_v5_gn_3_13720.1	AH018170-RA
OG0011044	Lsat_1_v5_gn_5_71741.1, Lsat_1_v5_gn_5_71741.2	AH010351-RA
OG0011045	Lsat_1_v5_gn_2_76200.1, Lsat_1_v5_gn_2_76200.2	AH005608-RA
OG0011046	Lsat_1_v5_gn_3_12621.1, Lsat_1_v5_gn_3_12621.2	AH018152-RA
OG0011047	Lsat_1_v5_gn_2_70300.1, Lsat_1_v5_gn_2_70300.4, Lsat_1_v5_gn_2_70300.2	AH003645-RA
OG0011048	Lsat_1_v5_gn_5_180141.1	AH022021-RA
OG0011049	Lsat_1_v5_gn_7_85141.1, Lsat_1_v5_gn_7_85141.2	AH021199-RA
OG0011050	Lsat_1_v5_gn_9_39921.4, Lsat_1_v5_gn_9_39921.1	AH007003-RA
OG0011051	Lsat_1_v5_gn_5_161301.1	AH013749-RA
OG0011052	Lsat_1_v5_gn_5_25740.1	AH008990-RA
OG0011053	Lsat_1_v5_gn_1_27740.1, Lsat_1_v5_gn_1_27740.2	AH017920-RA
OG0011054	Lsat_1_v5_gn_4_80860.1, Lsat_1_v5_gn_5_12501.2, Lsat_1_v5_gn_5_12501.1	AH002984-RA
OG0011055	Lsat_1_v5_gn_8_120880.1, Lsat_1_v5_gn_8_120880.2	AH001597-RA
OG0011056	Lsat_1_v5_gn_2_70000.1	AH003636-RA
OG0011057	Lsat_1_v5_gn_9_83180.3, Lsat_1_v5_gn_9_124880.1	AH017180-RA
OG0011058	Lsat_1_v5_gn_6_76180.1	AH007159-RA, AH007160-RA
OG0011059	Lsat_1_v5_gn_6_11781.1, Lsat_1_v5_gn_6_85661.1	AH018067-RA
OG0011060	Lsat_1_v5_gn_6_100560.3, Lsat_1_v5_gn_6_100560.1	AH008514-RA
OG0011061	Lsat_1_v5_gn_9_6101.1	AH006639-RA
OG0011062	Lsat_1_v5_gn_6_84320.1, Lsat_1_v5_gn_6_84320.3	AH018069-RA
OG0011063	Lsat_1_v5_gn_5_182881.1, Lsat_1_v5_gn_9_10500.1	AH002660-RA
OG0011064	Lsat_1_v5_gn_5_179560.3, Lsat_1_v5_gn_5_179560.1	AH013048-RA
OG0011065	Lsat_1_v5_gn_4_42200.2, Lsat_1_v5_gn_4_42200.1	AH009306-RA
OG0011066	Lsat_1_v5_gn_7_99380.2, Lsat_1_v5_gn_7_99380.1	AH019996-RA
OG0011067	Lsat_1_v5_gn_5_180820.1	AH013110-RA
OG0011069	Lsat_1_v5_gn_8_148560.3, Lsat_1_v5_gn_8_148560.1	AH005156-RA
OG0011070	Lsat_1_v5_gn_9_115760.1	AH000714-RA
OG0011071	Lsat_1_v5_gn_2_123641.1	AH018198-RA
OG0011073	Lsat_1_v5_gn_4_131941.3, Lsat_1_v5_gn_4_131941.1, Lsat_1_v5_gn_4_131941.2	AH008387-RA
OG0011074	Lsat_1_v5_gn_1_10061.1	AH003482-RA
OG0011075	Lsat_1_v5_gn_2_91160.1, Lsat_1_v5_gn_0_18280.1	AH004193-RA
OG0011077	Lsat_1_v5_gn_1_28920.3, Lsat_1_v5_gn_1_28920.1	AH017162-RA
OG0011079	Lsat_1_v5_gn_2_40021.1	AH019925-RA
OG0011080	Lsat_1_v5_gn_9_5640.4	AH009165-RA, AH022105-RA
OG0011081	Lsat_1_v5_gn_4_185741.1, Lsat_1_v5_gn_4_185741.3	AH017763-RA
OG0011082	Lsat_1_v5_gn_2_107721.1	AH010758-RA
OG0011083	Lsat_1_v5_gn_3_32661.1, Lsat_1_v5_gn_3_32661.3	AH005117-RA
OG0011085	Lsat_1_v5_gn_4_164460.1	AH003946-RA
OG0011086	Lsat_1_v5_gn_9_56800.3, Lsat_1_v5_gn_9_56800.1	AH012094-RA
OG0011087	Lsat_1_v5_gn_2_96961.1	AH016169-RA
OG0011088	Lsat_1_v5_gn_6_78121.1	AH020199-RA
OG0011089	Lsat_1_v5_gn_4_165900.1, Lsat_1_v5_gn_3_89200.1, Lsat_1_v5_gn_3_89200.3	AH006108-RA
OG0011090	Lsat_1_v5_gn_8_121400.1, Lsat_1_v5_gn_4_71400.1	AH001589-RA
OG0011091	Lsat_1_v5_gn_3_15201.3, Lsat_1_v5_gn_3_15201.1	AH000908-RA
OG0011092	Lsat_1_v5_gn_8_34780.1, Lsat_1_v5_gn_4_22680.1	AH005257-RA, AH004248-RA
OG0011094	Lsat_1_v5_gn_0_18400.1	AH011143-RA
OG0011095	Lsat_1_v5_gn_4_1980.1	AH005220-RA
OG0011096	Lsat_1_v5_gn_1_10240.1, Lsat_1_v5_gn_1_10240.2	AH009400-RA
OG0011097	Lsat_1_v5_gn_7_88601.1	AH001861-RA
OG0011098	Lsat_1_v5_gn_5_117341.1	AH001867-RA
OG0011099	Lsat_1_v5_gn_1_28600.1, Lsat_1_v5_gn_4_78640.1	AH022375-RA
OG0011100	Lsat_1_v5_gn_6_100040.3, Lsat_1_v5_gn_6_100040.1	AH023550-RA
OG0011101	Lsat_1_v5_gn_9_45901.3, Lsat_1_v5_gn_9_45901.1	AH010328-RA
OG0011102	Lsat_1_v5_gn_3_114641.1	AH017517-RA, AH021182-RA
OG0011103	Lsat_1_v5_gn_6_78541.2, Lsat_1_v5_gn_6_78541.1	AH018377-RA
OG0011104	Lsat_1_v5_gn_6_117240.1	AH019596-RA
OG0011105	Lsat_1_v5_gn_6_14781.1	AH011379-RA
OG0011107	Lsat_1_v5_gn_5_15280.1, Lsat_1_v5_gn_5_15280.3, Lsat_1_v5_gn_5_15321.1	AH002521-RA
OG0011108	Lsat_1_v5_gn_7_72860.3, Lsat_1_v5_gn_7_72860.2, Lsat_1_v5_gn_7_72860.1	AH007631-RA
OG0011111	Lsat_1_v5_gn_0_17741.1, Lsat_1_v5_gn_0_17741.2	AH008787-RA
OG0011112	Lsat_1_v5_gn_5_26940.2, Lsat_1_v5_gn_5_26940.1	AH015614-RA
OG0011113	Lsat_1_v5_gn_3_13421.1	AH018205-RA
OG0011114	Lsat_1_v5_gn_8_116121.1	AH005001-RA
OG0011115	Lsat_1_v5_gn_9_42421.1, Lsat_1_v5_gn_9_42421.3	AH008556-RA
OG0011116	Lsat_1_v5_gn_4_30860.1	AH009536-RA
OG0011117	Lsat_1_v5_gn_1_78040.3, Lsat_1_v5_gn_1_78040.1	AH015561-RA
OG0011118	Lsat_1_v5_gn_2_84140.1	AH003425-RA
OG0011119	Lsat_1_v5_gn_5_109440.1	AH003412-RA
OG0011120	Lsat_1_v5_gn_8_5560.1	AH011943-RA
OG0011121	Lsat_1_v5_gn_2_12120.1	AH011924-RA
OG0011122	Lsat_1_v5_gn_2_67081.1	AH010851-RA
OG0011123	Lsat_1_v5_gn_5_189381.3, Lsat_1_v5_gn_5_189381.1, Lsat_1_v5_gn_5_189381.2	AH012840-RA
OG0011124	Lsat_1_v5_gn_9_39861.1, Lsat_1_v5_gn_1_280.1	AH003765-RA, AH017030-RA, AH017031-RA
OG0011125	Lsat_1_v5_gn_6_112040.1, Lsat_1_v5_gn_6_112040.2, Lsat_1_v5_gn_4_125820.1	AH015163-RA
OG0011126	Lsat_1_v5_gn_1_76140.1, Lsat_1_v5_gn_1_76140.3	AH020216-RA
OG0011127	Lsat_1_v5_gn_4_132241.1	AH013118-RA
OG0011128	Lsat_1_v5_gn_9_81121.2, Lsat_1_v5_gn_9_81121.1	AH007089-RA
OG0011129	Lsat_1_v5_gn_4_137440.1	AH010430-RA
OG0011130	Lsat_1_v5_gn_9_42380.1	AH008631-RA
OG0011131	Lsat_1_v5_gn_4_84380.1	AH002944-RA
OG0011132	Lsat_1_v5_gn_6_71361.1, Lsat_1_v5_gn_6_71361.3, Lsat_1_v5_gn_6_71361.2	AH005235-RA
OG0011133	Lsat_1_v5_gn_2_65461.1, Lsat_1_v5_gn_6_47440.1	AH003749-RA
OG0011134	Lsat_1_v5_gn_5_104340.1	AH006565-RA
OG0011138	Lsat_1_v5_gn_8_146520.1, Lsat_1_v5_gn_8_146520.3	AH017185-RA
