Orthogroup	D_spatulata.proteins	A_coerulea.proteins
OG0010958	Ds_00011777-RA	Aqcoe1G345900.1.p
OG0010961	Ds_00002003-RA	Aqcoe1G493700.1.p
OG0010962	Ds_00011617-RA	Aqcoe1G103800.1.p
OG0010963	Ds_00003314-RA	Aqcoe1G170700.1.p
OG0010964	Ds_00005298-RA	Aqcoe1G089100.1.p
OG0010965	Ds_00004252-RA	Aqcoe1G167500.1.p
OG0010966	Ds_00012668-RA	Aqcoe1G401400.2.p, Aqcoe1G401400.1.p
OG0010968	Ds_00002960-RA	Aqcoe1G278700.1.p
OG0010969	Ds_00007451-RA	Aqcoe1G394900.1.p
OG0010973	Ds_00011767-RA	Aqcoe1G231400.1.p
OG0010974	Ds_00001158-RA, Ds_00017963-RA	Aqcoe1G267100.1.p
OG0010976	Ds_00005823-RA	Aqcoe1G087300.1.p
OG0010978	Ds_00016750-RA	Aqcoe1G005400.1.p
OG0010981	Ds_00014892-RA	Aqcoe1G071200.1.p
OG0010982	Ds_00017489-RA, Ds_00005145-RA, Ds_00005146-RA, Ds_00011051-RA, Ds_00005500-RA, Ds_00005498-RA, Ds_00005499-RA, Ds_00013498-RA, Ds_00007744-RA, Ds_00010964-RA, Ds_00006650-RA, Ds_00006644-RA, Ds_00013180-RA, Ds_00004081-RA	Aqcoe1G185400.1.p
OG0010985	Ds_00008123-RA	Aqcoe1G413400.9.p, Aqcoe1G413400.8.p, Aqcoe1G413400.5.p, Aqcoe1G413400.4.p, Aqcoe1G413400.3.p, Aqcoe1G413400.12.p, Aqcoe1G413400.2.p, Aqcoe1G413400.11.p, Aqcoe1G413400.10.p, Aqcoe1G413400.16.p, Aqcoe1G413400.7.p, Aqcoe1G413400.13.p, Aqcoe1G413400.6.p, Aqcoe1G413400.17.p
OG0010986	Ds_00014888-RA	Aqcoe1G415300.1.p
OG0010988	Ds_00014225-RA	Aqcoe1G037500.1.p
OG0010990	Ds_00004521-RA, Ds_00015558-RA	Aqcoe1G439300.1.p
OG0010991	Ds_00001697-RA	Aqcoe1G390100.1.p
OG0010992	Ds_00010780-RA	Aqcoe1G106000.1.p
OG0010993	Ds_00004750-RA	Aqcoe1G157400.1.p
OG0010994	Ds_00004819-RA	Aqcoe1G001400.2.p, Aqcoe1G001400.1.p
OG0010995	Ds_00016334-RA	Aqcoe1G162900.1.p
OG0010997	Ds_00016319-RA	Aqcoe1G308600.1.p
OG0010998	Ds_00014572-RA	Aqcoe1G495800.1.p
OG0010999	Ds_00006349-RA	Aqcoe1G175100.1.p, Aqcoe1G175100.3.p, Aqcoe1G175100.2.p, Aqcoe1G175100.4.p
OG0011000	Ds_00015656-RA	Aqcoe1G154300.1.p
OG0011001	Ds_00001833-RA	Aqcoe1G208200.1.p
OG0011002	Ds_00005578-RA	Aqcoe1G008000.2.p, Aqcoe1G008000.1.p
OG0011003	Ds_00016838-RA	Aqcoe1G019700.1.p
OG0011005	Ds_00011107-RA	Aqcoe1G019900.1.p
OG0011007	Ds_00002673-RA	Aqcoe1G159500.1.p
OG0011008	Ds_00015516-RA	Aqcoe1G091600.1.p
OG0011010	Ds_00003319-RA, Ds_00003317-RA	Aqcoe1G167900.1.p
OG0011012	Ds_00006621-RA	Aqcoe1G409800.1.p
OG0011013	Ds_00005275-RA	Aqcoe1G391300.1.p
OG0011015	Ds_00010844-RA	Aqcoe1G256600.1.p, Aqcoe1G256600.2.p
OG0011017	Ds_00016632-RA, Ds_00007323-RA	Aqcoe1G492300.1.p
OG0011018	Ds_00008748-RA	Aqcoe1G122200.1.p
OG0011019	Ds_00017748-RA	Aqcoe1G160400.1.p
OG0011020	Ds_00016424-RA	Aqcoe1G485600.1.p
OG0011022	Ds_00001188-RA	Aqcoe1G244800.3.p, Aqcoe1G244800.1.p, Aqcoe1G244800.2.p
OG0011023	Ds_00015917-RA	Aqcoe1G356800.1.p
OG0011024	Ds_00006082-RA	Aqcoe1G050700.2.p, Aqcoe1G050700.1.p
OG0011025	Ds_00009556-RA	Aqcoe1G387400.1.p
OG0011026	Ds_00013156-RA	Aqcoe1G423700.3.p, Aqcoe1G423700.2.p, Aqcoe1G423700.1.p
OG0011027	Ds_00006620-RA	Aqcoe1G411400.1.p
OG0011028	Ds_00006003-RA, Ds_00015177-RA	Aqcoe1G438400.1.p
OG0011029	Ds_00011504-RA	Aqcoe1G285700.1.p
OG0011030	Ds_00011814-RA	Aqcoe5G306600.2.p, Aqcoe5G306600.1.p
OG0011031	Ds_00016734-RA	Aqcoe5G420200.1.p
OG0011032	Ds_00013614-RA	Aqcoe5G251700.1.p, Aqcoe5G188100.1.p
OG0011033	Ds_00003356-RA	Aqcoe5G110100.1.p, Aqcoe5G425700.1.p
OG0011034	Ds_00003963-RA	Aqcoe5G346600.1.p, Aqcoe5G346600.2.p
OG0011035	Ds_00014374-RA, Ds_00014373-RA	Aqcoe5G094900.1.p
OG0011036	Ds_00011112-RA	Aqcoe5G428600.1.p, Aqcoe5G428600.2.p
OG0011037	Ds_00002943-RA	Aqcoe5G083500.2.p, Aqcoe5G083500.1.p
OG0011038	Ds_00017163-RA	Aqcoe5G320600.1.p
OG0011039	Ds_00000090-RA	Aqcoe5G284900.1.p, Aqcoe5G284900.2.p
OG0011040	Ds_00008635-RA	Aqcoe5G476300.1.p
OG0011041	Ds_00014966-RA	Aqcoe5G380900.1.p
OG0011042	Ds_00016422-RA	Aqcoe5G461400.1.p, Aqcoe5G461400.2.p, Aqcoe5G461400.3.p
OG0011043	Ds_00010600-RA, Ds_00014905-RA	Aqcoe5G347000.2.p, Aqcoe5G347000.1.p, Aqcoe5G347000.3.p
OG0011044	Ds_00004039-RA	Aqcoe5G416100.1.p
OG0011045	Ds_00011216-RA	Aqcoe5G194200.1.p
OG0011046	Ds_00007196-RA	Aqcoe5G466400.1.p, Aqcoe5G466200.2.p, Aqcoe5G466200.1.p
OG0011047	Ds_00013402-RA	Aqcoe5G167700.2.p, Aqcoe5G167700.1.p
OG0011048	Ds_00000996-RA	Aqcoe5G011700.2.p, Aqcoe5G011700.1.p
OG0011049	Ds_00012165-RA	Aqcoe5G101400.1.p
OG0011051	Ds_00010098-RA	Aqcoe5G129400.1.p, Aqcoe5G129400.2.p
OG0011052	Ds_00011295-RA	Aqcoe5G182200.1.p
OG0011053	Ds_00003810-RA	Aqcoe5G380500.1.p, Aqcoe5G397800.1.p
OG0011054	Ds_00013755-RA	Aqcoe5G356400.1.p
OG0011055	Ds_00013349-RA	Aqcoe5G114100.2.p, Aqcoe5G114100.1.p
OG0011056	Ds_00013398-RA	Aqcoe5G165200.2.p
OG0011057	Ds_00015922-RA	Aqcoe5G216000.1.p
OG0011058	Ds_00005082-RA	Aqcoe5G093800.1.p
OG0011061	Ds_00001098-RA	Aqcoe5G050100.1.p
OG0011062	Ds_00011905-RA	Aqcoe5G450700.1.p
OG0011063	Ds_00012331-RA	Aqcoe5G023500.1.p
OG0011065	Ds_00011931-RA	Aqcoe5G289900.1.p, Aqcoe5G289900.2.p
OG0011066	Ds_00009323-RA	Aqcoe5G053300.1.p
OG0011067	Ds_00004710-RA	Aqcoe5G002700.1.p
OG0011069	Ds_00009178-RA	Aqcoe5G363100.1.p
OG0011070	Ds_00013550-RA	Aqcoe5G167000.1.p
OG0011071	Ds_00001390-RA	Aqcoe5G471800.1.p
OG0011072	Ds_00005464-RA	Aqcoe5G276800.1.p
OG0011074	Ds_00007849-RA	Aqcoe5G265600.1.p
OG0011075	Ds_00008025-RA	Aqcoe5G397700.1.p
OG0011076	Ds_00000053-RA	Aqcoe5G214100.1.p
OG0011077	Ds_00013757-RA	Aqcoe5G357500.1.p, Aqcoe5G357500.2.p
OG0011079	Ds_00005103-RA	Aqcoe5G021100.1.p
OG0011080	Ds_00000951-RA	Aqcoe5G088500.1.p
OG0011081	Ds_00014458-RA	Aqcoe5G375600.1.p, Aqcoe5G375600.2.p
OG0011082	Ds_00006165-RA	Aqcoe5G030000.1.p
OG0011083	Ds_00004305-RA	Aqcoe5G330000.1.p
OG0011085	Ds_00009441-RA	Aqcoe5G143800.1.p
OG0011086	Ds_00005693-RA	Aqcoe5G436400.1.p
OG0011087	Ds_00010737-RA	Aqcoe5G375700.1.p
OG0011088	Ds_00003065-RA	Aqcoe5G093000.2.p, Aqcoe5G092800.1.p, Aqcoe5G093000.1.p
OG0011089	Ds_00009458-RA, Ds_00006769-RA	Aqcoe5G150300.1.p
OG0011090	Ds_00013340-RA	Aqcoe5G117800.1.p
OG0011091	Ds_00001393-RA	Aqcoe5G477900.1.p, Aqcoe5G477900.2.p
OG0011092	Ds_00007064-RA	Aqcoe5G412700.1.p
OG0011093	Ds_00003148-RA	Aqcoe5G322200.1.p, Aqcoe3G158200.1.p
OG0011094	Ds_00006687-RA	Aqcoe5G002500.1.p
OG0011095	Ds_00010592-RA	Aqcoe5G345000.1.p
OG0011096	Ds_00005459-RA	Aqcoe5G304500.1.p
OG0011097	Ds_00012973-RA	Aqcoe5G203400.1.p
OG0011098	Ds_00004353-RA	Aqcoe5G205100.1.p, Aqcoe5G205100.2.p
OG0011099	Ds_00003820-RA	Aqcoe5G387700.1.p
OG0011100	Ds_00005302-RA	Aqcoe5G224500.3.p, Aqcoe5G224500.1.p, Aqcoe5G224500.2.p
OG0011101	Ds_00004025-RA	Aqcoe5G010100.1.p
OG0011102	Ds_00001302-RA, Ds_00017378-RA	Aqcoe5G410900.1.p
OG0011103	Ds_00004912-RA	Aqcoe5G289500.1.p
OG0011105	Ds_00000883-RA, Ds_00000350-RA	Aqcoe5G232000.1.p
OG0011107	Ds_00013791-RA	Aqcoe5G405000.1.p
OG0011108	Ds_00003669-RA	Aqcoe5G091100.1.p
OG0011111	Ds_00008820-RA	Aqcoe5G314500.1.p
OG0011113	Ds_00010308-RA	Aqcoe5G473200.1.p
OG0011114	Ds_00017570-RA	Aqcoe5G312000.1.p
OG0011115	Ds_00016109-RA	Aqcoe5G256900.2.p, Aqcoe5G256900.1.p
OG0011116	Ds_00012520-RA	Aqcoe5G465100.2.p, Aqcoe5G465100.1.p
OG0011118	Ds_00005379-RA, Ds_00009464-RA	Aqcoe5G152100.1.p
OG0011119	Ds_00001936-RA	Aqcoe5G281700.1.p
OG0011120	Ds_00005624-RA	Aqcoe5G461600.1.p
OG0011121	Ds_00013317-RA	Aqcoe5G465500.1.p
OG0011122	Ds_00006186-RA	Aqcoe5G080800.1.p
OG0011123	Ds_00000918-RA	Aqcoe5G079800.1.p
OG0011124	Ds_00013331-RA	Aqcoe5G122800.1.p
OG0011125	Ds_00015306-RA	Aqcoe5G152400.1.p
OG0011126	Ds_00007127-RA	Aqcoe5G010500.1.p, Aqcoe5G010500.2.p
OG0011128	Ds_00004659-RA	Aqcoe5G056500.1.p, Aqcoe5G056500.2.p, Aqcoe5G056500.4.p, Aqcoe5G056500.3.p
OG0011129	Ds_00016203-RA	Aqcoe5G225700.1.p
OG0011130	Ds_00005305-RA	Aqcoe5G255800.1.p
OG0011131	Ds_00009746-RA, Ds_00009750-RA, Ds_00009747-RA	Aqcoe5G327800.1.p
OG0011132	Ds_00014665-RA	Aqcoe5G296000.1.p, Aqcoe5G296000.2.p
OG0011133	Ds_00013416-RA	Aqcoe5G224700.1.p
OG0011134	Ds_00002873-RA	Aqcoe5G054800.1.p
OG0011138	Ds_00016846-RA	Aqcoe3G041400.1.p
OG0011140	Ds_00005444-RA	Aqcoe3G011200.1.p
OG0011142	Ds_00013708-RA	Aqcoe3G141600.2.p, Aqcoe3G141600.1.p
OG0011144	Ds_00010550-RA	Aqcoe3G348900.1.p
OG0011146	Ds_00004908-RA	Aqcoe3G236800.1.p
OG0011147	Ds_00017254-RA	Aqcoe3G336800.1.p
OG0011149	Ds_00011895-RA	Aqcoe3G026200.1.p
OG0011150	Ds_00017437-RA	Aqcoe3G022200.1.p, Aqcoe3G022100.1.p
OG0011151	Ds_00001531-RA	Aqcoe3G333600.1.p
OG0011153	Ds_00015449-RA, Ds_00015451-RA, Ds_00015448-RA	Aqcoe3G286400.1.p
OG0011155	Ds_00008400-RA	Aqcoe3G396500.1.p
OG0011156	Ds_00009241-RA	Aqcoe3G018600.1.p
OG0011157	Ds_00017326-RA	Aqcoe3G405900.1.p, Aqcoe3G405900.2.p
OG0011158	Ds_00013233-RA	Aqcoe3G000500.1.p
OG0011159	Ds_00013058-RA	Aqcoe3G363400.1.p
OG0011160	Ds_00006128-RA	Aqcoe3G421000.1.p
OG0011161	Ds_00010699-RA	Aqcoe3G145200.2.p, Aqcoe3G145200.1.p
OG0011162	Ds_00012718-RA	Aqcoe3G371100.1.p
OG0011163	Ds_00002657-RA	Aqcoe3G440900.1.p
OG0011165	Ds_00014128-RA	Aqcoe3G370400.1.p
OG0011166	Ds_00013087-RA	Aqcoe3G214000.1.p
OG0011167	Ds_00004175-RA	Aqcoe3G436700.1.p
OG0011168	Ds_00007832-RA	Aqcoe3G103400.1.p
OG0011170	Ds_00009776-RA	Aqcoe3G088000.1.p
OG0011171	Ds_00009010-RA	Aqcoe3G110100.1.p
OG0011172	Ds_00016590-RA	Aqcoe3G167700.1.p
OG0011173	Ds_00010713-RA	Aqcoe3G140500.1.p
OG0011175	Ds_00005875-RA	Aqcoe3G038500.1.p
OG0011177	Ds_00004366-RA	Aqcoe3G411300.1.p
OG0011178	Ds_00014961-RA	Aqcoe3G088700.1.p
OG0011180	Ds_00004314-RA	Aqcoe3G332600.1.p
OG0011182	Ds_00013134-RA	Aqcoe3G239300.1.p
OG0011183	Ds_00008564-RA	Aqcoe3G412700.1.p
OG0011185	Ds_00008114-RA	Aqcoe3G237800.1.p
OG0011186	Ds_00017272-RA	Aqcoe3G269600.1.p
OG0011188	Ds_00017655-RA	Aqcoe3G349600.1.p
OG0011192	Ds_00007363-RA	Aqcoe3G242200.1.p
OG0011194	Ds_00017083-RA	Aqcoe3G136200.1.p
OG0011195	Ds_00017802-RA	Aqcoe3G298200.2.p, Aqcoe3G298200.1.p
OG0011196	Ds_00014132-RA	Aqcoe3G376600.1.p
OG0011197	Ds_00003786-RA	Aqcoe3G283000.2.p, Aqcoe3G283000.1.p
OG0011198	Ds_00010556-RA	Aqcoe3G344800.1.p, Aqcoe3G344800.2.p
OG0011200	Ds_00012974-RA	Aqcoe3G319700.1.p, Aqcoe3G320200.1.p
OG0011201	Ds_00003766-RA	Aqcoe3G292800.1.p, Aqcoe3G292800.2.p
OG0011203	Ds_00017884-RA	Aqcoe3G050800.1.p
OG0011204	Ds_00013445-RA	Aqcoe3G356600.1.p
OG0011205	Ds_00010963-RA	Aqcoe3G030000.1.p, Aqcoe3G030000.2.p
OG0011207	Ds_00002655-RA	Aqcoe3G440300.1.p, Aqcoe3G440300.2.p
OG0011209	Ds_00000791-RA	Aqcoe3G238700.1.p, Aqcoe3G238700.2.p
OG0011210	Ds_00017178-RA	Aqcoe3G198400.1.p
OG0011211	Ds_00015464-RA	Aqcoe3G299500.1.p
OG0011212	Ds_00017325-RA	Aqcoe3G442200.1.p
OG0011213	Ds_00015472-RA	Aqcoe3G304600.1.p
OG0011214	Ds_00016782-RA	Aqcoe3G083800.1.p
OG0011215	Ds_00001375-RA	Aqcoe3G275200.1.p
OG0011217	Ds_00008731-RA	Aqcoe3G141900.1.p
OG0011218	Ds_00012713-RA	Aqcoe3G419800.1.p
OG0011220	Ds_00012735-RA	Aqcoe3G228200.1.p
OG0011221	Ds_00013103-RA	Aqcoe3G384000.1.p, Aqcoe3G384000.2.p
OG0011222	Ds_00013362-RA	Aqcoe3G339000.1.p
OG0011223	Ds_00012693-RA, Ds_00005920-RA	Aqcoe3G414100.1.p
OG0011224	Ds_00013118-RA	Aqcoe3G233300.1.p, Aqcoe3G233300.2.p
OG0011226	Ds_00005299-RA	Aqcoe3G404700.1.p
OG0011227	Ds_00008657-RA	Aqcoe3G222300.1.p
OG0011228	Ds_00009021-RA, Ds_00015458-RA	Aqcoe3G298900.1.p
OG0011229	Ds_00017905-RA	Aqcoe3G104100.1.p
OG0011230	Ds_00006524-RA	Aqcoe3G023100.1.p
OG0011231	Ds_00005935-RA	Aqcoe3G190200.1.p
OG0011232	Ds_00013130-RA	Aqcoe3G251200.1.p
OG0011345	Ds_00002769-RA	Aqcoe0757s0002.1.p, Aqcoe2G311800.1.p
OG0011347	Ds_00007886-RA	Aqcoe2G415400.1.p, Aqcoe2G415400.2.p
OG0011348	Ds_00013862-RA	Aqcoe2G074500.1.p
OG0011349	Ds_00003145-RA	Aqcoe2G345800.1.p
OG0011350	Ds_00004458-RA	Aqcoe2G066000.1.p
OG0011351	Ds_00016374-RA	Aqcoe2G318600.1.p
OG0011352	Ds_00009336-RA	Aqcoe2G405600.2.p, Aqcoe2G405600.1.p
OG0011353	Ds_00005555-RA	Aqcoe2G389600.1.p
OG0011354	Ds_00014317-RA	Aqcoe1G396300.1.p, Aqcoe2G384400.1.p
OG0011355	Ds_00009353-RA	Aqcoe2G072900.1.p
OG0011356	Ds_00014945-RA	Aqcoe2G055600.1.p
OG0011357	Ds_00008270-RA	Aqcoe2G095700.1.p
OG0011358	Ds_00006207-RA	Aqcoe2G276200.1.p, Aqcoe2G276200.3.p, Aqcoe2G276200.2.p
OG0011359	Ds_00015586-RA	Aqcoe2G114100.1.p
OG0011360	Ds_00005065-RA	Aqcoe2G276100.1.p
OG0011362	Ds_00006548-RA	Aqcoe2G252600.1.p
OG0011363	Ds_00003114-RA	Aqcoe2G327400.1.p
OG0011364	Ds_00003158-RA	Aqcoe2G351100.1.p
OG0011366	Ds_00013152-RA	Aqcoe2G078500.1.p
OG0011372	Ds_00001006-RA	Aqcoe2G386600.1.p
OG0011374	Ds_00007119-RA	Aqcoe2G318400.1.p
OG0011376	Ds_00006171-RA	Aqcoe2G352100.1.p
OG0011377	Ds_00001867-RA	Aqcoe2G336400.1.p
OG0011380	Ds_00015148-RA	Aqcoe2G177900.1.p
OG0011381	Ds_00001120-RA	Aqcoe2G408900.1.p
OG0011382	Ds_00000636-RA	Aqcoe2G035800.1.p
OG0011383	Ds_00011597-RA	Aqcoe2G101100.1.p
OG0011385	Ds_00000850-RA	Aqcoe2G388800.1.p, Aqcoe2G035100.1.p
OG0011386	Ds_00009371-RA	Aqcoe2G406300.1.p
OG0011387	Ds_00006081-RA	Aqcoe2G051100.1.p
OG0011388	Ds_00005976-RA	Aqcoe1G144300.1.p, Aqcoe2G215100.1.p
OG0011389	Ds_00014975-RA	Aqcoe2G013600.1.p
OG0011391	Ds_00013252-RA	Aqcoe2G392800.1.p
OG0011393	Ds_00007954-RA	Aqcoe2G221700.1.p
OG0011394	Ds_00005731-RA	Aqcoe2G419700.1.p
OG0011395	Ds_00012630-RA	Aqcoe2G426800.1.p
OG0011397	Ds_00006384-RA	Aqcoe2G345600.1.p
OG0011400	Ds_00002764-RA	Aqcoe2G384200.1.p
OG0011401	Ds_00000370-RA	Aqcoe2G259000.1.p
OG0011402	Ds_00010090-RA	Aqcoe2G226600.1.p
OG0011405	Ds_00011703-RA	Aqcoe3G235300.1.p
OG0011406	Ds_00008439-RA	Aqcoe2G127300.1.p
OG0011407	Ds_00012341-RA	Aqcoe2G274100.1.p, Aqcoe2G274600.1.p
OG0011408	Ds_00001073-RA	Aqcoe2G369400.1.p
OG0011409	Ds_00002034-RA	Aqcoe2G212900.1.p
OG0011410	Ds_00002957-RA	Aqcoe2G337800.3.p, Aqcoe3G196700.2.p, Aqcoe5G477300.2.p, Aqcoe5G477300.1.p, Aqcoe5G344100.3.p, Aqcoe5G344100.4.p, Aqcoe5G344100.5.p, Aqcoe2G337800.2.p, Aqcoe1G086400.1.p, Aqcoe2G337800.1.p, Aqcoe3G196700.1.p, Aqcoe5G344100.1.p, Aqcoe5G344100.2.p
OG0011411	Ds_00011078-RA	Aqcoe2G022900.1.p
OG0011412	Ds_00001061-RA	Aqcoe2G202100.1.p
OG0011413	Ds_00017739-RA	Aqcoe2G041500.1.p
OG0011414	Ds_00018034-RA	Aqcoe2G006300.1.p
OG0011416	Ds_00002715-RA	Aqcoe2G056900.1.p
OG0011417	Ds_00010118-RA	Aqcoe2G096500.1.p
OG0011418	Ds_00008955-RA	Aqcoe2G430600.1.p
OG0011419	Ds_00005772-RA	Aqcoe2G042800.1.p, Aqcoe2G042800.2.p
OG0011421	Ds_00001655-RA	Aqcoe2G170400.1.p
OG0011424	Ds_00006336-RA	Aqcoe2G285100.1.p
OG0011425	Ds_00010994-RA	Aqcoe2G024100.1.p
OG0011426	Ds_00003172-RA	Aqcoe2G356600.1.p
OG0011427	Ds_00008393-RA	Aqcoe2G429400.1.p
OG0011428	Ds_00006404-RA	Aqcoe2G360600.1.p
OG0011430	Ds_00005048-RA	Aqcoe2G431500.2.p, Aqcoe2G431500.1.p
OG0011431	Ds_00011066-RA	Aqcoe2G015300.1.p
OG0011432	Ds_00016950-RA	Aqcoe2G189700.1.p
OG0011433	Ds_00007814-RA	Aqcoe2G365900.1.p
OG0011435	Ds_00004106-RA	Aqcoe2G000500.1.p
OG0011436	Ds_00006145-RA	Aqcoe2G374000.1.p
OG0011437	Ds_00005513-RA	Aqcoe2G059900.1.p
OG0011438	Ds_00008097-RA	Aqcoe2G139100.1.p
OG0011439	Ds_00004187-RA	Aqcoe2G087900.1.p
OG0011441	Ds_00014902-RA	Aqcoe2G223600.1.p
OG0011442	Ds_00007420-RA	Aqcoe2G011500.1.p, Aqcoe7G291600.1.p
OG0011443	Ds_00010242-RA	Aqcoe2G398800.1.p
OG0011444	Ds_00004012-RA	Aqcoe2G423300.1.p
OG0011445	Ds_00009331-RA	Aqcoe2G398500.1.p
OG0011448	Ds_00014707-RA	Aqcoe2G410800.1.p
OG0011449	Ds_00002558-RA	Aqcoe6G242700.1.p
OG0011450	Ds_00016414-RA	Aqcoe6G150800.1.p, Aqcoe5G070500.1.p
OG0011452	Ds_00001620-RA	Aqcoe6G017800.1.p
OG0011454	Ds_00010604-RA	Aqcoe6G012300.1.p
OG0011455	Ds_00005180-RA	Aqcoe6G151100.1.p
OG0011457	Ds_00001474-RA	Aqcoe6G130500.1.p
OG0011458	Ds_00014188-RA	Aqcoe6G004200.2.p, Aqcoe6G004200.1.p
OG0011460	Ds_00000165-RA, Ds_00000399-RA	Aqcoe6G104600.1.p
OG0011461	Ds_00009758-RA	Aqcoe6G179200.1.p
OG0011462	Ds_00013351-RA	Aqcoe6G163500.1.p
OG0011463	Ds_00013413-RA	Aqcoe6G047900.1.p
OG0011465	Ds_00000536-RA	Aqcoe6G292000.1.p
OG0011466	Ds_00004034-RA	Aqcoe6G014900.1.p
OG0011469	Ds_00001726-RA	Aqcoe6G049000.1.p
OG0011470	Ds_00000011-RA	Aqcoe6G082300.1.p
OG0011472	Ds_00000423-RA	Aqcoe6G285500.1.p
OG0011473	Ds_00003211-RA	Aqcoe6G053400.1.p
OG0011475	Ds_00012194-RA	Aqcoe6G319000.1.p
OG0011476	Ds_00001967-RA	Aqcoe6G009500.1.p, Aqcoe6G009500.2.p
OG0011477	Ds_00004761-RA	Aqcoe6G021100.1.p
OG0011478	Ds_00008136-RA, Ds_00013449-RA	Aqcoe6G317800.1.p
OG0011479	Ds_00005216-RA	Aqcoe6G018400.1.p
OG0011481	Ds_00013549-RA	Aqcoe6G090200.1.p
OG0011482	Ds_00003987-RA	Aqcoe6G025200.1.p
OG0011483	Ds_00005919-RA	Aqcoe6G189800.1.p
OG0011484	Ds_00007472-RA	Aqcoe6G174600.1.p
OG0011485	Ds_00001530-RA	Aqcoe6G008300.1.p
OG0011487	Ds_00014375-RA	Aqcoe6G258900.1.p
OG0011488	Ds_00001591-RA	Aqcoe6G078800.2.p, Aqcoe6G078800.1.p
OG0011491	Ds_00017290-RA	Aqcoe6G243400.1.p
OG0011492	Ds_00015063-RA	Aqcoe6G099600.1.p
OG0011493	Ds_00013867-RA	Aqcoe6G197200.1.p
OG0011494	Ds_00011878-RA	Aqcoe6G109500.2.p, Aqcoe6G109500.1.p
OG0011496	Ds_00006749-RA	Aqcoe6G287900.1.p
OG0011499	Ds_00017088-RA	Aqcoe6G147300.1.p
OG0011500	Ds_00013554-RA	Aqcoe6G072200.1.p
OG0011501	Ds_00003992-RA	Aqcoe6G022500.3.p, Aqcoe6G022500.2.p, Aqcoe6G022500.1.p
OG0011502	Ds_00010909-RA	Aqcoe6G115700.2.p, Aqcoe6G115700.1.p
OG0011503	Ds_00017467-RA	Aqcoe6G298000.1.p, Aqcoe1G168400.1.p
OG0011504	Ds_00005387-RA	Aqcoe6G095500.1.p
OG0011505	Ds_00014616-RA	Aqcoe6G158600.1.p
OG0011506	Ds_00010858-RA	Aqcoe6G024000.1.p
OG0011507	Ds_00002894-RA	Aqcoe6G000100.1.p
OG0011509	Ds_00014527-RA	Aqcoe6G097400.1.p
OG0011511	Ds_00017063-RA	Aqcoe4G287900.1.p
OG0011513	Ds_00004926-RA	Aqcoe4G132500.1.p
OG0011515	Ds_00014062-RA	Aqcoe4G311300.1.p
OG0011516	Ds_00002978-RA	Aqcoe4G203200.1.p
OG0011517	Ds_00002161-RA	Aqcoe4G096200.1.p
OG0011518	Ds_00010214-RA	Aqcoe4G239800.1.p
OG0011520	Ds_00010217-RA	Aqcoe4G228500.1.p
OG0011521	Ds_00004243-RA	Aqcoe4G011300.1.p, Aqcoe4G011300.2.p
OG0011523	Ds_00012298-RA	Aqcoe4G132400.2.p, Aqcoe4G132400.1.p
OG0011524	Ds_00001792-RA	Aqcoe4G090800.1.p
OG0011525	Ds_00012247-RA	Aqcoe4G223100.2.p, Aqcoe4G223100.1.p
OG0011527	Ds_00010798-RA	Aqcoe4G293900.1.p
OG0011528	Ds_00004762-RA	Aqcoe1058s0001.1.p
OG0011529	Ds_00012290-RA	Aqcoe4G149400.1.p
OG0011530	Ds_00014856-RA	Aqcoe4G051400.1.p
OG0011532	Ds_00007542-RA	Aqcoe4G051000.1.p
OG0011534	Ds_00009482-RA	Aqcoe4G013000.1.p
OG0011535	Ds_00016223-RA	Aqcoe4G236400.1.p
OG0011537	Ds_00003771-RA	Aqcoe4G310500.1.p
OG0011538	Ds_00017589-RA	Aqcoe7G020800.1.p, Aqcoe7G020800.2.p
OG0011539	Ds_00000807-RA	Aqcoe7G123000.1.p
OG0011540	Ds_00002279-RA, Ds_00012789-RA	Aqcoe7G299800.1.p
OG0011542	Ds_00005176-RA	Aqcoe7G304500.1.p
OG0011543	Ds_00007361-RA	Aqcoe7G094500.2.p, Aqcoe7G094500.3.p, Aqcoe7G094500.1.p
OG0011544	Ds_00005798-RA	Aqcoe7G057300.1.p
OG0011546	Ds_00006365-RA	Aqcoe7G081300.2.p, Aqcoe7G081300.1.p
OG0011547	Ds_00015485-RA	Aqcoe1G460200.1.p, Aqcoe7G401400.1.p
OG0011548	Ds_00003214-RA	Aqcoe7G430800.1.p
OG0011549	Ds_00007260-RA	Aqcoe7G269800.1.p
OG0011550	Ds_00003395-RA	Aqcoe7G245800.1.p
OG0011551	Ds_00009903-RA	Aqcoe7G069300.1.p
OG0011552	Ds_00000585-RA	Aqcoe7G395500.1.p
OG0011553	Ds_00003359-RA	Aqcoe7G246400.1.p
OG0011554	Ds_00012705-RA	Aqcoe7G193700.1.p
OG0011555	Ds_00006883-RA	Aqcoe7G195600.1.p
OG0011556	Ds_00000454-RA	Aqcoe7G000800.1.p
OG0011557	Ds_00001342-RA	Aqcoe7G064500.1.p
OG0011558	Ds_00006392-RA	Aqcoe7G440700.1.p
OG0011559	Ds_00000755-RA	Aqcoe7G158700.1.p
OG0011560	Ds_00008616-RA	Aqcoe7G394800.1.p, Aqcoe5G207200.1.p, Aqcoe7G394800.2.p
OG0011561	Ds_00003448-RA	Aqcoe7G409700.1.p
OG0011562	Ds_00000100-RA	Aqcoe7G116800.1.p
