Orthogroup	V_vinifera.proteins	A_hypochondriacus.proteins
OG0010732	VIT_218s0001g02040.1	AH023561-RA
OG0010733	VIT_200s0264g00060.1, VIT_200s0264g00060.2	AH004969-RA
OG0010734	VIT_207s0191g00030.1	AH005870-RA
OG0010735	VIT_218s0001g11230.1, VIT_218s0001g11230.3, VIT_218s0001g11230.2	AH008623-RA
OG0010736	VIT_218s0001g08240.1	AH008345-RA
OG0010738	VIT_207s0031g01160.1	AH005954-RA
OG0010739	VIT_204s0023g02010.1	AH005761-RA
OG0010740	VIT_211s0016g02180.1	AH010773-RA
OG0010741	VIT_217s0000g06350.1	AH017572-RA
OG0010742	VIT_204s0023g03630.3, VIT_204s0023g03630.2, VIT_204s0023g03630.1	AH012371-RA
OG0010743	VIT_203s0038g03750.1, VIT_200s0208g00120.1	AH002378-RA
OG0010744	VIT_203s0063g00520.1	AH001771-RA
OG0010745	VIT_204s0023g02800.1	AH005809-RA, AH003787-RA
OG0010747	VIT_213s0019g03940.1	AH023544-RA
OG0010748	VIT_218s0001g12990.1	AH015612-RA, AH015611-RA
OG0010749	VIT_207s0031g01580.1	AH016943-RA
OG0010751	VIT_203s0038g00400.1	AH001761-RA
OG0010752	VIT_218s0001g00220.1	AH016835-RA, AH023679-RA
OG0010753	VIT_218s0089g01120.2, VIT_218s0089g01120.3, VIT_218s0089g01120.1	AH001077-RA
OG0010754	VIT_202s0033g00060.1	AH008948-RA
OG0010756	VIT_218s0122g00470.2, VIT_218s0122g00470.3, VIT_218s0122g00470.1	AH006451-RA
OG0010757	VIT_207s0129g01060.1	AH003911-RA
OG0010758	VIT_218s0001g01930.2, VIT_218s0001g01930.3, VIT_218s0001g01930.1	AH021951-RA
OG0010759	VIT_203s0038g02670.1	AH000790-RA, AH002291-RA
OG0010760	VIT_207s0005g00820.1	AH022081-RA, AH012978-RA
OG0010761	VIT_218s0001g12490.1	AH016952-RA
OG0010762	VIT_218s0001g00490.1	AH016819-RA
OG0010763	VIT_218s0001g13260.1	AH016232-RA
OG0010764	VIT_218s0122g00680.1, VIT_218s0122g00680.2, VIT_218s0122g00680.3	AH016898-RA
OG0010765	VIT_207s0031g01440.2, VIT_207s0031g01440.1	AH003343-RA
OG0010766	VIT_218s0001g04880.2, VIT_218s0001g04880.1	AH008580-RA
OG0010767	VIT_207s0031g02460.1, VIT_207s0031g02460.2	AH010411-RA
OG0010768	VIT_218s0001g10250.4, VIT_218s0001g10250.3, VIT_218s0001g10250.2, VIT_218s0001g10250.1	AH008419-RA, AH016668-RA
OG0010770	VIT_212s0121g00010.1, VIT_207s0141g00200.1	AH003557-RA, AH003556-RA
OG0010771	VIT_203s0110g00200.1	AH015468-RA
OG0010772	VIT_218s0001g02950.2, VIT_218s0001g02950.1	AH008877-RA
OG0010773	VIT_218s0122g00920.1	AH016846-RA
OG0010775	VIT_212s0035g01140.1	AH005299-RA
OG0010776	VIT_212s0055g00830.1, VIT_212s0055g00830.3, VIT_212s0055g00830.2	AH007857-RA
OG0010777	VIT_212s0059g01600.1, VIT_212s0059g01600.2	AH000049-RA
OG0010778	VIT_218s0001g10080.1	AH008415-RA
OG0010780	VIT_212s0142g00400.1	AH002192-RA
OG0010781	VIT_218s0166g00130.1	AH008457-RA, AH011962-RA
OG0010782	VIT_218s0001g09070.1	AH005642-RA
OG0010783	VIT_204s0044g01760.1	AH005986-RA, AH003610-RA
OG0010784	VIT_210s0092g00270.2, VIT_210s0092g00270.1	AH009886-RA
OG0010785	VIT_212s0034g01810.2, VIT_212s0034g01810.1	AH011936-RA
OG0010786	VIT_212s0035g00770.1	AH006927-RA
OG0010787	VIT_203s0063g00180.1	AH001624-RA
OG0010788	VIT_212s0055g01130.4, VIT_212s0055g01130.5, VIT_212s0055g01130.3, VIT_212s0055g01130.2, VIT_212s0055g01130.1	AH014641-RA
OG0010789	VIT_206s0004g04540.3, VIT_206s0004g04540.4, VIT_206s0004g04540.5, VIT_206s0004g04540.2, VIT_206s0004g04540.1	AH013666-RA
OG0010790	VIT_219s0015g01770.2, VIT_219s0015g01770.1	AH020030-RA
OG0010793	VIT_210s0350g00005.1, VIT_200s0445g00055.1	AH015099-RA
OG0010794	VIT_219s0014g04710.1, VIT_219s0014g04710.2, VIT_219s0014g04710.3	AH015176-RA, AH021566-RA
OG0010795	VIT_200s0612g00010.1, VIT_200s0515g00010.1	AH014923-RA
OG0010796	VIT_210s0003g00900.1	AH021421-RA
OG0010797	VIT_216s0098g01810.1, VIT_216s0098g01810.2	AH011978-RA
OG0010798	VIT_210s0523g00040.1	AH014935-RA
OG0010799	VIT_217s0053g01030.1	AH004241-RA
OG0010800	VIT_212s0028g01100.2, VIT_212s0028g01100.1	AH001117-RA
OG0010801	VIT_201s0011g01220.1	AH008044-RA
OG0010802	VIT_212s0057g00240.1	AH000244-RA
OG0010804	VIT_210s0003g04350.2, VIT_210s0003g04350.1	AH013305-RA
OG0010805	VIT_219s0090g00930.1	AH008221-RA
OG0010806	VIT_219s0027g00220.1	AH016089-RA
OG0010807	VIT_210s0003g05670.1, VIT_210s0003g05670.3, VIT_210s0003g05670.2	AH006318-RA
OG0010809	VIT_212s0142g00040.1	AH001225-RA
OG0010810	VIT_200s0194g00110.1	AH021427-RA
OG0010811	VIT_211s0149g00400.1, VIT_211s0206g00040.1, VIT_211s0149g00390.1	AH007732-RA
OG0010812	VIT_212s0059g02520.1, VIT_212s0059g02520.2, VIT_212s0059g02520.3	AH000427-RA
OG0010813	VIT_212s0028g02610.1	AH000363-RA
OG0010814	VIT_210s0116g00180.1	AH013096-RA
OG0010815	VIT_200s0194g00160.1, VIT_200s1543g00010.1	AH021435-RA
OG0010816	VIT_202s0154g00330.2, VIT_202s0154g00330.1	AH018588-RA, AH018589-RA
OG0010817	VIT_202s0025g01300.1	AH018080-RA, AH011314-RA
OG0010818	VIT_207s0005g03800.3, VIT_207s0005g03800.1, VIT_207s0005g03800.2	AH010608-RA
OG0010819	VIT_204s0008g02750.1	AH017057-RA
OG0010821	VIT_211s0016g04560.1	AH014163-RA
OG0010822	VIT_215s0046g02250.1	AH009640-RA
OG0010823	VIT_211s0016g04770.1	AH020789-RA
OG0010824	VIT_204s0008g05050.1	AH019560-RA
OG0010825	VIT_211s0052g00680.1	AH020965-RA, AH014408-RA
OG0010826	VIT_208s0007g00490.1	AH012740-RA
OG0010827	VIT_211s0037g00520.1	AH014286-RA
OG0010828	VIT_216s0050g00120.1	AH012390-RA
OG0010829	VIT_216s0050g00590.1	AH019576-RA
OG0010831	VIT_204s0008g00830.1, VIT_204s0008g00830.2	AH016103-RA
OG0010832	VIT_216s0013g00240.1	AH009891-RA, AH006677-RA
OG0010833	VIT_212s0057g01250.1	AH000123-RA
OG0010834	VIT_204s0008g02650.2, VIT_204s0008g02650.1	AH016012-RA
OG0010835	VIT_204s0008g03290.2, VIT_204s0008g03290.1	AH014210-RA
OG0010836	VIT_216s0050g01470.3, VIT_216s0050g01470.1, VIT_216s0050g01470.2	AH019609-RA, AH019608-RA, AH012090-RA
OG0010837	VIT_216s0022g01430.1	AH012265-RA
OG0010838	VIT_204s0008g06880.1	AH018993-RA
OG0010839	VIT_215s0021g02260.2, VIT_215s0021g02260.3, VIT_215s0021g02260.1	AH023587-RA
OG0010840	VIT_217s0000g08930.2, VIT_217s0000g08930.1	AH010666-RA
OG0010841	VIT_211s0118g00810.1	AH020653-RA
OG0010842	VIT_202s0025g01185.1	AH009593-RA
OG0010843	VIT_202s0154g00620.1, VIT_215s0021g02760.1	AH009082-RA
OG0010844	VIT_204s0008g02010.1, VIT_204s0008g02020.1	AH019032-RA, AH015300-RA
OG0010845	VIT_209s0002g05990.1	AH002010-RA
OG0010846	VIT_211s0016g04970.1	AH014067-RA
OG0010847	VIT_204s0008g03960.1	AH016218-RA
OG0010848	VIT_215s0048g01365.1, VIT_215s0048g01350.1, VIT_215s0048g01390.1	AH009179-RA
OG0010850	VIT_215s0048g00810.1	AH020144-RA
OG0010851	VIT_211s0016g05040.2, VIT_211s0016g05040.1	AH014075-RA
OG0010852	VIT_215s0048g01345.1	AH009180-RA, AH023815-RA
OG0010853	VIT_211s0016g03020.2, VIT_211s0016g03020.1	AH020903-RA
OG0010854	VIT_202s0025g04830.2, VIT_202s0025g04830.1	AH018721-RA
OG0010855	VIT_202s0087g00830.3, VIT_202s0087g00830.2, VIT_202s0087g00830.1	AH014688-RA
OG0010858	VIT_216s0022g00330.1	AH012198-RA
OG0010859	VIT_211s0016g04980.1, VIT_206s0009g00385.1	AH020763-RA
OG0010860	VIT_210s0092g00050.1	AH017536-RA
OG0010861	VIT_211s0016g03820.2, VIT_211s0016g03820.1	AH020867-RA
OG0010863	VIT_215s0048g00430.2, VIT_215s0048g00430.1	AH009127-RA
OG0010864	VIT_206s0080g00440.3, VIT_206s0080g00440.2, VIT_206s0080g00440.4, VIT_206s0080g00440.1	AH023538-RA
OG0010865	VIT_204s0008g02250.1	AH015331-RA
OG0010866	VIT_202s0025g01230.1	AH018066-RA
OG0010867	VIT_211s0065g00940.1, VIT_211s0065g00940.2	AH014369-RA
OG0010868	VIT_216s0100g00310.1, VIT_216s0100g00310.2	AH019509-RA
OG0010869	VIT_215s0021g02520.1, VIT_215s0021g02520.2	AH009075-RA
OG0010870	VIT_211s0016g04520.1	AH020815-RA
OG0010871	VIT_211s0016g02910.2, VIT_211s0016g02910.1	AH020924-RA, AH014449-RA
OG0010872	VIT_211s0016g00560.1	AH014307-RA
OG0010873	VIT_211s0016g04910.1	AH014057-RA
OG0010874	VIT_207s0031g00950.1	AH003568-RA
OG0010875	VIT_215s0046g03670.1	AH009241-RA
OG0010876	VIT_211s0016g04690.1	AH020800-RA
OG0010877	VIT_213s0101g00060.2, VIT_213s0101g00060.1	AH010224-RA
OG0010878	VIT_204s0008g07020.1	AH018984-RA
OG0010879	VIT_211s0016g04070.1, VIT_211s0016g04070.2	AH015564-RA, AH020842-RA
OG0010880	VIT_202s0033g01300.1	AH018505-RA
OG0010881	VIT_209s0002g03650.1	AH002157-RA
OG0010882	VIT_209s0054g00760.1, VIT_209s0054g00750.1	AH013495-RA
OG0010883	VIT_211s0016g01110.4	AH014591-RA
OG0010885	VIT_202s0012g01900.1, VIT_202s0012g01900.2, VIT_202s0012g01900.3	AH018446-RA
OG0010886	VIT_204s0044g01345.1	AH003481-RA
OG0010888	VIT_204s0008g06630.2, VIT_204s0008g06630.1	AH019008-RA
OG0010889	VIT_211s0016g03390.1	AH014300-RA
OG0010890	VIT_202s0012g00180.1	AH018232-RA
OG0010891	VIT_211s0052g00120.1, VIT_211s0052g00120.3, VIT_211s0052g00120.2, VIT_211s0052g00130.2, VIT_211s0052g00130.4	AH021164-RA
OG0010892	VIT_216s0098g00890.1	AH019728-RA
OG0010893	VIT_216s0050g02260.1	AH012053-RA
OG0010895	VIT_204s0008g03740.1	AH016188-RA
OG0010896	VIT_211s0016g05450.1	AH014112-RA
OG0010897	VIT_216s0098g01400.1	AH011937-RA
OG0010898	VIT_209s0002g07010.1	AH001958-RA
OG0010899	VIT_211s0016g03940.1	AH020851-RA, AH014540-RA
OG0010900	VIT_202s0087g00610.1	AH018774-RA
OG0010901	VIT_211s0016g05060.1	AH014108-RA
OG0010902	VIT_211s0016g02570.2, VIT_211s0016g02570.1	AH014249-RA
OG0010903	VIT_208s0007g03800.1	AH012653-RA
OG0010904	VIT_209s0002g05150.1, VIT_209s0002g05150.2	AH002030-RA
OG0010905	VIT_211s0016g04840.1	AH014051-RA
OG0010906	VIT_219s0015g01790.1, VIT_219s0015g01790.2	AH009725-RA
OG0010907	VIT_211s0052g01810.1	AH014376-RA
OG0010908	VIT_209s0002g03770.2, VIT_209s0002g03770.1	AH000494-RA
OG0010909	VIT_204s0008g07040.1	AH011031-RA, AH018975-RA
OG0010911	VIT_204s0008g04740.1	AH015361-RA
OG0010912	VIT_204s0008g03750.1	AH023308-RA
OG0010914	VIT_211s0016g00780.1	AH021085-RA
OG0010915	VIT_206s0004g01860.2	AH010938-RA
OG0010916	VIT_202s0154g00540.1, VIT_204s0044g00275.1	AH018610-RA
OG0010918	VIT_219s0014g00210.5, VIT_219s0014g00210.6, VIT_219s0014g00210.4, VIT_219s0014g00210.3, VIT_200s0174g00260.4, VIT_200s0174g00260.6, VIT_200s0174g00260.5, VIT_200s0174g00260.3, VIT_200s0174g00260.2, VIT_219s0014g00210.1, VIT_219s0014g00210.2, VIT_200s0174g00260.1, VIT_200s2562g00020.1, VIT_200s2562g00010.1	AH012851-RA
OG0010919	VIT_216s0050g00830.1, VIT_216s0050g00870.1	AH019592-RA
OG0010920	VIT_202s0025g00550.1	AH011286-RA, AH018028-RA
OG0010921	VIT_211s0037g01280.1	AH021010-RA
OG0010922	VIT_204s0008g04460.1	AH013643-RA, AH006016-RA
OG0010923	VIT_216s0022g00640.1	AH012232-RA
OG0010924	VIT_211s0016g02260.1	AH021143-RA
OG0010926	VIT_215s0048g01140.1	AH022221-RA
OG0010927	VIT_211s0052g00400.1	AH021160-RA, AH014261-RA
OG0010928	VIT_204s0008g02670.2, VIT_204s0008g02670.1	AH016013-RA
OG0010929	VIT_200s1428g00020.2, VIT_200s1428g00020.1	AH014988-RA
OG0010930	VIT_208s0056g01660.1	AH003072-RA
OG0010931	VIT_208s0007g04670.1	AH021883-RA
OG0010932	VIT_200s0125g00280.1	AH000822-RA, AH002249-RA
OG0010933	VIT_212s0059g01150.1, VIT_212s0059g01150.2, VIT_212s0059g01150.3	AH021867-RA
OG0010934	VIT_219s0027g00200.1	AH022225-RA, AH013314-RA
OG0010935	VIT_206s0080g00210.3, VIT_206s0080g00210.1, VIT_206s0080g00210.2	AH022694-RA
OG0010936	VIT_205s0029g00710.1, VIT_204s0069g01110.1	AH006666-RA
OG0010937	VIT_210s0003g03870.1	AH014703-RA
OG0010939	VIT_208s0007g06830.1	AH020301-RA
OG0010940	VIT_214s0219g00060.2, VIT_214s0219g00060.1	AH020303-RA
OG0010941	VIT_206s0004g07370.2, VIT_206s0004g07370.1	AH013178-RA
OG0010942	VIT_205s0062g00880.1	AH006327-RA
OG0010944	VIT_219s0014g00460.1, VIT_219s0014g00460.2	AH010209-RA
OG0010945	VIT_214s0128g00740.1	AH011071-RA
OG0010946	VIT_213s0067g00920.1	AH023100-RA
OG0010947	VIT_219s0014g03430.1	AH009995-RA
OG0010948	VIT_210s0003g01320.1	AH001136-RA
OG0010949	VIT_206s0004g00890.1, VIT_206s0004g00890.2, VIT_208s0007g07050.1	AH007659-RA
OG0010950	VIT_210s0003g00660.1	AH009485-RA
OG0010951	VIT_200s0361g00040.1, VIT_200s0361g00040.2	AH015195-RA
OG0010952	VIT_219s0090g00120.1	AH008186-RA
OG0010953	VIT_213s0047g00350.1, VIT_213s0047g00350.2	AH007807-RA, AH010671-RA
OG0010954	VIT_208s0058g01100.1	AH012481-RA, AH021729-RA
OG0010955	VIT_201s0011g01360.1	AH021938-RA, AH012808-RA
OG0010956	VIT_206s0004g05490.1	AH013748-RA
OG0010957	VIT_212s0028g02210.1, VIT_212s0028g02200.1	AH001405-RA
OG0010959	VIT_213s0067g03040.1	AH021709-RA
OG0010960	VIT_200s2377g00010.1, VIT_200s2377g00010.3, VIT_200s2377g00010.2, VIT_200s0227g00150.1	AH017863-RA
OG0010961	VIT_208s0040g02230.1	AH021975-RA
OG0010963	VIT_219s0027g00750.1	AH019740-RA, AH023418-RA
OG0010964	VIT_208s0007g01660.3, VIT_208s0007g01660.1, VIT_208s0007g01660.2	AH017222-RA
OG0010965	VIT_210s0003g05740.1	AH021313-RA
OG0010966	VIT_213s0067g02690.2, VIT_213s0067g02690.1	AH015401-RA
OG0010967	VIT_209s0002g04190.1	AH000477-RA
OG0010968	VIT_219s0090g00200.1, VIT_219s0090g00200.2	AH008188-RA
OG0010969	VIT_206s0004g07570.1, VIT_206s0004g07570.3, VIT_206s0004g07570.2	AH014304-RA
OG0010972	VIT_212s0142g00230.1	AH001129-RA
OG0010973	VIT_219s0090g00590.1, VIT_212s0059g00700.1	AH008213-RA
OG0010975	VIT_213s0019g04870.2, VIT_213s0019g04870.1	AH010410-RA
OG0010976	VIT_213s0019g03300.1	AH023045-RA, AH009117-RA
OG0010977	VIT_201s0010g00630.1	AH005373-RA
OG0010978	VIT_206s0009g02320.1	AH004850-RA
OG0010979	VIT_208s0007g00520.5, VIT_208s0007g00520.3, VIT_208s0007g00520.6, VIT_208s0007g00520.1, VIT_208s0007g00520.4, VIT_208s0007g00520.2	AH010747-RA
OG0010980	VIT_213s0047g01110.2, VIT_213s0047g01110.1	AH010670-RA
OG0010981	VIT_208s0032g00690.1, VIT_208s0032g00690.2	AH003010-RA
OG0010984	VIT_210s0003g03190.2, VIT_210s0003g03190.1	AH014720-RA
OG0010986	VIT_208s0105g00500.2, VIT_208s0105g00500.1	AH018813-RA
OG0010988	VIT_213s0064g00170.1, VIT_213s0064g00170.2	AH016630-RA
OG0010989	VIT_219s0015g01810.3, VIT_219s0015g01810.1, VIT_219s0015g01810.2, VIT_214s0006g00821.1	AH006483-RA
OG0010990	VIT_208s0007g02970.1	AH021803-RA
OG0010991	VIT_219s0090g01760.1	AH008277-RA, AH009753-RA
OG0010992	VIT_208s0007g00620.1	AH018960-RA, AH003035-RA
OG0010993	VIT_218s0089g01390.2, VIT_218s0089g01390.1	AH010711-RA
OG0010994	VIT_208s0056g01160.2, VIT_208s0056g01160.1	AH003107-RA
OG0010995	VIT_219s0085g00600.1	AH023390-RA
OG0010996	VIT_203s0017g01285.1, VIT_200s0625g00045.1, VIT_206s0009g00530.1, VIT_200s0679g00010.1, VIT_200s0989g00010.1	AH006722-RA, AH006030-RA
OG0010997	VIT_212s0059g02110.1	AH022120-RA, AH012606-RA
OG0010999	VIT_214s0060g01270.1	AH010400-RA
OG0011000	VIT_206s0009g02490.3, VIT_206s0009g02490.2, VIT_206s0009g02490.1	AH007495-RA
OG0011001	VIT_219s0014g00230.1	AH010300-RA
OG0011002	VIT_216s0039g02570.1, VIT_216s0039g02570.3, VIT_216s0039g02570.2	AH011714-RA
OG0011003	VIT_213s0064g01430.2, VIT_213s0064g01430.1	AH020580-RA
OG0011004	VIT_213s0067g01450.1	AH016351-RA, AH023118-RA
OG0011005	VIT_213s0064g01450.1	AH022771-RA
OG0011006	VIT_219s0014g02530.1	AH010081-RA
OG0011007	VIT_203s0017g02330.1	AH012358-RA
OG0011008	VIT_206s0004g05830.1	AH019682-RA, AH013762-RA
OG0011009	VIT_205s0020g00040.3, VIT_205s0020g00040.1	AH008840-RA
OG0011010	VIT_219s0027g01680.2, VIT_219s0027g01680.1	AH023408-RA
OG0011011	VIT_206s0004g02860.1	AH001252-RA, AH000170-RA
OG0011012	VIT_213s0067g01400.1	AH016358-RA
OG0011013	VIT_212s0057g00510.1, VIT_212s0057g00510.2	AH021149-RA
OG0011014	VIT_208s0007g03260.1	AH021813-RA, AH012604-RA
OG0011015	VIT_210s0003g00110.1	AH015246-RA
OG0011016	VIT_213s0067g02440.1	AH023181-RA
OG0011017	VIT_207s0104g01040.1	AH015964-RA
OG0011018	VIT_208s0007g04520.1	AH012712-RA
OG0011019	VIT_219s0085g01020.1	AH023394-RA
OG0011020	VIT_202s0025g00410.1	AH015253-RA
OG0011021	VIT_208s0056g00630.1	AH012434-RA
OG0011022	VIT_212s0028g02620.1	AH000292-RA
OG0011023	VIT_210s0116g00300.1	AH015042-RA
OG0011024	VIT_206s0004g00810.1	AH007654-RA
OG0011025	VIT_212s0059g01530.1, VIT_212s0059g01530.2, VIT_212s0059g01490.1	AH001197-RA
OG0011026	VIT_213s0067g00670.2, VIT_213s0067g00670.1	AH008041-RA
OG0011027	VIT_213s0067g01350.1	AH016391-RA
OG0011028	VIT_213s0019g04630.1	AH010799-RA
OG0011029	VIT_210s0003g01130.1	AH021401-RA, AH014835-RA
OG0011030	VIT_207s0005g01680.1	AH002711-RA
OG0011031	VIT_202s0154g00040.1	AH003215-RA
OG0011032	VIT_212s0055g00390.1	AH017227-RA
OG0011034	VIT_204s0044g01550.1, VIT_204s0044g01550.2	AH019803-RA
OG0011035	VIT_203s0088g00320.2, VIT_203s0088g00320.1	AH000672-RA
OG0011036	VIT_202s0025g03670.3, VIT_202s0025g03670.1, VIT_202s0025g03670.2	AH018638-RA
OG0011037	VIT_219s0177g00220.1	AH009932-RA
OG0011038	VIT_201s0150g00390.1	AH021241-RA
OG0011039	VIT_211s0016g01260.1	AH021116-RA
OG0011040	VIT_216s0098g00690.1	AH019753-RA
OG0011042	VIT_202s0025g02450.1	AH018170-RA
OG0011043	VIT_201s0146g00120.1, VIT_201s0146g00120.3, VIT_201s0146g00120.2	AH004560-RA
OG0011044	VIT_207s0130g00220.1	AH010351-RA
OG0011045	VIT_219s0027g01320.1	AH005608-RA
OG0011046	VIT_202s0025g02170.1	AH018152-RA
OG0011047	VIT_200s0483g00020.1	AH003645-RA
OG0011048	VIT_207s0005g04490.1, VIT_207s0005g04490.2	AH022021-RA
OG0011049	VIT_203s0091g00820.1, VIT_203s0091g00820.2, VIT_203s0091g00820.3	AH021199-RA
OG0011050	VIT_205s0049g02120.1	AH007003-RA
OG0011051	VIT_206s0004g05510.1	AH013749-RA
OG0011052	VIT_218s0001g13270.2, VIT_218s0001g13270.1	AH008990-RA
OG0011053	VIT_217s0000g09330.1	AH017920-RA
OG0011055	VIT_203s0038g03970.1	AH001597-RA
OG0011056	VIT_203s0038g00680.1, VIT_200s0218g00090.1	AH003636-RA
OG0011057	VIT_212s0035g01940.1	AH017180-RA
OG0011058	VIT_205s0077g01800.1, VIT_205s0077g01810.1	AH007159-RA, AH007160-RA
OG0011059	VIT_202s0025g01235.1	AH018067-RA
OG0011060	VIT_218s0072g00480.1	AH008514-RA
OG0011061	VIT_207s0151g00530.2, VIT_207s0151g00530.1	AH006639-RA
OG0011062	VIT_202s0025g01250.2, VIT_202s0025g01250.1, VIT_202s0025g01250.3	AH018069-RA
OG0011063	VIT_207s0005g03660.1	AH002660-RA
OG0011064	VIT_207s0005g05510.1	AH013048-RA
OG0011065	VIT_215s0024g00390.1	AH009306-RA
OG0011066	VIT_212s0057g01540.1	AH019996-RA
OG0011067	VIT_200s0184g00030.1	AH013110-RA
OG0011069	VIT_201s0010g02910.1	AH005156-RA
OG0011070	VIT_203s0038g00370.1	AH000714-RA
OG0011071	VIT_202s0025g02890.1	AH018198-RA
OG0011072	VIT_207s0130g00100.1	AH009415-RA
OG0011073	VIT_218s0001g09080.3, VIT_218s0001g09080.1, VIT_218s0001g09080.2	AH008387-RA
OG0011074	VIT_204s0044g01410.1, VIT_204s0044g01410.2	AH003482-RA
OG0011075	VIT_214s0066g00330.1	AH004193-RA
OG0011077	VIT_217s0000g01370.1, VIT_217s0000g01370.2	AH017162-RA
OG0011079	VIT_205s0049g01360.2, VIT_205s0049g01360.1	AH019925-RA
OG0011080	VIT_207s0005g00460.1	AH009165-RA, AH022105-RA
OG0011081	VIT_214s0171g00510.1	AH017763-RA
OG0011082	VIT_214s0081g00710.1	AH010758-RA
OG0011083	VIT_201s0150g00190.1, VIT_201s0150g00190.2	AH005117-RA
OG0011085	VIT_207s0031g00090.1	AH003946-RA
OG0011086	VIT_216s0050g01420.1	AH012094-RA
OG0011087	VIT_201s0010g02370.1, VIT_201s0010g02370.2	AH016169-RA
OG0011088	VIT_205s0077g01870.1	AH020199-RA
OG0011089	VIT_207s0031g00540.1	AH006108-RA
OG0011090	VIT_203s0038g03860.1	AH001589-RA
OG0011091	VIT_202s0025g03200.1	AH000908-RA
OG0011092	VIT_215s0021g02230.1	AH005257-RA, AH004248-RA
OG0011093	VIT_214s0068g00730.1, VIT_201s0150g00380.1	AH023194-RA
OG0011094	VIT_204s0023g00720.1, VIT_204s0023g00720.2	AH011143-RA
OG0011095	VIT_201s0146g00270.1, VIT_201s0146g00270.2	AH005220-RA
OG0011096	VIT_218s0072g01060.1	AH009400-RA
OG0011097	VIT_203s0063g01890.1	AH001861-RA
OG0011098	VIT_203s0063g01800.1	AH001867-RA
OG0011099	VIT_217s0000g09710.1	AH022375-RA
OG0011100	VIT_218s0001g02530.1	AH023550-RA
OG0011101	VIT_204s0043g00400.2, VIT_204s0043g00400.3, VIT_204s0043g00400.1	AH010328-RA
OG0011102	VIT_202s0025g03470.1	AH017517-RA, AH021182-RA
OG0011103	VIT_202s0012g00980.2, VIT_202s0012g00980.3, VIT_202s0012g00980.1	AH018377-RA
OG0011104	VIT_216s0098g00660.1	AH019596-RA
OG0011105	VIT_218s0001g12780.1	AH011379-RA
OG0011107	VIT_217s0000g09040.1	AH002521-RA
OG0011108	VIT_214s0060g01920.1	AH007631-RA
OG0011111	VIT_218s0089g00210.2, VIT_218s0089g00210.1	AH008787-RA
OG0011112	VIT_218s0001g12980.1	AH015614-RA
OG0011113	VIT_202s0025g03010.2, VIT_202s0025g03010.1	AH018205-RA
OG0011114	VIT_214s0060g01080.3, VIT_214s0060g01080.1, VIT_214s0060g01080.2	AH005001-RA
OG0011115	VIT_218s0001g02520.1	AH008556-RA
OG0011116	VIT_215s0046g00180.3, VIT_215s0046g00180.2, VIT_215s0046g00180.1	AH009536-RA
OG0011117	VIT_214s0006g00410.1	AH015561-RA
OG0011118	VIT_207s0031g00680.1	AH003425-RA
OG0011119	VIT_212s0034g01090.1	AH003412-RA
OG0011120	VIT_216s0098g01280.1, VIT_216s0098g01280.2	AH011943-RA
OG0011121	VIT_211s0016g01090.1	AH011924-RA
OG0011122	VIT_214s0030g01400.3, VIT_214s0030g01400.1, VIT_214s0030g01400.2	AH010851-RA
OG0011123	VIT_207s0104g01470.1	AH012840-RA
OG0011124	VIT_203s0038g03110.1	AH003765-RA, AH017030-RA, AH017031-RA
OG0011125	VIT_218s0001g10520.1	AH015163-RA
OG0011126	VIT_205s0077g00060.1	AH020216-RA
OG0011127	VIT_218s0089g01230.1, VIT_218s0089g01230.2	AH013118-RA
OG0011128	VIT_205s0020g03330.1	AH007089-RA
OG0011129	VIT_207s0031g01640.1, VIT_207s0031g01640.2	AH010430-RA
OG0011130	VIT_218s0001g02600.1	AH008631-RA
OG0011131	VIT_217s0000g00150.1	AH002944-RA
OG0011132	VIT_205s0020g00640.1	AH005235-RA
OG0011133	VIT_207s0031g01470.1, VIT_207s0031g01470.2	AH003749-RA
OG0011134	VIT_215s0048g02620.1	AH006565-RA
OG0011138	VIT_217s0000g03820.1, VIT_217s0000g03800.1	AH017185-RA
OG0011140	VIT_217s0000g02470.1	AH020339-RA, AH006841-RA
OG0011141	VIT_201s0010g01610.1, VIT_201s0010g01610.2	AH001102-RA
OG0011143	VIT_204s0023g01460.1	AH005592-RA
OG0011144	VIT_201s0182g00050.1	AH009219-RA, AH004351-RA, AH005024-RA
OG0011145	VIT_217s0000g09890.3, VIT_217s0000g09890.2, VIT_217s0000g09890.1	AH013554-RA
OG0011146	VIT_202s0012g01110.1	AH018344-RA
OG0011147	VIT_217s0000g06060.2, VIT_217s0000g06060.3, VIT_217s0000g06060.1	AH017599-RA
OG0011149	VIT_204s0044g00070.2, VIT_204s0044g00070.1	AH021140-RA
OG0011150	VIT_217s0000g03040.1	AH020180-RA
OG0011151	VIT_217s0000g05940.1, VIT_217s0000g05940.2, VIT_217s0000g05940.4, VIT_217s0000g05940.3	AH009278-RA
OG0011152	VIT_215s0021g00530.1	AH009337-RA
OG0011153	VIT_201s0127g00420.1	AH004926-RA
OG0011154	VIT_215s0021g00880.1	AH009339-RA
OG0011155	VIT_201s0011g03010.1	AH005425-RA
OG0011156	VIT_214s0006g01900.2, VIT_214s0006g01900.1, VIT_214s0006g01900.3	AH022836-RA
OG0011157	VIT_201s0011g06390.1	AH003289-RA
OG0011158	VIT_201s0011g05010.2, VIT_201s0011g05010.1	AH004142-RA
