Orthogroup	A_hypochondriacus.proteins	B_vulgaris.proteins
OG0009786	AH007984-RA	Bevul.4G081600.1.p
OG0009787	AH002475-RA	Bevul.9G225600.1.p
OG0009788	AH004915-RA	Bevul.6G213700.1.p
OG0009789	AH023512-RA	Bevul.2G108900.2.p, Bevul.2G108900.3.p, Bevul.2G108900.1.p
OG0009790	AH011694-RA	Bevul.8G037900.1.p
OG0009791	AH021899-RA	Bevul.7G115200.1.p
OG0009792	AH007803-RA	Bevul.4G111300.1.p
OG0009793	AH015842-RA	Bevul.2G075000.1.p, Bevul.5G107100.1.p
OG0009794	AH016495-RA	Bevul.2G218100.1.p
OG0009795	AH022842-RA	Bevul.2G207100.1.p
OG0009796	AH007286-RA	Bevul.3G017100.1.p
OG0009797	AH021215-RA	Bevul.8G103500.1.p
OG0009798	AH017464-RA	Bevul.5G172500.1.p
OG0009799	AH002971-RA	Bevul.5G158300.1.p
OG0009800	AH005512-RA	Bevul.6G107900.1.p
OG0009801	AH000890-RA	Bevul.9G144700.1.p
OG0009802	AH011378-RA	Bevul.4G193200.1.p
OG0009803	AH004594-RA	Bevul.6G239600.1.p
OG0009804	AH005105-RA	Bevul.7G086700.1.p, Bevul.7G086700.2.p
OG0009805	AH011781-RA	Bevul.3G020200.1.p
OG0009806	AH000030-RA	Bevul.9G011900.1.p
OG0009807	AH002720-RA	Bevul.5G258100.1.p
OG0009808	AH005019-RA	Bevul.6G230400.1.p
OG0009810	AH005351-RA	Bevul.6G152600.1.p
OG0009811	AH020608-RA, AH011640-RA	Bevul.5G213700.1.p
OG0009812	AH011553-RA	Bevul.5G098000.1.p
OG0009813	AH022816-RA	Bevul.2G203200.1.p
OG0009814	AH023423-RA	Bevul.2G093900.1.p
OG0009815	AH012212-RA	Bevul.3G089400.1.p
OG0009816	AH021218-RA	Bevul.8G104900.1.p
OG0009817	AH018233-RA, AH011459-RA	Bevul.5G079300.1.p
OG0009818	AH005005-RA, AH004336-RA	Bevul.6G228000.1.p
OG0009819	AH006293-RA	Bevul.5G216100.1.p
OG0009820	AH000858-RA	Bevul.9G141800.1.p
OG0009821	AH001966-RA	Bevul.9G192300.1.p, Bevul.9G192300.2.p
OG0009822	AH003080-RA	Bevul.5G111000.1.p
OG0009823	AH003071-RA	Bevul.5G120900.1.p
OG0009824	AH017956-RA, AH002505-RA	Bevul.5G215600.1.p
OG0009825	AH014074-RA	Bevul.8G180500.1.p
OG0009826	AH015656-RA	Bevul.2G038800.1.p
OG0009827	AH009375-RA	Bevul.1G144200.1.p
OG0009828	AH004123-RA	Bevul.6G109700.1.p
OG0009829	AH004041-RA	Bevul.6G080400.1.p
OG0009830	AH003390-RA	Bevul.6G042600.1.p
OG0009832	AH023434-RA	Bevul.4G109500.1.p
OG0009833	AH004651-RA	Bevul.6G247500.1.p
OG0009834	AH005343-RA	Bevul.6G140700.1.p
OG0009835	AH016498-RA	Bevul.2G217700.2.p, Bevul.2G217700.1.p
OG0009836	AH018218-RA, AH011411-RA	Bevul.5G074700.1.p
OG0009837	AH004775-RA	Bevul.6G191300.1.p
OG0009838	AH010763-RA	Bevul.1G161800.1.p, Bevul.4G145300.1.p, Bevul.9G065000.1.p, Bevul.8G089000.1.p
OG0009839	AH004354-RA	Bevul.6G231600.1.p
OG0009840	AH011405-RA	Bevul.5G072300.1.p
OG0009841	AH017548-RA	Bevul.5G182900.1.p
OG0009842	AH004682-RA	Bevul.6G243500.1.p
OG0009843	AH005011-RA	Bevul.6G229100.1.p
OG0009844	AH020187-RA	Bevul.3G163600.1.p
OG0009845	AH004032-RA	Bevul.6G078200.1.p
OG0009847	AH018510-RA	Bevul.5G105600.1.p
OG0009848	AH018476-RA	Bevul.5G100500.1.p
OG0009849	AH001073-RA	Bevul.9G010000.1.p
OG0009850	AH018313-RA	Bevul.5G071000.1.p
OG0009851	AH004337-RA, AH005006-RA	Bevul.6G228100.1.p
OG0009852	AH004783-RA, AH004423-RA	Bevul.6G190200.1.p
OG0009853	AH013597-RA	Bevul.7G136700.1.p
OG0009854	AH015962-RA	Bevul.2G111400.1.p
OG0009855	AH000008-RA	Bevul.9G006800.1.p
OG0009856	AH002770-RA	Bevul.5G201300.1.p
OG0009857	AH004704-RA	Bevul.6G248700.1.p
OG0009857	AH015732-RA	Bevul.2G052900.1.p
OG0009858	AH000076-RA	Bevul.9G015000.1.p
OG0009859	AH013059-RA	Bevul.8G105300.1.p
OG0009860	AH011513-RA	Bevul.7G194500.1.p
OG0009861	AH004644-RA	Bevul.6G248100.1.p
OG0009862	AH020570-RA	Bevul.5G209500.1.p
OG0009863	AH005384-RA	Bevul.6G129000.1.p
OG0009864	AH005208-RA, AH004559-RA	Bevul.6G203400.1.p
OG0009865	AH010255-RA	Bevul.4G096400.1.p
OG0009866	AH007843-RA	Bevul.4G120100.1.p
OG0009867	AH005399-RA	Bevul.6G126300.1.p
OG0009868	AH017511-RA	Bevul.5G178200.1.p
OG0009869	AH006257-RA	Bevul.6G042800.1.p
OG0009870	AH008704-RA	Bevul.1G106500.1.p
OG0009871	AH010704-RA	Bevul.4G121300.1.p
OG0009873	AH012905-RA	Bevul.7G076900.1.p
OG0009874	AH006338-RA	Bevul.9G004600.1.p
OG0009875	AH018172-RA	Bevul.5G061300.1.p
OG0009876	AH017074-RA	Bevul.1G081800.1.p, Bevul.4G118000.1.p
OG0009877	AH019384-RA	Bevul.2G057400.1.p, Bevul.2G057400.2.p
OG0009878	AH003504-RA	Bevul.6G053300.1.p
OG0009879	AH005102-RA	Bevul.6G240700.1.p
OG0009880	AH017653-RA	Bevul.5G201800.1.p
OG0009881	AH022835-RA	Bevul.2G205800.1.p
OG0009882	AH015774-RA	Bevul.2G059800.1.p
OG0009883	AH000782-RA	Bevul.7G180700.1.p
OG0009884	AH007266-RA	Bevul.3G015800.1.p
OG0009885	AH001446-RA	Bevul.9G100000.1.p
OG0009886	AH018783-RA	Bevul.5G048500.1.p
OG0009887	AH019172-RA	Bevul.2G044300.2.p, Bevul.2G044300.1.p
OG0009887	AH019238-RA	Bevul.2G034600.1.p, Bevul.2G034500.1.p, Bevul.2G034400.1.p, Bevul.2G034700.1.p, Bevul.2G035100.1.p, Bevul.2G041000.1.p, Bevul.2G076900.1.p, Bevul.2G076900.2.p, Bevul.2G026500.1.p, Bevul.2G026300.1.p, Bevul.2G026100.1.p, Bevul.2G026600.1.p, Bevul.2G026400.1.p, Bevul.2G021000.1.p
OG0009888	AH018611-RA	Bevul.2G147200.1.p, Bevul.5G030000.1.p
OG0009889	AH023205-RA	Bevul.2G180600.1.p
OG0009890	AH010130-RA, AH011248-RA, AH020656-RA, AH011384-RA, AH006102-RA, AH023552-RA, AH013690-RA, AH014180-RA, AH020881-RA, AH005904-RA, AH011535-RA	Bevul.4G096800.1.p
OG0009891	AH023098-RA	Bevul.5G162100.1.p
OG0009894	AH002522-RA	Bevul.5G218400.1.p
OG0009894	AH010832-RA, AH010829-RA	Bevul.9G114200.1.p
OG0009895	AH010588-RA	Bevul.4G147200.1.p, Bevul.4G147000.1.p, Bevul.4G147100.1.p, Bevul.4G146900.1.p
OG0009895	AH010589-RA	Bevul.4G146500.1.p
OG0009896	AH009936-RA	Bevul.4G042300.1.p
OG0009897	AH009237-RA	Bevul.1G167300.1.p
OG0009898	AH019746-RA, AH011875-RA	Bevul.3G023900.1.p
OG0009900	AH012884-RA	Bevul.5G129700.1.p, Bevul.8G096400.1.p
OG0009901	AH012517-RA	Bevul.7G013100.1.p, Bevul.7G013100.3.p, Bevul.7G013100.2.p
OG0009902	AH015223-RA	Bevul.8G027000.1.p
OG0009903	AH014911-RA	Bevul.8G044100.1.p, Bevul.8G044000.1.p, Bevul.8G043900.1.p
OG0009903	AH014910-RA, AH014909-RA, AH014912-RA	Bevul.8G043600.1.p
OG0009904	AH015135-RA	Bevul.8G061500.1.p
OG0009905	AH014684-RA	Bevul.8G106200.1.p
OG0009906	AH003975-RA, AH006144-RA	Bevul.6G006300.1.p
OG0009907	AH004952-RA	Bevul.6G221400.1.p, Bevul.6G221300.1.p
OG0009908	AH011260-RA	Bevul.5G028400.1.p
OG0009909	AH007877-RA	Bevul.4G126300.1.p
OG0009910	AH006486-RA	Bevul.3G233700.1.p
OG0009911	AH006623-RA	Bevul.3G217000.1.p
OG0009912	AH004058-RA	Bevul.6G125400.1.p
OG0009913	AH002392-RA	Bevul.9G210700.1.p
OG0009914	AH001566-RA	Bevul.9G115800.1.p
OG0009954	AH020139-RA	Bevul.3G133100.1.p
OG0009955	AH003089-RA, AH018786-RA	Bevul.5G048800.1.p
OG0009956	AH021769-RA	Bevul.7G017300.1.p
OG0009959	AH011801-RA	Bevul.3G129200.1.p
OG0009960	AH015443-RA	Bevul.9G086700.1.p
OG0009961	AH022204-RA	Bevul.7G123500.1.p
OG0009962	AH005029-RA	Bevul.6G231800.1.p
OG0009963	AH012643-RA	Bevul.8G203400.1.p
OG0009964	AH020138-RA	Bevul.3G133200.1.p
OG0009965	AH014243-RA	Bevul.3G143400.1.p
OG0009966	AH019102-RA	Bevul.5G138600.1.p
OG0009968	AH020214-RA	Bevul.3G165300.1.p
OG0009969	AH013248-RA	Bevul.7G226800.1.p
OG0009970	AH006601-RA, AH020504-RA	Bevul.3G219600.1.p
OG0009971	AH006545-RA	Bevul.3G225200.1.p
OG0009972	AH012806-RA	Bevul.7G070000.1.p
OG0009973	AH021801-RA	Bevul.7G023900.1.p
OG0009974	AH014377-RA	Bevul.6G097400.1.p
OG0009975	AH010719-RA	Bevul.4G122600.1.p
OG0009977	AH010789-RA	Bevul.4G135100.1.p
OG0009978	AH007067-RA	Bevul.3G143600.1.p
OG0009979	AH016652-RA	Bevul.2G189800.1.p, Bevul.2G189800.3.p, Bevul.2G189800.2.p
OG0009980	AH008504-RA	Bevul.1G047000.1.p, Bevul.1G044700.1.p
OG0009981	AH007201-RA	Bevul.3G008700.1.p
OG0009982	AH004189-RA	Bevul.5G137300.1.p
OG0009983	AH006421-RA	Bevul.6G035300.1.p
OG0009984	AH010821-RA	Bevul.4G138200.1.p
OG0009985	AH011705-RA	Bevul.3G122900.1.p
OG0009987	AH022628-RA	Bevul.7G183200.1.p
OG0009988	AH007077-RA, AH019557-RA	Bevul.3G142000.1.p
OG0009990	AH011807-RA	Bevul.3G121300.1.p
OG0009992	AH012902-RA	Bevul.7G077000.2.p, Bevul.7G077000.1.p
OG0009993	AH013815-RA	Bevul.7G190000.1.p
OG0009994	AH016439-RA	Bevul.2G227400.2.p, Bevul.2G227400.1.p
OG0009995	AH021991-RA	Bevul.7G057500.1.p
OG0009996	AH015716-RA	Bevul.2G050200.1.p
OG0009998	AH006753-RA	Bevul.3G197200.1.p
OG0010000	AH006814-RA	Bevul.3G188500.1.p
OG0010001	AH022819-RA	Bevul.9G025900.1.p, Bevul.3G072900.1.p
OG0010002	AH000377-RA	Bevul.9G103600.1.p
OG0010003	AH017812-RA	Bevul.5G236900.1.p
OG0010004	AH014246-RA	Bevul.6G110600.1.p
OG0010005	AH018963-RA, AH015658-RA	Bevul.2G039100.1.p
OG0010007	AH013800-RA	Bevul.7G192000.1.p
OG0010008	AH022332-RA, AH013402-RA	Bevul.7G165400.1.p
OG0010009	AH012717-RA	Bevul.6G155000.1.p
OG0010010	AH008234-RA	Bevul.4G021000.1.p
OG0010011	AH007938-RA	Bevul.4G129700.1.p
OG0010012	AH022170-RA	Bevul.7G086200.1.p, Bevul.7G086200.2.p
OG0010014	AH022437-RA	Bevul.7G222200.1.p
OG0010015	AH012906-RA	Bevul.7G076600.1.p
OG0010015	AH012904-RA	Bevul.6G126600.1.p
OG0010016	AH020165-RA	Bevul.3G152300.1.p
OG0010017	AH015617-RA, AH015620-RA	Bevul.7G084700.1.p
OG0010018	AH021970-RA, AH019176-RA	Bevul.9G066900.1.p
OG0010019	AH012607-RA	Bevul.4G200600.1.p
OG0010020	AH020293-RA	Bevul.3G177300.1.p
OG0010021	AH011634-RA	Bevul.3G102600.1.p
OG0010022	AH007523-RA, AH007524-RA, AH007525-RA	Bevul.4G148900.1.p
OG0010023	AH007545-RA	Bevul.4G144000.1.p
OG0010024	AH016361-RA	Bevul.2G238700.1.p
OG0010025	AH017800-RA	Bevul.5G238600.1.p
OG0010026	AH013103-RA, AH022196-RA	Bevul.7G128900.1.p
OG0010027	AH000227-RA	Bevul.9G037800.1.p
OG0010028	AH013602-RA	Bevul.7G136400.1.p, Bevul.3G207700.1.p
OG0010029	AH010446-RA, AH010445-RA	Bevul.4G153800.1.p
OG0010030	AH012773-RA, AH022000-RA	Bevul.7G056100.1.p
OG0010031	AH022559-RA	Bevul.7G202800.1.p
OG0010032	AH000721-RA, AH002402-RA	Bevul.9G212100.1.p, Bevul.9G212100.2.p
OG0010033	AH006580-RA	Bevul.3G221400.1.p
OG0010035	AH016974-RA	Bevul.1G080100.1.p
OG0010036	AH016465-RA, AH022954-RA	Bevul.2G232900.2.p, Bevul.2G232900.1.p
OG0010038	AH005612-RA	Bevul.6G084400.1.p
OG0010039	AH002034-RA	Bevul.7G207500.1.p
OG0010040	AH009673-RA	Bevul.1G179100.1.p
OG0010041	AH002205-RA	Bevul.9G142800.1.p
OG0010042	AH012699-RA, AH019201-RA	Bevul.7G044000.1.p
OG0010043	AH013171-RA, AH022482-RA	Bevul.7G216200.1.p
OG0010044	AH018280-RA	Bevul.5G065900.1.p
OG0010045	AH007134-RA	Bevul.3G053700.1.p, Bevul.3G053600.1.p
OG0010046	AH006560-RA	Bevul.3G223600.1.p
OG0010047	AH020324-RA	Bevul.3G182800.1.p
OG0010049	AH013964-RA	Bevul.8G168300.1.p
OG0010050	AH019836-RA	Bevul.3G148700.1.p
OG0010051	AH020315-RA, AH006866-RA	Bevul.3G181200.1.p
OG0010052	AH006912-RA	Bevul.3G177200.1.p
OG0010053	AH020464-RA, AH006710-RA	Bevul.3G205100.1.p
OG0010054	AH006813-RA, AH020357-RA	Bevul.3G188700.1.p
OG0010055	AH004015-RA, AH004014-RA	Bevul.6G108600.1.p
OG0010056	AH020275-RA	Bevul.3G174300.1.p
OG0010057	AH011795-RA	Bevul.3G128400.1.p
OG0010058	AH012931-RA	Bevul.7G092400.1.p
OG0010059	AH007006-RA	Bevul.4G193600.1.p
OG0010060	AH006990-RA	Bevul.3G160700.1.p
OG0010063	AH006225-RA	Bevul.6G052000.1.p
OG0010064	AH019323-RA	Bevul.2G035200.1.p
OG0010065	AH008599-RA	Bevul.8G018500.1.p
OG0010066	AH002413-RA	Bevul.9G118800.1.p
OG0010067	AH023705-RA	Bevul.1G068800.1.p
OG0010068	AH008632-RA	Bevul.1G086600.1.p
OG0010069	AH009473-RA	Bevul.9G150000.1.p
OG0010070	AH010635-RA	Bevul.4G176900.1.p
OG0010071	AH000738-RA	Bevul.9G122900.1.p
OG0010072	AH009262-RA	Bevul.1G155300.1.p
OG0010073	AH008809-RA	Bevul.1G110500.1.p
OG0010074	AH017197-RA	Bevul.5G146400.1.p
OG0010075	AH008618-RA	Bevul.1G055000.1.p
OG0010076	AH008869-RA	Bevul.1G118000.1.p
OG0010077	AH023548-RA	Bevul.1G067800.1.p
OG0010078	AH017002-RA	Bevul.2G119600.1.p, Bevul.2G119600.3.p, Bevul.2G119600.2.p, Bevul.2G119600.4.p
OG0010079	AH020543-RA	Bevul.4G041600.1.p
OG0010080	AH005858-RA, AH003974-RA	Bevul.6G098300.1.p
OG0010081	AH006146-RA	Bevul.6G006400.1.p
OG0010082	AH023702-RA	Bevul.1G031100.1.p
OG0010083	AH014253-RA	Bevul.8G123100.1.p
OG0010084	AH004982-RA	Bevul.6G226000.1.p
OG0010085	AH006173-RA	Bevul.6G008900.1.p
OG0010086	AH005702-RA	Bevul.6G013300.1.p
OG0010087	AH010645-RA	Bevul.4G178300.1.p
OG0010088	AH004945-RA	Bevul.6G220000.1.p
OG0010089	AH003736-RA	Bevul.6G002200.1.p
OG0010090	AH008548-RA	Bevul.1G069000.1.p
OG0010091	AH000137-RA	Bevul.9G034400.1.p
OG0010093	AH008870-RA	Bevul.1G118200.1.p
OG0010095	AH001534-RA	Bevul.1G192500.1.p
OG0010096	AH003621-RA	Bevul.6G062700.1.p
OG0010097	AH013433-RA	Bevul.7G161800.1.p
OG0010099	AH001614-RA	Bevul.9G154200.1.p
OG0010100	AH016222-RA	Bevul.2G168400.1.p
OG0010101	AH003940-RA, AH003936-RA	Bevul.6G103200.1.p
OG0010102	AH019729-RA	Bevul.3G026400.1.p
OG0010104	AH003938-RA, AH003937-RA	Bevul.6G103400.1.p
OG0010105	AH006207-RA	Bevul.6G054000.1.p
OG0010106	AH023674-RA	Bevul.1G038000.1.p
OG0010108	AH012510-RA	Bevul.9G212300.1.p
OG0010109	AH008987-RA	Bevul.1G217800.1.p
OG0010110	AH008755-RA	Bevul.1G099100.1.p
OG0010112	AH003891-RA	Bevul.6G010600.1.p
OG0010113	AH012433-RA	Bevul.6G166100.1.p
OG0010114	AH000274-RA	Bevul.6G062400.1.p
OG0010115	AH008385-RA	Bevul.1G008200.1.p
OG0010116	AH003860-RA	Bevul.6G015000.1.p
OG0010117	AH008985-RA	Bevul.1G217700.1.p
OG0010118	AH003865-RA	Bevul.6G014400.1.p
OG0010119	AH003705-RA	Bevul.6G065100.1.p
OG0010120	AH001373-RA	Bevul.9G082100.1.p, Bevul.9G082100.2.p
OG0010123	AH000421-RA	Bevul.9G094800.1.p
OG0010124	AH009871-RA	Bevul.4G019300.1.p, Bevul.4G019600.1.p
OG0010125	AH023658-RA	Bevul.1G024600.1.p
OG0010126	AH014722-RA, AH021306-RA	Bevul.8G087000.1.p
OG0010127	AH012457-RA	Bevul.2G124500.1.p
OG0010129	AH016616-RA	Bevul.2G195500.1.p
OG0010130	AH021469-RA	Bevul.8G045700.1.p, Bevul.8G045600.1.p
OG0010131	AH014917-RA	Bevul.8G044500.1.p
OG0010132	AH011662-RA	Bevul.3G106500.1.p
OG0010133	AH000139-RA	Bevul.9G034800.1.p
OG0010134	AH022052-RA	Bevul.7G110800.1.p
OG0010135	AH014745-RA	Bevul.8G081000.1.p
OG0010136	AH009748-RA	Bevul.4G012500.1.p
OG0010137	AH021675-RA	Bevul.8G021900.1.p
OG0010138	AH020960-RA	Bevul.9G021800.1.p
OG0010139	AH001422-RA	Bevul.9G093800.1.p, Bevul.9G093800.2.p
OG0010140	AH021646-RA	Bevul.8G027700.1.p
OG0010142	AH020637-RA	Bevul.8G161600.1.p
OG0010143	AH023346-RA	Bevul.2G160000.1.p
OG0010143	AH016181-RA	Bevul.2G159700.1.p, Bevul.3G202500.1.p
OG0010145	AH000379-RA	Bevul.6G149800.1.p
OG0010146	AH023425-RA	Bevul.4G046300.1.p
OG0010147	AH001428-RA	Bevul.9G095800.1.p
OG0010148	AH013530-RA	Bevul.7G145700.1.p
OG0010149	AH014352-RA, AH021161-RA	Bevul.8G120400.1.p
OG0010150	AH001984-RA	Bevul.9G193600.1.p
OG0010151	AH014714-RA	Bevul.8G122000.1.p
OG0010153	AH014337-RA	Bevul.8G141000.1.p
OG0010155	AH013394-RA	Bevul.7G166600.1.p
OG0010156	AH001967-RA	Bevul.9G192400.1.p
OG0010157	AH014437-RA	Bevul.8G206700.1.p
OG0010159	AH009604-RA	Bevul.1G186800.1.p
OG0010160	AH014265-RA	Bevul.8G154200.1.p
OG0010161	AH020121-RA	Bevul.3G062500.1.p
OG0010162	AH016071-RA	Bevul.2G141500.1.p
OG0010164	AH023293-RA	Bevul.2G165600.2.p, Bevul.2G165600.1.p
OG0010166	AH013336-RA	Bevul.7G173900.1.p
OG0010167	AH020630-RA	Bevul.8G160700.1.p
OG0010169	AH009142-RA	Bevul.1G133500.1.p
OG0010170	AH020911-RA	Bevul.8G201800.1.p
OG0010171	AH019644-RA	Bevul.3G042900.1.p
OG0010172	AH014256-RA	Bevul.8G122300.1.p
OG0010173	AH020849-RA, AH014197-RA	Bevul.8G191700.1.p
OG0010174	AH020616-RA	Bevul.8G036800.1.p
OG0010175	AH011336-RA, AH018129-RA	Bevul.5G014000.1.p
OG0010177	AH009662-RA	Bevul.5G029700.1.p
OG0010178	AH020893-RA	Bevul.8G198800.1.p
OG0010179	AH019494-RA	Bevul.7G170900.1.p, Bevul.3G081800.1.p
OG0010180	AH002045-RA	Bevul.9G199400.1.p
OG0010181	AH009276-RA	Bevul.7G194600.1.p
OG0010182	AH020946-RA	Bevul.8G208100.1.p
OG0010183	AH012404-RA	Bevul.3G069500.1.p
OG0010184	AH021168-RA	Bevul.8G117500.1.p
OG0010185	AH021508-RA	Bevul.8G057400.1.p
OG0010186	AH017028-RA	Bevul.2G132700.1.p
OG0010187	AH018704-RA	Bevul.5G037000.1.p
OG0010188	AH001941-RA	Bevul.9G191300.1.p
OG0010189	AH023356-RA	Bevul.2G158300.1.p, Bevul.2G158300.2.p
OG0010190	AH020226-RA	Bevul.5G034200.1.p
OG0010191	AH022344-RA	Bevul.7G167200.1.p
OG0010192	AH001978-RA	Bevul.9G193000.1.p
OG0010193	AH020910-RA	Bevul.8G201900.1.p
OG0010194	AH021087-RA	Bevul.8G144100.1.p
OG0010195	AH008373-RA	Bevul.1G009800.1.p
OG0010196	AH004702-RA	Bevul.6G248500.1.p
OG0010197	AH014548-RA	Bevul.8G133100.1.p
OG0010198	AH015596-RA	Bevul.1G132500.1.p
OG0010199	AH009608-RA	Bevul.1G186400.1.p
OG0010200	AH019253-RA	Bevul.2G024000.1.p
OG0010201	AH008563-RA	Bevul.7G075400.2.p, Bevul.7G075400.1.p, Bevul.7G075400.3.p
OG0010202	AH018282-RA	Bevul.5G068600.1.p
OG0010203	AH021992-RA	Bevul.7G057300.1.p
OG0010204	AH003735-RA	Bevul.6G000800.1.p
OG0010205	AH019000-RA	Bevul.2G010900.1.p
OG0010206	AH013501-RA	Bevul.7G150300.1.p
OG0010207	AH020860-RA	Bevul.8G193200.1.p
OG0010208	AH022444-RA	Bevul.1G183100.1.p
OG0010210	AH009502-RA	Bevul.1G198100.1.p
OG0010211	AH017092-RA	Bevul.2G135900.1.p
OG0010212	AH021359-RA	Bevul.8G074200.1.p
OG0010213	AH020803-RA	Bevul.8G185600.1.p
OG0010214	AH014609-RA	Bevul.8G109000.1.p
OG0010215	AH020147-RA	Bevul.6G161100.1.p
OG0010216	AH018160-RA	Bevul.5G059600.1.p
OG0010217	AH021211-RA	Bevul.8G106300.1.p
OG0010219	AH021809-RA	Bevul.5G039400.1.p
OG0010220	AH001927-RA	Bevul.8G155200.1.p, Bevul.3G084900.1.p
OG0010221	AH020902-RA	Bevul.8G199900.1.p
OG0010222	AH012429-RA	Bevul.3G066600.1.p
OG0010223	AH006116-RA	Bevul.6G003500.1.p
OG0010224	AH014302-RA	Bevul.8G147800.1.p
OG0010225	AH021047-RA	Bevul.8G152700.1.p
OG0010226	AH020787-RA	Bevul.8G183900.1.p
OG0010227	AH012844-RA, AH012843-RA	Bevul.7G089700.1.p, Bevul.7G089700.3.p, Bevul.7G089700.2.p
OG0010228	AH009644-RA	Bevul.1G182100.1.p
OG0010229	AH010629-RA	Bevul.4G092700.1.p
OG0010230	AH001526-RA	Bevul.5G150600.1.p
OG0010231	AH015362-RA	Bevul.2G019600.1.p
OG0010232	AH020814-RA	Bevul.8G187100.1.p
OG0010233	AH018034-RA	Bevul.5G023700.1.p
OG0010234	AH001986-RA	Bevul.9G193800.1.p, Bevul.9G193800.2.p, Bevul.9G193800.4.p, Bevul.9G193800.3.p
OG0010235	AH018115-RA	Bevul.5G015000.1.p
OG0010236	AH016994-RA	Bevul.2G118400.3.p, Bevul.2G118400.2.p, Bevul.2G118400.1.p
OG0010237	AH008313-RA	Bevul.5G162600.1.p
OG0010238	AH018995-RA	Bevul.2G010200.1.p
OG0010239	AH009524-RA	Bevul.1G195400.1.p
OG0010240	AH002111-RA	Bevul.9G209800.1.p
OG0010241	AH009369-RA	Bevul.1G143500.1.p
OG0010242	AH018065-RA	Bevul.5G019900.1.p
OG0010243	AH019591-RA	Bevul.3G065700.1.p
OG0010246	AH023232-RA	Bevul.2G176800.1.p
OG0010247	AH015339-RA	Bevul.2G011600.2.p, Bevul.2G011600.1.p
OG0010248	AH023764-RA	Bevul.1G047900.1.p
OG0010249	AH022343-RA	Bevul.7G167100.1.p
OG0010250	AH017226-RA	Bevul.2G081800.1.p
OG0010251	AH012330-RA	Bevul.3G080600.1.p
OG0010253	AH001456-RA	Bevul.9G102300.1.p
OG0010254	AH021479-RA	Bevul.8G048900.1.p
OG0010256	AH000275-RA	Bevul.9G087800.2.p, Bevul.9G087800.3.p, Bevul.9G087800.1.p
OG0010257	AH010251-RA	Bevul.4G094600.1.p
OG0010259	AH000216-RA	Bevul.9G041400.1.p
OG0010260	AH014681-RA	Bevul.8G100100.1.p
OG0010261	AH003018-RA	Bevul.5G120100.1.p
OG0010262	AH012648-RA	Bevul.7G032400.1.p, Bevul.7G032400.3.p, Bevul.7G032400.2.p
OG0010263	AH023464-RA, AH014813-RA	Bevul.8G006200.1.p
OG0010264	AH011032-RA	Bevul.4G225900.1.p, Bevul.4G223300.1.p
OG0010265	AH017732-RA	Bevul.5G247000.1.p
OG0010266	AH011879-RA	Bevul.3G026000.1.p
OG0010267	AH000250-RA	Bevul.9G092000.1.p
OG0010268	AH014755-RA	Bevul.8G079400.1.p
OG0010269	AH018834-RA	Bevul.5G055100.1.p
OG0010270	AH007284-RA, AH022712-RA	Bevul.7G215600.1.p
OG0010271	AH008559-RA	Bevul.1G066600.1.p
OG0010272	AH000171-RA	Bevul.8G208200.1.p
OG0010273	AH021995-RA	Bevul.7G056800.1.p
OG0010275	AH012725-RA	Bevul.7G046700.1.p
OG0010276	AH013766-RA, AH001179-RA	Bevul.7G196600.1.p
OG0010276	AH016401-RA	Bevul.2G236400.1.p
OG0010277	AH006763-RA	Bevul.3G195800.1.p
OG0010278	AH008211-RA	Bevul.4G030200.1.p
OG0010280	AH018788-RA	Bevul.5G049600.1.p
OG0010281	AH013697-RA	Bevul.7G204400.1.p
OG0010282	AH007549-RA	Bevul.4G104900.1.p
OG0010283	AH020513-RA, AH006581-RA	Bevul.3G221000.1.p
OG0010284	AH023121-RA	Bevul.2G246200.1.p
OG0010285	AH006667-RA	Bevul.8G195400.1.p
OG0010286	AH009892-RA	Bevul.4G024900.1.p
OG0010287	AH013261-RA	Bevul.7G228600.1.p
OG0010288	AH007928-RA	Bevul.4G101300.1.p
OG0010289	AH010266-RA	Bevul.4G100800.1.p
OG0010291	AH010599-RA	Bevul.4G250600.1.p
OG0010292	AH013780-RA	Bevul.7G194200.1.p
OG0010293	AH016750-RA	Bevul.9G005600.1.p
OG0010294	AH000410-RA	Bevul.9G096700.1.p
OG0010295	AH014995-RA	Bevul.8G054100.1.p
OG0010296	AH016395-RA, AH023041-RA	Bevul.2G237000.1.p
OG0010297	AH001254-RA	Bevul.9G050900.1.p
OG0010298	AH018846-RA	Bevul.5G056800.1.p
OG0010299	AH012005-RA	Bevul.3G039900.1.p
OG0010300	AH000286-RA	Bevul.9G083000.2.p, Bevul.9G083000.1.p
OG0010301	AH007682-RA	Bevul.4G242000.1.p
OG0010302	AH015904-RA	Bevul.2G119000.1.p
OG0010303	AH022616-RA	Bevul.7G180900.1.p
OG0010304	AH007992-RA	Bevul.4G080300.1.p
OG0010305	AH021113-RA, AH014577-RA	Bevul.8G137600.1.p
OG0010306	AH023183-RA, AH016301-RA	Bevul.2G183200.1.p
OG0010307	AH013745-RA	Bevul.7G199700.1.p
OG0010308	AH013658-RA	Bevul.7G208600.1.p
OG0010309	AH008299-RA	Bevul.4G006600.1.p
OG0010310	AH017265-RA, AH017264-RA	Bevul.5G136900.1.p
OG0010311	AH015239-RA, AH021660-RA	Bevul.8G024700.1.p
