Orthogroup	A_hypochondriacus.proteins	A_vesiculosa.proteins
OG0011561	AH016164-RA	Av_00010067-RA, Av_00022374-RA
OG0011562	AH021122-RA	Av_00004568-RA
OG0011564	AH013618-RA	Av_00021280-RA
OG0011566	AH002803-RA	Av_00003137-RA
OG0011567	AH018608-RA	Av_00010360-RA
OG0011569	AH015810-RA	Av_00004151-RA, Av_00015428-RA
OG0011572	AH014544-RA	Av_00007237-RA
OG0011573	AH014530-RA	Av_00004248-RA, Av_00004635-RA
OG0011575	AH012422-RA	Av_00002087-RA
OG0011576	AH019259-RA	Av_00010086-RA, Av_00018256-RA
OG0011579	AH019547-RA	Av_00020614-RA
OG0011581	AH009633-RA	Av_00014653-RA
OG0011582	AH009603-RA	Av_00009362-RA
OG0011583	AH004701-RA, AH004642-RA	Av_00005303-RA
OG0011584	AH008004-RA	Av_00017182-RA
OG0011586	AH009499-RA	Av_00011025-RA
OG0011588	AH018010-RA, AH011280-RA	Av_00024528-RA
OG0011589	AH015995-RA	Av_00008339-RA
OG0011590	AH020418-RA, AH020417-RA	Av_00010040-RA
OG0011591	AH021696-RA	Av_00018373-RA
OG0011592	AH018528-RA	Av_00015615-RA
OG0011593	AH009148-RA	Av_00022281-RA
OG0011596	AH009149-RA	Av_00000061-RA
OG0011597	AH014201-RA	Av_00000944-RA
OG0011598	AH003245-RA	Av_00019457-RA
OG0011599	AH012054-RA	Av_00020612-RA
OG0011600	AH011431-RA	Av_00020127-RA
OG0011602	AH015432-RA, AH022460-RA	Av_00008904-RA
OG0011603	AH017047-RA	Av_00015544-RA
OG0011604	AH007403-RA	Av_00001332-RA
OG0011605	AH019569-RA	Av_00002088-RA
OG0011606	AH014205-RA	Av_00023992-RA
OG0011607	AH012048-RA	Av_00014787-RA, Av_00009197-RA
OG0011611	AH010077-RA	Av_00022376-RA
OG0011612	AH008050-RA	Av_00007845-RA, Av_00000208-RA
OG0011613	AH021030-RA	Av_00007447-RA
OG0011618	AH000116-RA	Av_00020471-RA
OG0011619	AH000062-RA	Av_00012853-RA, Av_00012854-RA
OG0011620	AH005233-RB, AH005233-RA	Av_00003994-RA
OG0011622	AH019359-RA	Av_00019866-RA, Av_00019662-RA
OG0011629	AH008133-RA	Av_00000196-RA
OG0011630	AH007980-RA	Av_00007821-RA
OG0011632	AH012059-RA, AH012063-RA, AH012058-RA	Av_00002159-RA
OG0011633	AH022435-RA	Av_00020730-RA
OG0011635	AH019075-RA	Av_00014091-RA
OG0011636	AH001148-RA	Av_00004717-RA
OG0011638	AH000191-RA	Av_00024612-RA
OG0011639	AH013933-RA, AH016477-RA	Av_00011380-RA
OG0011640	AH011043-RA	Av_00016429-RA
OG0011642	AH013753-RA	Av_00006158-RA
OG0011643	AH001198-RA	Av_00006208-RA
OG0011644	AH021639-RA	Av_00023130-RA
OG0011645	AH008129-RA	Av_00015774-RA, Av_00002444-RA
OG0011647	AH009555-RA	Av_00024511-RA
OG0011648	AH012627-RA, AH022501-RA, AH013653-RA	Av_00006136-RA
OG0011649	AH013650-RA	Av_00006135-RA
OG0011653	AH022713-RA	Av_00024832-RA
OG0011654	AH010134-RA	Av_00012647-RA, Av_00002343-RA
OG0011655	AH021292-RA	Av_00008174-RA
OG0011656	AH021954-RA	Av_00024432-RA
OG0011657	AH003464-RA	Av_00012488-RA
OG0011658	AH022629-RA	Av_00008510-RA
OG0011659	AH015020-RA	Av_00003686-RA
OG0011661	AH018968-RA	Av_00015799-RA
OG0011662	AH011648-RA	Av_00002152-RA
OG0011664	AH022614-RA	Av_00010751-RA
OG0011665	AH006712-RA	Av_00023025-RA
OG0011666	AH005329-RA, AH011534-RA	Av_00013742-RA
OG0011667	AH007650-RA	Av_00004337-RA, Av_00008160-RA
OG0011668	AH001230-RA	Av_00016888-RA
OG0011669	AH015634-RA	Av_00009083-RA
OG0011670	AH012589-RA	Av_00019406-RA
OG0011671	AH004166-RA	Av_00023388-RA
OG0011674	AH021310-RA	Av_00020071-RA
OG0011675	AH020443-RA, AH006675-RA	Av_00014503-RA
OG0011676	AH013909-RA	Av_00007320-RA
OG0011677	AH007797-RA	Av_00016210-RA
OG0011679	AH021981-RA	Av_00002869-RA, Av_00012554-RA
OG0011680	AH012516-RA	Av_00015649-RA
OG0011682	AH021501-RA, AH014997-RA	Av_00010591-RA, Av_00003691-RA
OG0011683	AH009688-RA	Av_00015702-RA
OG0011684	AH014698-RA	Av_00020082-RA
OG0011685	AH016969-RA	Av_00019310-RA
OG0011686	AH014803-RA	Av_00005877-RA
OG0011687	AH021485-RA	Av_00008965-RA
OG0011688	AH008075-RA	Av_00021770-RA, Av_00014046-RA, Av_00019256-RA
OG0011691	AH014837-RA	Av_00005886-RA, Av_00021407-RA
OG0011693	AH006449-RA	Av_00015870-RA
OG0011694	AH021670-RA, AH021671-RA	Av_00008713-RA
OG0011696	AH011041-RA	Av_00001217-RA
OG0011697	AH022702-RA	Av_00020483-RA
OG0011699	AH012753-RA	Av_00019337-RA
OG0011700	AH023156-RA	Av_00005027-RA, Av_00003846-RA
OG0011702	AH012615-RA	Av_00004312-RA
OG0011704	AH007838-RA	Av_00016221-RA
OG0011705	AH011808-RA	Av_00012873-RA
OG0011706	AH021255-RA	Av_00003374-RA, Av_00010843-RA
OG0011707	AH021594-RA	Av_00014116-RA
OG0011708	AH009947-RA	Av_00002535-RA, Av_00002464-RA
OG0011709	AH013907-RA	Av_00007322-RA
OG0011710	AH019422-RA, AH014192-RA	Av_00009585-RA
OG0011711	AH006285-RA	Av_00022763-RA
OG0011712	AH004490-RA	Av_00000258-RA
OG0011713	AH019712-RA	Av_00013038-RA, Av_00017628-RA
OG0011714	AH005223-RA	Av_00012227-RA, Av_00005205-RA
OG0011716	AH013572-RA	Av_00001695-RA
OG0011717	AH003024-RA	Av_00009267-RA
OG0011718	AH008314-RA	Av_00007936-RA, Av_00006844-RA
OG0011719	AH017199-RA	Av_00008670-RA
OG0011720	AH000555-RA	Av_00023152-RA
OG0011722	AH003492-RA	Av_00011646-RA
OG0011723	AH002981-RA	Av_00015022-RA
OG0011724	AH012257-RA	Av_00002054-RA
OG0011725	AH020364-RA	Av_00005641-RA
OG0011726	AH011239-RA	Av_00006640-RA
OG0011727	AH008227-RA	Av_00013748-RA
OG0011729	AH009014-RA	Av_00017792-RA
OG0011730	AH004456-RA	Av_00019394-RA
OG0011731	AH009216-RA	Av_00014673-RA
OG0011732	AH019094-RA	Av_00006893-RA, Av_00023754-RA
OG0011733	AH005743-RA	Av_00016329-RA
OG0011734	AH002645-RA	Av_00001418-RA, Av_00003443-RA
OG0011736	AH007408-RA	Av_00016623-RA
OG0011738	AH014800-RA	Av_00017798-RA
OG0011739	AH001852-RA	Av_00023633-RA
OG0011740	AH015372-RA	Av_00024838-RA
OG0011741	AH010387-RA, AH023795-RA	Av_00006166-RA
OG0011742	AH004279-RA	Av_00015208-RA, Av_00014813-RA
OG0011746	AH014433-RA	Av_00004481-RA, Av_00023592-RA
OG0011747	AH005745-RA	Av_00016330-RA
OG0011749	AH007574-RA	Av_00001311-RA
OG0011750	AH009540-RA, AH007445-RA	Av_00008598-RA
OG0011752	AH015899-RA	Av_00016724-RA
OG0011753	AH008678-RA	Av_00019023-RA
OG0011754	AH021305-RA	Av_00008987-RA
OG0011755	AH006413-RA	Av_00022390-RA
OG0011756	AH015812-RA	Av_00012089-RA
OG0011759	AH023547-RA	Av_00014807-RA
OG0011760	AH008507-RA	Av_00019378-RA, Av_00022298-RA
OG0011761	AH021172-RA	Av_00000073-RA, Av_00003177-RA
OG0011762	AH004308-RA	Av_00018982-RA, Av_00001920-RA
OG0011763	AH000976-RA	Av_00007180-RA
OG0011764	AH018245-RA, AH013275-RA, AH019575-RA	Av_00023810-RA, Av_00022107-RA
OG0011765	AH001670-RA	Av_00004534-RA
OG0011766	AH019994-RA	Av_00002031-RA, Av_00012872-RA
OG0011767	AH010850-RA	Av_00004759-RA
OG0011768	AH008523-RA	Av_00016678-RA
OG0011770	AH012362-RA	Av_00011068-RA
OG0011771	AH004474-RA, AH004880-RA	Av_00021003-RA, Av_00019388-RA
OG0011772	AH004526-RA	Av_00012236-RA, Av_00021826-RA
OG0011773	AH019133-RA, AH015813-RA	Av_00013219-RA, Av_00018782-RA
OG0011774	AH009353-RA	Av_00020393-RA
OG0011775	AH020316-RA	Av_00020036-RA
OG0011776	AH008590-RA	Av_00019278-RA, Av_00008918-RA
OG0011778	AH016964-RA	Av_00017984-RA
OG0011780	AH002985-RA	Av_00009255-RA
OG0011782	AH017767-RA	Av_00003432-RA
OG0011785	AH009461-RA	Av_00023326-RA
OG0011786	AH019578-RA	Av_00002083-RA
OG0011787	AH019046-RA	Av_00009648-RA
OG0011789	AH023511-RA	Av_00003561-RA
OG0011790	AH022034-RA	Av_00022905-RA, Av_00000755-RA
OG0011791	AH014669-RA	Av_00001389-RA
OG0011792	AH006199-RA	Av_00015382-RA
OG0011794	AH001003-RA	Av_00016452-RA
OG0011795	AH018464-RA	Av_00021566-RA
OG0011799	AH009379-RA	Av_00008345-RA, Av_00019384-RA
OG0011801	AH010999-RA, AH022911-RA	Av_00006391-RA
OG0011802	AH004821-RA	Av_00015476-RA, Av_00025044-RA
OG0011803	AH018410-RA	Av_00017563-RA
OG0011806	AH019126-RA	Av_00005543-RA
OG0011807	AH009320-RA	Av_00023614-RA
OG0011808	AH013580-RA	Av_00003576-RA
OG0011812	AH004411-RA, AH004771-RA	Av_00015479-RA
OG0011814	AH006968-RA	Av_00022847-RA
OG0011815	AH004677-RA	Av_00024408-RA, Av_00005290-RA
OG0011816	AH002892-RA	Av_00006047-RA
OG0011817	AH017251-RA	Av_00013824-RA
OG0011818	AH002832-RA	Av_00009319-RA, Av_00012432-RA
OG0011819	AH017195-RA	Av_00010195-RA
OG0011820	AH017187-RA	Av_00022258-RA, Av_00019793-RA
OG0011821	AH016565-RA, AH022815-RA	Av_00003932-RA
OG0011823	AH005545-RA	Av_00016714-RA
OG0011825	AH002469-RA	Av_00011280-RA
OG0011827	AH017598-RA	Av_00013788-RA
OG0011828	AH017438-RA	Av_00020315-RA
OG0011829	AH004019-RA	Av_00007589-RA
OG0011830	AH016319-RA, AH023152-RA	Av_00020516-RA
OG0011831	AH020045-RA, AH009793-RA	Av_00021308-RA
OG0011832	AH019412-RA	Av_00006257-RA
OG0011833	AH005419-RA, AH004073-RA	Av_00003307-RA
OG0011834	AH005531-RA	Av_00005232-RA
OG0011835	AH005402-RA	Av_00006362-RA, Av_00007613-RA
OG0011838	AH017169-RA	Av_00000581-RA
OG0011839	AH021233-RA	Av_00010194-RA
OG0011842	AH007070-RA	Av_00010859-RA, Av_00019896-RA
OG0011843	AH009049-RA	Av_00023214-RA
OG0011844	AH016530-RA	Av_00009317-RA, Av_00015914-RA
OG0011845	AH010908-RA, AH007678-RA	Av_00001193-RA
OG0011847	AH016523-RA	Av_00022017-RA
OG0011850	AH001045-RA	Av_00001456-RA
OG0011851	AH023445-RA	Av_00013613-RA
OG0011853	AH004030-RA	Av_00015530-RA, Av_00016987-RA
OG0011854	AH004027-RA	Av_00015531-RA
OG0011855	AH002794-RA	Av_00013867-RA, Av_00011269-RA
OG0011857	AH021932-RA	Av_00000856-RA
OG0011858	AH005493-RA	Av_00000246-RA
OG0011859	AH006259-RA, AH003398-RA, AH022462-RA	Av_00019609-RA, Av_00023052-RA
OG0011860	AH000634-RA	Av_00023157-RA
OG0011862	AH002507-RA	Av_00010471-RA, Av_00017642-RA
OG0011863	AH011402-RA	Av_00007067-RA, Av_00003543-RA, Av_00023407-RA
OG0011865	AH007844-RA	Av_00016224-RA
OG0011868	AH005192-RA	Av_00021833-RA
OG0011870	AH004672-RA	Av_00005292-RA
OG0011871	AH005483-RA	Av_00018431-RA, Av_00002595-RA
OG0011874	AH015750-RA	Av_00010611-RA
OG0011875	AH017963-RA	Av_00013375-RA
OG0011876	AH017980-RA	Av_00011293-RA
OG0011879	AH019372-RA, AH019371-RA	Av_00022375-RA
OG0011882	AH018004-RA	Av_00010437-RA, Av_00014592-RA
OG0011887	AH022516-RA, AH013138-RA	Av_00020944-RA, Av_00020541-RA, Av_00006128-RA
OG0011888	AH021844-RA	Av_00005058-RA, Av_00003816-RA, Av_00002921-RA, Av_00012602-RA
OG0011890	AH016090-RA	Av_00016378-RA
OG0011891	AH016037-RA	Av_00024148-RA
OG0011892	AH017717-RA	Av_00003436-RA
OG0011893	AH010651-RA	Av_00001267-RA
OG0011897	AH009520-RA	Av_00014635-RA
OG0011899	AH008834-RA	Av_00003178-RA, Av_00013981-RA
OG0011901	AH011679-RA, AH011678-RA, AH020078-RA, AH020077-RA	Av_00018170-RA
OG0011908	AH012695-RA, AH000962-RA	Av_00004529-RA, Av_00000987-RA
OG0011910	AH005177-RA	Av_00001384-RA, Av_00017203-RA
OG0011912	AH011602-RA	Av_00002145-RA
OG0011913	AH007173-RA	Av_00013507-RA, Av_00001531-RA
OG0011914	AH006923-RA	Av_00013206-RA, Av_00006717-RA, Av_00012078-RA
OG0011916	AH003885-RA	Av_00014184-RA, Av_00010643-RA
OG0011919	AH000648-RA	Av_00010048-RA
OG0011922	AH002254-RA	Av_00007755-RA
OG0011925	AH002234-RA	Av_00007276-RA, Av_00018296-RA
OG0012005	AH010439-RA	Av_00016065-RA
OG0012007	AH020065-RA	Av_00025100-RA
OG0012008	AH013893-RA	Av_00021782-RA
OG0012009	AH005897-RA	Av_00002023-RA
OG0012012	AH012743-RA	Av_00021175-RA
OG0012013	AH006993-RA	Av_00012093-RA
OG0012016	AH017860-RA	Av_00001408-RA
OG0012017	AH012965-RA	Av_00003735-RA
OG0012019	AH007182-RA	Av_00000570-RA
OG0012022	AH013050-RA	Av_00020973-RA
OG0012025	AH007973-RA	Av_00019285-RA
OG0012026	AH007486-RA	Av_00006560-RA
OG0012027	AH015657-RA	Av_00006078-RA
OG0012028	AH020540-RA	Av_00022198-RA
OG0012031	AH002548-RA	Av_00022118-RA, Av_00019761-RA
OG0012032	AH022840-RA	Av_00022428-RA
OG0012033	AH013001-RA	Av_00005122-RA
OG0012034	AH013285-RA	Av_00017362-RA
OG0012035	AH008236-RA	Av_00021155-RA
OG0012036	AH002290-RA, AH000793-RA	Av_00004291-RA, Av_00004588-RA
OG0012038	AH010840-RA	Av_00024775-RA, Av_00024774-RA, Av_00016260-RA
OG0012041	AH000453-RA, AH000456-RA	Av_00018145-RA
OG0012042	AH007437-RA	Av_00011812-RA, Av_00006963-RA
OG0012046	AH004438-RA	Av_00018024-RA
OG0012048	AH020411-RA	Av_00013161-RA
OG0012050	AH000341-RA	Av_00006025-RA
OG0012051	AH011843-RA	Av_00009545-RA
OG0012052	AH011649-RA	Av_00002156-RA
OG0012053	AH017168-RA	Av_00015016-RA, Av_00009264-RA
OG0012054	AH014222-RA	Av_00000691-RA
OG0012055	AH012845-RA	Av_00019403-RA
OG0012056	AH003345-RA	Av_00002983-RA, Av_00014506-RA
OG0012057	AH002699-RA	Av_00009676-RA
OG0012058	AH010796-RA	Av_00001283-RA, Av_00016760-RA
OG0012059	AH020098-RA, AH020097-RA	Av_00021775-RA
OG0012061	AH012923-RA	Av_00002108-RA
OG0012062	AH020113-RA	Av_00000680-RA
OG0012063	AH013081-RA	Av_00024071-RA, Av_00004139-RA
OG0012064	AH010396-RA	Av_00006586-RA
OG0012065	AH020412-RA	Av_00013160-RA
OG0012066	AH008365-RA	Av_00004178-RA
OG0012072	AH019807-RA	Av_00014737-RA
OG0012073	AH015546-RA, AH015552-RA	Av_00015163-RA
OG0012075	AH012307-RA	Av_00011140-RA
OG0012077	AH020242-RA	Av_00012091-RA
OG0012078	AH015695-RA	Av_00005224-RA
OG0012080	AH015136-RA	Av_00005933-RA, Av_00020698-RA
OG0012081	AH011765-RA	Av_00018505-RA
OG0012082	AH017676-RA	Av_00014266-RA
OG0012083	AH019010-RA	Av_00017936-RA
OG0012084	AH006419-RA	Av_00005119-RA
OG0012085	AH011711-RA	Av_00018086-RA
OG0012086	AH010553-RA	Av_00001300-RA, Av_00015102-RA
OG0012087	AH002677-RA	Av_00003445-RA, Av_00023724-RA
OG0012089	AH012938-RA	Av_00015700-RA, Av_00005101-RA
OG0012090	AH023053-RA	Av_00015625-RA
OG0012092	AH019524-RA	Av_00013078-RA
OG0012094	AH021790-RA	Av_00022070-RA
OG0012099	AH007606-RA	Av_00023869-RA
OG0012101	AH006794-RA	Av_00014474-RA
OG0012102	AH016941-RA	Av_00009991-RA
OG0012103	AH008740-RA	Av_00015277-RA, Av_00010957-RA, Av_00013994-RA
OG0012104	AH021240-RA	Av_00020504-RA
OG0012105	AH003324-RA	Av_00015186-RA
OG0012106	AH009053-RA	Av_00012268-RA
OG0012110	AH001872-RA	Av_00012292-RA
OG0012111	AH007899-RA	Av_00019416-RA
OG0012114	AH005601-RA	Av_00015367-RA
OG0012115	AH016723-RA	Av_00010025-RA
OG0012116	AH008604-RA	Av_00000118-RA, Av_00011524-RA
OG0012117	AH007177-RA	Av_00012850-RA
OG0012118	AH009387-RA	Av_00014610-RA, Av_00008571-RA
OG0012119	AH023619-RA	Av_00022297-RA
OG0012120	AH008382-RA	Av_00006889-RA, Av_00024535-RA
OG0012123	AH001558-RA, AH023066-RA	Av_00022696-RA
OG0012124	AH005927-RA	Av_00015342-RA
OG0012125	AH006480-RA, AH008301-RA	Av_00024135-RA
OG0012128	AH001751-RA	Av_00011334-RA
OG0012129	AH007308-RA	Av_00010728-RA
OG0012130	AH005759-RA	Av_00022699-RA
OG0012132	AH016879-RA	Av_00004867-RA
OG0012133	AH001727-RA	Av_00012993-RA
OG0012139	AH003959-RA	Av_00001843-RA
OG0012140	AH008376-RA	Av_00010221-RA
OG0012141	AH003725-RA	Av_00007724-RA
OG0012142	AH002436-RA	Av_00004268-RA
OG0012143	AH008352-RA	Av_00006855-RA
OG0012144	AH002397-RA	Av_00017509-RA
OG0012145	AH016688-RA	Av_00010208-RA
OG0012148	AH002284-RA	Av_00004289-RA, Av_00011378-RA
OG0012149	AH006772-RA	Av_00020107-RA
OG0012151	AH001261-RA	Av_00013116-RA
OG0012152	AH006020-RA	Av_00008538-RA
OG0012154	AH015287-RA	Av_00021405-RA
OG0012157	AH004996-RA	Av_00005580-RA
OG0012159	AH008032-RA	Av_00017210-RA
OG0012163	AH021400-RA	Av_00005885-RA
OG0012165	AH008288-RA	Av_00008403-RA
OG0012166	AH003235-RA, AH007514-RA	Av_00015931-RA
OG0012169	AH022357-RA	Av_00015012-RA
OG0012171	AH014727-RA	Av_00018475-RA
OG0012173	AH020858-RA	Av_00004634-RA, Av_00004249-RA, Av_00008868-RA
OG0012175	AH018756-RA	Av_00010382-RA
OG0012176	AH018726-RA	Av_00003035-RA
OG0012177	AH020975-RA, AH006250-RA	Av_00012643-RA
OG0012178	AH003206-RA	Av_00010368-RA
OG0012179	AH019488-RA	Av_00001598-RA
OG0012181	AH021314-RA	Av_00020077-RA
OG0012185	AH022219-RA	Av_00015230-RA
OG0012188	AH001564-RA	Av_00006785-RA
OG0012189	AH014443-RA	Av_00019079-RA
OG0012190	AH016260-RA	Av_00018269-RA
OG0012191	AH014138-RA	Av_00003778-RA
OG0012192	AH015357-RA	Av_00020454-RA
OG0012194	AH005186-RA	Av_00002624-RA
OG0012197	AH018542-RA	Av_00014542-RA
OG0012199	AH020635-RA	Av_00009067-RA
OG0012203	AH012262-RA	Av_00020374-RA, Av_00024679-RA
OG0012205	AH017094-RA	Av_00022046-RA
OG0012206	AH004333-RA	Av_00011503-RA
OG0012208	AH019933-RA	Av_00002066-RA
OG0012209	AH005504-RA	Av_00009557-RA
OG0012210	AH016057-RA	Av_00016703-RA
OG0012211	AH019499-RA, AH019500-RA	Av_00004518-RA
OG0012212	AH010191-RA, AH014115-RA, AH014116-RA	Av_00001407-RA
OG0012213	AH018986-RA	Av_00023255-RA
OG0012214	AH016035-RA	Av_00021667-RA
OG0012216	AH014468-RA, AH014467-RA	Av_00019539-RA
OG0012217	AH022256-RA, AH013484-RA	Av_00018827-RA, Av_00010719-RA
OG0012218	AH000482-RA	Av_00008000-RA
OG0012219	AH019015-RA	Av_00012782-RA
OG0012220	AH007249-RA	Av_00002067-RA
OG0012222	AH014174-RA	Av_00019431-RA
OG0012224	AH019987-RA	Av_00003594-RA
OG0012226	AH018484-RA	Av_00017079-RA
OG0012227	AH012338-RA	Av_00012909-RA
OG0012228	AH015134-RA	Av_00005934-RA, Av_00003667-RA
OG0012230	AH014592-RA	Av_00012345-RA
OG0012231	AH013516-RA	Av_00001853-RA
OG0012233	AH008509-RA	Av_00010171-RA
OG0012234	AH020999-RA	Av_00009816-RA, Av_00023436-RA
OG0012236	AH017108-RA	Av_00019954-RA
OG0012237	AH018301-RA	Av_00010343-RA
OG0012240	AH021925-RA	Av_00004469-RA
OG0012241	AH022259-RA	Av_00018831-RA
OG0012242	AH000471-RA, AH002101-RA	Av_00020066-RA
OG0012243	AH018169-RA, AH018168-RA	Av_00010192-RA
OG0012244	AH020972-RA	Av_00018211-RA
OG0012245	AH023203-RA	Av_00012808-RA, Av_00020210-RA
OG0012248	AH022400-RA	Av_00017359-RA, Av_00008484-RA
OG0012251	AH023115-RA	Av_00005686-RA
OG0012252	AH007791-RA	Av_00014500-RA
OG0012253	AH014139-RA	Av_00009035-RA
OG0012254	AH021685-RA	Av_00003833-RA
OG0012255	AH020356-RA	Av_00012656-RA
OG0012257	AH008054-RA	Av_00023085-RA
OG0012258	AH003832-RA	Av_00014640-RA
OG0012259	AH003047-RA	Av_00019694-RA
OG0012260	AH015285-RA	Av_00005894-RA
OG0012261	AH023046-RA	Av_00011990-RA, Av_00015628-RA
OG0012262	AH023766-RA	Av_00003970-RA
OG0012266	AH013817-RA	Av_00018622-RA
OG0012268	AH023055-RA	Av_00016418-RA
OG0012269	AH000301-RA	Av_00019945-RA, Av_00021154-RA
OG0012271	AH010690-RA	Av_00002231-RA, Av_00003465-RA
OG0012272	AH007734-RA	Av_00015668-RA
OG0012273	AH013245-RA	Av_00021922-RA
OG0012275	AH018921-RA	Av_00024031-RA, Av_00002825-RA
OG0012276	AH007981-RA	Av_00019468-RA
OG0012277	AH004983-RA	Av_00001893-RA
OG0012281	AH013801-RA	Av_00020426-RA
OG0012282	AH010612-RA, AH007382-RA	Av_00010566-RA
OG0012283	AH017106-RA	Av_00012485-RA
OG0012284	AH022730-RA, AH016627-RA	Av_00003955-RA
OG0012285	AH014392-RA	Av_00011927-RA
OG0012286	AH019065-RA	Av_00020558-RA
OG0012288	AH013174-RA	Av_00022473-RA
OG0012289	AH015773-RA	Av_00019086-RA
OG0012290	AH015013-RA	Av_00005616-RA
OG0012291	AH021879-RA	Av_00015688-RA
OG0012292	AH014941-RA	Av_00014151-RA
OG0012293	AH018538-RA, AH003224-RA	Av_00023304-RA
OG0012295	AH015113-RA	Av_00022090-RA
OG0012296	AH000839-RA	Av_00018298-RA
OG0012298	AH009874-RA	Av_00003071-RA
OG0012300	AH004280-RA	Av_00024459-RA
OG0012302	AH000226-RA	Av_00019678-RA
OG0012303	AH009752-RA	Av_00008408-RA
OG0012304	AH015259-RA	Av_00024910-RA
OG0012305	AH001805-RA	Av_00010187-RA, Av_00019126-RA
OG0012306	AH006919-RA	Av_00018797-RA
OG0012309	AH013175-RA	Av_00024834-RA
OG0012310	AH018811-RA	Av_00024606-RA
OG0012311	AH010125-RA	Av_00002351-RA
OG0012312	AH010399-RA	Av_00015124-RA
OG0012313	AH013883-RA	Av_00021072-RA
OG0012315	AH015379-RA	Av_00022803-RA
OG0012317	AH016645-RA	Av_00003967-RA
OG0012319	AH008867-RA	Av_00011536-RA
OG0012320	AH021153-RA	Av_00016763-RA
OG0012321	AH010834-RA	Av_00001284-RA, Av_00015086-RA
OG0012323	AH012367-RA	Av_00009391-RA
OG0012324	AH006660-RA	Av_00000643-RA
OG0012326	AH011890-RA	Av_00009221-RA
OG0012327	AH009652-RA	Av_00000037-RA
OG0012328	AH017045-RA	Av_00021258-RA
OG0012329	AH012711-RA	Av_00022757-RA
OG0012330	AH007637-RA	Av_00001182-RA
OG0012331	AH000107-RA	Av_00024058-RA
OG0012332	AH001859-RA	Av_00023155-RA
OG0012334	AH022119-RA	Av_00019170-RA
OG0012335	AH005709-RA	Av_00016347-RA
OG0012336	AH018591-RA	Av_00003018-RA
OG0012338	AH010715-RA	Av_00020502-RA
OG0012339	AH011272-RA	Av_00005504-RA
OG0012340	AH021167-RA	Av_00006285-RA
OG0012344	AH017233-RA	Av_00009260-RA, Av_00015018-RA
OG0012345	AH022351-RA	Av_00011188-RA
OG0012348	AH023685-RA	Av_00021616-RA, Av_00009019-RA
OG0012350	AH022036-RA	Av_00002211-RA
OG0012351	AH014431-RA	Av_00009837-RA, Av_00011042-RA, Av_00016870-RA
OG0012352	AH005266-RA	Av_00017455-RA, Av_00019633-RA
OG0012353	AH022359-RA	Av_00004510-RA
OG0012354	AH004883-RA	Av_00005356-RA, Av_00002648-RA, Av_00007749-RA, Av_00002647-RA
OG0012355	AH013556-RA	Av_00010490-RA
OG0012356	AH009460-RA	Av_00003280-RA, Av_00013972-RA
OG0012358	AH008766-RA	Av_00010966-RA
OG0012359	AH004980-RA, AH004320-RA	Av_00014219-RA
OG0012362	AH001656-RA	Av_00004532-RA
OG0012366	AH004098-RA	Av_00005564-RA
OG0012368	AH006390-RA	Av_00013709-RA
OG0012370	AH003389-RA	Av_00022831-RA, Av_00022829-RA, Av_00014929-RA
OG0012371	AH016209-RA	Av_00018049-RA
OG0012372	AH006264-RA	Av_00000345-RA, Av_00021677-RA
OG0012374	AH006987-RA	Av_00017452-RA
OG0012375	AH017768-RA	Av_00003431-RA
OG0012378	AH006517-RA, AH005462-RA	Av_00006360-RA, Av_00000242-RA
OG0012380	AH017316-RA	Av_00010547-RA
OG0012381	AH017320-RA	Av_00010546-RA
OG0012382	AH005367-RA	Av_00003342-RA
OG0012384	AH018339-RA	Av_00021418-RA
OG0012387	AH008448-RA	Av_00009351-RA
OG0012388	AH019130-RA	Av_00006039-RA
OG0012389	AH004862-RA	Av_00000267-RA
OG0012390	AH016590-RA, AH022779-RA	Av_00003943-RA
OG0012392	AH007423-RA	Av_00000135-RA
OG0012393	AH004339-RA	Av_00024377-RA
OG0012394	AH005030-RA	Av_00016970-RA
OG0012395	AH022845-RA	Av_00019925-RA
OG0012396	AH018378-RA	Av_00017168-RA
OG0012397	AH004357-RA	Av_00016969-RA
OG0012398	AH021799-RA	Av_00009555-RA
OG0012401	AH004687-RA	Av_00005284-RA
OG0012403	AH022877-RA	Av_00003918-RA
OG0012404	AH002510-RA	Av_00011305-RA
OG0012405	AH005378-RA	Av_00016720-RA
OG0012406	AH007289-RA	Av_00009506-RA, Av_00009505-RA
OG0012407	AH023523-RA	Av_00006258-RA
OG0012408	AH002861-RA	Av_00013776-RA
OG0012409	AH002529-RA	Av_00001704-RA, Av_00017705-RA
OG0012410	AH022903-RA, AH010307-RA	Av_00019936-RA
OG0012412	AH018782-RA	Av_00020565-RA, Av_00019462-RA
OG0012413	AH005389-RA, AH004161-RA	Av_00011577-RA
OG0012414	AH005074-RA	Av_00014837-RA
OG0012418	AH011488-RA	Av_00016582-RA
OG0012420	AH009334-RA	Av_00004293-RA
OG0012421	AH007250-RA	Av_00017601-RA
OG0012423	AH017500-RA	Av_00010501-RA
OG0012424	AH019932-RA	Av_00009517-RA
OG0012425	AH014425-RA, AH020947-RA	Av_00017252-RA
OG0012426	AH005451-RA	Av_00015539-RA
OG0012427	AH004416-RA	Av_00022006-RA, Av_00021487-RA
OG0012428	AH001672-RA	Av_00014935-RA
OG0012431	AH016580-RA	Av_00003937-RA
OG0012432	AH017539-RA	Av_00011298-RA
