Orthogroup	A_hypochondriacus.proteins	A_thaliana.proteins
OG0010292	AH013780-RA	AT1G07320.1, AT1G07320.4, AT1G07320.3, AT1G07320.2
OG0010293	AH016750-RA	AT5G44700.1, AT4G20140.1
OG0010294	AH000410-RA	AT1G08190.1
OG0010296	AH016395-RA, AH023041-RA	AT5G55940.1
OG0010297	AH001254-RA	AT3G45230.1, AT5G60630.1
OG0010298	AH018846-RA	AT3G08780.2, AT3G08780.1
OG0010299	AH012005-RA	AT5G06160.1
OG0010300	AH000286-RA	AT3G58110.2, AT3G58110.1, AT2G42370.1
OG0010301	AH007682-RA	AT3G20780.1
OG0010302	AH015904-RA	AT1G54350.1
OG0010303	AH022616-RA	AT3G44160.1
OG0010304	AH007992-RA	AT1G78650.1
OG0010305	AH021113-RA, AH014577-RA	AT1G79340.1, AT1G79330.1
OG0010306	AH023183-RA, AH016301-RA	AT3G10960.1
OG0010307	AH013745-RA	AT1G09830.1
OG0010308	AH013658-RA	AT5G59340.1
OG0010309	AH008299-RA	AT3G13180.1
OG0010310	AH017265-RA, AH017264-RA	AT3G54120.1
OG0010311	AH015239-RA, AH021660-RA	AT2G33800.1
OG0010312	AH001851-RA	AT1G47750.1
OG0010313	AH006699-RA, AH020452-RA	AT2G41250.1
OG0010314	AH023130-RA, AH016340-RA	AT5G05480.1
OG0010315	AH003031-RA	AT3G46560.1
OG0010316	AH004170-RA, AH005382-RA	AT1G68440.1, AT1G25400.1, AT1G25400.2
OG0010317	AH010995-RA	AT3G20890.2, AT3G20890.1
OG0010318	AH006499-RA	AT1G25260.1
OG0010319	AH018923-RA	AT3G05680.1, AT3G05680.2
OG0010320	AH020956-RA	AT1G04980.1, AT2G32920.1
OG0010321	AH007777-RA	AT5G04760.1
OG0010322	AH020288-RA	AT4G10100.3, AT4G10100.2, AT4G10100.1
OG0010323	AH014880-RA, AH021437-RA	AT4G17240.1, AT4G17240.2
OG0010324	AH006622-RA	AT2G40840.1
OG0010325	AH000163-RA	AT5G60540.1
OG0010326	AH011383-RA, AH011651-RA	AT5G58575.1, AT5G58575.2
OG0010327	AH006747-RA	AT2G41550.1
OG0010328	AH011076-RA	AT5G19485.1
OG0010329	AH015895-RA	AT4G28200.1
OG0010330	AH021271-RA, AH014686-RA	AT1G30440.1
OG0010331	AH019118-RA	AT1G11900.1
OG0010332	AH022582-RA, AH022393-RA	AT3G44620.1, AT3G44620.2
OG0010333	AH014413-RA	AT1G05030.2, AT1G05030.1
OG0010334	AH010906-RA	AT5G19630.1
OG0010335	AH006764-RA	AT2G41750.1
OG0010336	AH007019-RA	AT5G18570.1
OG0010337	AH012798-RA	AT2G20280.1
OG0010338	AH015933-RA	AT5G13510.1
OG0010339	AH018890-RA	AT2G35900.1, AT2G35900.3, AT2G35900.2
OG0010340	AH014657-RA	AT4G15440.1
OG0010341	AH015640-RA	AT3G12270.1
OG0010342	AH011759-RA	AT5G01230.1
OG0010343	AH013212-RA	AT2G30270.1
OG0010344	AH017177-RA	AT1G80880.1, AT1G80880.2, AT1G80880.3
OG0010345	AH021667-RA	AT1G03000.1
OG0010346	AH007690-RA, AH010932-RA	AT3G20830.1, AT1G51170.1
OG0010347	AH013767-RA	AT3G46960.3, AT3G46960.2, AT3G46960.1
OG0010348	AH001016-RA, AH003315-RA	AT5G14105.1
OG0010349	AH010946-RA	AT2G22410.1
OG0010350	AH012292-RA	AT4G04770.1
OG0010351	AH000592-RA, AH001740-RA	AT4G34700.1
OG0010353	AH003008-RA	AT3G63000.1, AT2G47970.2, AT2G47970.1
OG0010354	AH019144-RA	AT1G03905.1, AT1G03905.3, AT1G03905.4, AT1G03905.2, AT5G44110.1
OG0010355	AH003643-RA	AT4G38050.1
OG0010356	AH005287-RA	AT5G49945.1, AT4G24330.1
OG0010357	AH011743-RA, AH020008-RA	AT2G43950.2, AT2G43950.1
OG0010358	AH010461-RA	AT3G05330.1
OG0010359	AH003541-RA	AT3G18800.1
OG0010360	AH020879-RA	AT2G13540.1
OG0010361	AH010347-RA	AT5G23575.1, AT5G08500.1, AT5G08500.2
OG0010362	AH008441-RA	AT1G75130.1
OG0010363	AH012764-RA	AT4G27490.1, AT4G27490.4, AT4G27490.3, AT4G27490.7
OG0010364	AH021192-RA, AH014623-RA	AT1G10310.1
OG0010365	AH018083-RA, AH011316-RA	AT1G64380.1
OG0010366	AH019920-RA	AT3G23360.1
OG0010367	AH007238-RA	AT5G17510.2, AT5G17510.1
OG0010368	AH012169-RA	AT5G61480.1
OG0010369	AH019617-RA	AT5G52880.1
OG0010370	AH005600-RA	AT2G18510.1
OG0010371	AH005136-RA	AT5G13250.1, AT5G13250.2, AT1G28080.2, AT1G28080.1
OG0010373	AH022094-RA, AH012953-RA	AT2G47580.1
OG0010374	AH008512-RA	AT1G76860.1, AT1G21190.1
OG0010375	AH013097-RA	AT3G07150.1
OG0010376	AH001908-RA	AT3G19210.3, AT3G19210.1, AT3G19210.2
OG0010377	AH006523-RA	AT5G26570.2, AT5G26570.1
OG0010378	AH020157-RA, AH007035-RA	AT3G06300.1, AT5G18900.1
OG0010379	AH003274-RA	AT1G14620.2, AT1G14620.1
OG0010380	AH005243-RA	AT3G26640.1, AT1G12910.1
OG0010381	AH000006-RA	AT3G55010.1, AT3G55010.2
OG0010383	AH018401-RA	AT3G12290.1
OG0010385	AH005713-RA	AT5G67570.1
OG0010386	AH002294-RA	AT4G38495.1
OG0010387	AH005113-RA	AT5G13390.1, AT5G13390.2
OG0010388	AH012276-RA, AH020462-RA	AT2G41380.1
OG0010390	AH018054-RA	AT5G41760.2, AT5G41760.1
OG0010391	AH017895-RA	AT3G25410.1
OG0010392	AH022110-RA	AT4G02425.1
OG0010393	AH002514-RA	AT5G50160.2, AT5G50160.1
OG0010394	AH015874-RA	AT1G21600.1, AT1G21600.2
OG0010395	AH007604-RA	AT1G09130.1, AT1G09130.2, AT1G09130.3
OG0010396	AH004267-RA	AT2G38130.2, AT2G38130.1
OG0010397	AH009266-RA	AT1G75350.1
OG0010398	AH023421-RA	AT3G12930.1
OG0010399	AH004278-RA	AT2G31410.1
OG0010400	AH004436-RA	AT1G23400.1
OG0010401	AH005585-RA	AT4G36760.3, AT4G36760.2, AT4G36760.1
OG0010403	AH009639-RA	AT1G01500.1
OG0010404	AH009429-RA	AT5G47280.1, AT5G04720.1, AT3G26470.1, AT4G33300.2, AT4G33300.1
OG0010405	AH013532-RA	AT5G50310.1
OG0010406	AH010502-RA	AT5G27710.2, AT5G27710.1
OG0010407	AH021135-RA	AT2G19490.1
OG0010408	AH019928-RA	AT4G14310.2, AT4G14310.1
OG0010409	AH001846-RA	AT1G49380.1
OG0010411	AH019662-RA	AT5G60340.1
OG0010412	AH019840-RA	AT4G16210.1
OG0010413	AH009028-RA	AT1G71865.1
OG0010414	AH007969-RA	AT3G22480.1, AT3G22480.2
OG0010415	AH006989-RA	AT3G16730.1
OG0010416	AH009549-RA	AT3G61800.2, AT3G61800.1
OG0010417	AH017780-RA, AH002607-RA	AT4G02620.1
OG0010418	AH020227-RA	AT4G35910.1
OG0010419	AH005789-RA	AT4G36440.1
OG0010421	AH011824-RA	AT1G76660.1, AT1G76660.2
OG0010422	AH010260-RA	AT1G75980.2, AT1G75980.1
OG0010423	AH019843-RA	AT3G06610.1
OG0010424	AH004323-RA	AT3G53440.1, AT3G53440.2
OG0010425	AH009411-RA	AT1G35620.1
OG0010426	AH009017-RA	AT5G09740.1, AT5G64610.1
OG0010427	AH023740-RA	AT3G06920.1, AT3G06920.2, AT3G06920.3
OG0010428	AH009482-RA	AT4G01410.1
OG0010429	AH009029-RA, AH023626-RA	AT1G34300.1
OG0010431	AH004917-RA	AT1G67620.1
OG0010433	AH001270-RA	AT1G48940.1, AT3G18590.1
OG0010434	AH009671-RA	AT2G45990.2, AT2G45990.1, AT2G45990.3
OG0010435	AH004284-RA	AT1G12830.1
OG0010436	AH006999-RA	AT4G21865.1
OG0010437	AH007559-RA	AT1G55000.1, AT1G55000.2, AT1G55000.3
OG0010438	AH011960-RA	AT5G24314.1, AT5G24314.2
OG0010440	AH015511-RA, AH021212-RA	AT1G73050.1
OG0010441	AH010873-RA, AH007535-RA	AT3G05000.1
OG0010442	AH015373-RA	AT5G08400.1, AT5G08400.2
OG0010443	AH013446-RA	AT1G19340.1
OG0010444	AH006469-RA	AT4G35930.3, AT4G35930.2, AT4G35930.1, AT4G35930.4
OG0010445	AH009718-RA	AT1G75430.1, AT1G75430.2
OG0010446	AH005161-RA	AT1G67440.1, AT1G67440.2
OG0010447	AH010581-RA	AT1G50680.1, AT1G51120.1
OG0010449	AH018108-RA	AT4G23940.1
OG0010451	AH009067-RA	AT2G45000.1
OG0010452	AH007633-RA	AT4G26410.1
OG0010453	AH010716-RA	AT1G65900.1, AT1G65900.2
OG0010454	AH002790-RA, AH017632-RA	AT1G74740.1, AT1G18890.1
OG0010455	AH017060-RA	AT1G79150.1
OG0010456	AH007818-RA	AT5G40610.1
OG0010457	AH007882-RA	AT1G07950.1, AT1G07950.2, AT1G16430.1
OG0010458	AH017367-RA, AH002960-RA	AT5G50900.1
OG0010459	AH010927-RA	AT5G12930.1
OG0010460	AH004092-RA	AT1G68760.1
OG0010461	AH019938-RA	AT2G04940.1
OG0010463	AH013054-RA	AT5G44590.1, AT5G44590.2, AT5G44600.1
OG0010464	AH017337-RA	AT3G48120.1, AT3G48120.2
OG0010465	AH017566-RA	AT1G18730.5, AT1G18730.1, AT1G18730.4, AT1G18730.2, AT1G18730.3
OG0010466	AH023709-RA	AT1G20230.1
OG0010467	AH003138-RA	AT1G31600.2, AT1G31600.1, AT1G31600.3, AT1G31600.4
OG0010468	AH015862-RA, AH015861-RA, AH015863-RA	AT5G37510.2, AT5G37510.1
OG0010469	AH003834-RA, AH022432-RA	AT5G02280.1
OG0010470	AH019021-RA, AH019024-RA, AH019020-RA	AT5G08305.1
OG0010471	AH004427-RA, AH004789-RA	AT1G10640.1, AT1G60590.1
OG0010472	AH022946-RA	AT5G14950.1
OG0010473	AH018411-RA	AT4G17790.1
OG0010474	AH004066-RA	AT1G29700.2, AT1G29700.1
OG0010475	AH005433-RA, AH004080-RA	AT1G68765.1, AT3G25655.1
OG0010476	AH006058-RA	ATCG00500.1
OG0010477	AH021204-RA	AT1G17850.2, AT1G17850.1
OG0010478	AH017450-RA	AT5G08180.2, AT5G08180.1
OG0010479	AH018402-RA, AH011510-RA	AT2G35200.1, AT1G32690.1
OG0010480	AH013878-RA	AT5G20990.2, AT5G20990.3, AT5G20990.1
OG0010481	AH017421-RA	AT1G61415.1, AT1G61415.2, AT1G61450.1
OG0010482	AH004061-RA	AT1G13330.1
OG0010483	AH015936-RA	AT3G46610.2, AT3G46610.1
OG0010486	AH002662-RA, AH017720-RA	AT2G20490.2, AT2G20490.1, AT2G20490.3
OG0010487	AH010689-RA	AT3G02690.1
OG0010489	AH020342-RA	AT5G06820.1
OG0010490	AH016486-RA	AT5G38530.1
OG0010491	AH016082-RA	AT1G66080.1
OG0010492	AH017406-RA	AT5G51010.1
OG0010493	AH016509-RA	AT3G02280.2, AT3G02280.1, AT3G02280.3
OG0010494	AH019948-RA, AH007279-RA	AT3G03070.1
OG0010495	AH002911-RA	AT5G60840.1, AT5G60840.2
OG0010496	AH009336-RA	AT2G44620.1
OG0010497	AH004289-RA, AH004942-RA	AT5G11680.1
OG0010498	AH009430-RA	AT1G02410.3, AT1G02410.2, AT1G02410.1
OG0010499	AH000635-RA	AT3G19990.2, AT3G19990.1
OG0010500	AH004768-RA	AT1G10550.1
OG0010501	AH019378-RA	AT3G04680.1, AT3G04680.3, AT3G04680.2
OG0010502	AH011994-RA, AH019664-RA	AT5G13770.1
OG0010503	AH008587-RA	AT2G39725.2, AT2G39725.1
OG0010505	AH017625-RA	AT3G47980.1, AT5G62720.2, AT5G62720.1
OG0010506	AH007827-RA	AT3G26650.1, AT1G12900.4, AT1G12900.3, AT1G12900.5, AT1G12900.1
OG0010507	AH014441-RA	AT1G24050.1, AT1G70220.2, AT1G70220.1
OG0010508	AH018267-RA	AT4G16970.1
OG0010509	AH004896-RA	AT3G26090.1, AT3G26090.2
OG0010510	AH022077-RA	AT3G25970.1
OG0010511	AH002989-RA	AT4G24880.2, AT4G24880.1
OG0010512	AH009329-RA	AT2G44600.1, AT3G60200.1
OG0010513	AH005350-RA	AT2G01440.1
OG0010514	AH019795-RA	AT5G49510.2, AT5G49510.1
OG0010515	AH004343-RA	AT1G69440.1
OG0010518	AH017437-RA	AT3G18580.1
OG0010519	AH005416-RA	AT1G13270.1
OG0010520	AH018444-RA	AT1G77405.1
OG0010522	AH010427-RA	AT2G01290.1, AT1G71100.1
OG0010523	AH015728-RA, AH002697-RA	AT2G47420.1
OG0010524	AH018408-RA	AT4G17910.4, AT4G17910.3, AT4G17910.1, AT4G17910.2
OG0010526	AH002841-RA, AH002842-RA	AT1G26550.1
OG0010527	AH019897-RA	AT4G27600.1
OG0010528	AH004515-RA, AH004933-RA	AT5G08530.1
OG0010529	AH017319-RA	AT1G27520.1
OG0010530	AH005372-RA	AT1G13635.1, AT1G13635.2
OG0010531	AH017436-RA	AT1G48960.1
OG0010532	AH018337-RA	AT1G32500.1
OG0010533	AH004355-RA	AT1G14140.1, AT4G24570.1
OG0010534	AH008606-RA	AT4G17430.1
OG0010535	AH002904-RA, AH017466-RA	AT1G18580.1
OG0010536	AH006966-RA	AT3G13220.1
OG0010537	AH012639-RA	AT2G01140.1
OG0010538	AH009261-RA	AT4G01570.1
OG0010539	AH005227-RA, AH004579-RA	AT5G13190.1, AT5G13190.2
OG0010540	AH006247-RA	AT3G59640.2, AT3G59640.1, AT2G43630.1
OG0010541	AH011463-RA	AT5G47090.1, AT5G47090.2
OG0010542	AH005556-RA	AT1G26520.1
OG0010543	AH017194-RA	AT1G48570.1
OG0010544	AH018241-RA, AH018242-RA	AT3G13010.1, AT3G13020.1, AT3G13030.4, AT3G13030.2, AT3G13030.1, AT3G13030.3, AT3G13030.5
OG0010547	AH018060-RA	AT1G64320.2, AT1G64320.1, AT5G41780.1, AT5G41780.3, AT5G41780.2, AT5G41780.4
OG0010549	AH019113-RA	AT3G09405.1, AT3G09405.2, AT3G09410.1, AT3G09410.3
OG0010551	AH020651-RA, AH010198-RA	AT5G25240.1
OG0010552	AH015459-RA, AH015457-RA	AT2G07641.1
OG0010553	AH015801-RA	AT5G39530.1, AT5G39530.2, AT5G39520.1
OG0010555	AH010220-RA, AH020174-RA	AT3G54290.1
OG0010556	AH019615-RA, AH012078-RA	AT5G52870.1, AT5G52870.2
OG0010558	AH014987-RA	AT1G62050.1
OG0010559	AH005496-RA	AT1G68190.1, AT1G68190.3, AT1G68190.2
OG0010560	AH004298-RA, AH004955-RA	AT1G16380.1, AT1G79400.1
OG0010562	AH012208-RA	AT4G25250.1, AT5G51520.1
OG0010563	AH003906-RA	AT4G37300.1
OG0010566	AH002325-RA	AT2G41990.1
OG0010624	AH016726-RA	AT5G52810.1
OG0010625	AH003491-RA	AT1G31790.1
OG0010626	AH020465-RA, AH006713-RA	AT5G04080.2, AT5G04080.3, AT5G04080.1
OG0010629	AH022013-RA	AT5G52970.1, AT5G52970.2
OG0010630	AH007016-RA	AT3G21400.1
OG0010631	AH019815-RA	AT4G14819.1, AT3G22540.1
OG0010632	AH013861-RA	AT3G22980.3, AT3G22980.1, AT3G22980.2
OG0010633	AH018840-RA	AT2G38320.1, AT2G38320.2
OG0010634	AH000988-RA	AT4G19400.1
OG0010637	AH008742-RA	AT2G33180.1
OG0010638	AH020022-RA	AT3G62030.3, AT3G62030.2, AT3G62030.1
OG0010639	AH011601-RA	AT5G49610.1
OG0010642	AH012668-RA	AT3G52960.1
OG0010644	AH001184-RA	AT2G29560.1
OG0010646	AH019055-RA	AT4G03120.1
OG0010647	AH000224-RA	AT2G28160.1, AT2G28160.2
OG0010648	AH020579-RA	AT4G13830.3, AT4G13830.1, AT4G13830.2
OG0010649	AH007871-RA	AT3G54690.1
OG0010651	AH021788-RA	AT3G11530.3
OG0010652	AH004221-RA	AT1G59760.1
OG0010653	AH001232-RA	AT3G44880.1
OG0010654	AH015683-RA	AT3G54440.1, AT3G54440.3, AT3G54440.2
OG0010657	AH019833-RA	AT5G43860.1
OG0010659	AH002557-RA	AT1G64880.1
OG0010660	AH021423-RA, AH014852-RA	AT4G17180.1
OG0010663	AH012841-RA	AT4G03200.1, AT4G03200.2
OG0010664	AH013454-RA	AT1G53710.2, AT1G53710.1
OG0010665	AH019340-RA	AT5G07020.1
OG0010666	AH006911-RA	AT3G58520.2, AT3G58520.1
OG0010667	AH010559-RA	AT1G54740.1
OG0010668	AH022669-RA	AT3G59420.1
OG0010669	AH013613-RA	AT3G07330.1, AT3G07330.2
OG0010670	AH021861-RA, AH022262-RA	AT2G36570.1
OG0010671	AH013680-RA	AT2G37610.1
OG0010672	AH020599-RA	AT1G04900.1
OG0010673	AH013240-RA	AT3G44380.1
OG0010674	AH009204-RA	AT4G00231.1
OG0010675	AH013209-RA, AH022441-RA	AT3G51680.1
OG0010676	AH019554-RA	AT5G52270.2, AT5G52270.1
OG0010677	AH009699-RA	AT1G01725.1, AT4G00530.1
OG0010678	AH009309-RA	AT1G80150.2, AT1G80150.1
OG0010679	AH020069-RA, AH011667-RA	AT3G07560.1
OG0010680	AH006991-RA	AT1G56260.2, AT1G56260.1
OG0010681	AH018553-RA	AT1G62730.2, AT1G62730.1
OG0010682	AH012659-RA	AT5G03700.1
OG0010684	AH017280-RA	AT4G01870.2, AT4G01870.1
OG0010685	AH012951-RA	AT4G02300.1, AT4G02320.1
OG0010686	AH000454-RA	AT3G16010.1
OG0010687	AH012715-RA	AT3G09030.1
OG0010689	AH002748-RA	AT3G62110.1, AT3G62110.2
OG0010690	AH017672-RA	AT4G01935.1
OG0010691	AH003896-RA	AT1G64810.1, AT1G64810.2
OG0010692	AH007005-RA	AT1G04555.1
OG0010693	AH015277-RA	AT5G46020.1
OG0010694	AH019889-RA, AH007176-RA	AT2G33390.1, AT2G33390.2
OG0010695	AH020586-RA	AT2G32810.1, AT2G32810.2
OG0010696	AH012483-RA	AT3G06120.1
OG0010697	AH006582-RA	AT3G56940.1, AT3G56940.2
OG0010698	AH013075-RA	AT5G48740.1
OG0010699	AH015416-RA	ATCG01050.1
OG0010700	AH016318-RA, AH023153-RA	AT2G40390.1
OG0010701	AH015717-RA	AT4G31560.1
OG0010703	AH010647-RA	AT5G09270.1, AT5G09270.2
OG0010704	AH017852-RA	AT4G02725.1, AT4G02725.2
OG0010706	AH017042-RA	AT5G59860.1, AT3G46020.1
OG0010707	AH006501-RA	AT4G13980.1
OG0010709	AH002709-RA	AT2G31400.1, AT2G31400.2
OG0010712	AH015335-RA	AT5G25580.1
OG0010713	AH020204-RA	AT4G15940.1
OG0010714	AH016419-RA	AT5G13840.2, AT5G13840.1
OG0010715	AH015503-RA	ATMG00070.1
OG0010716	AH006493-RA	AT4G13885.1, AT2G34110.1, AT4G13870.2, AT4G13870.1
OG0010718	AH003965-RA	AT5G58250.1
OG0010719	AH021802-RA	AT5G06130.2, AT5G06130.1
OG0010720	AH007021-RA, AH020177-RA	AT5G18580.1
OG0010721	AH019799-RA	AT5G49525.1
OG0010722	AH009739-RA, AH012568-RA	AT3G11591.1
OG0010723	AH006659-RA	AT5G05130.1
OG0010724	AH007085-RA	AT5G26230.1
OG0010727	AH006456-RA	AT3G51280.1
OG0010728	AH017356-RA	AT2G17033.1, AT2G17033.2, AT2G17033.3, AT2G17033.4
OG0010729	AH006026-RA	AT5G65250.1
OG0010730	AH003796-RA	AT4G36390.1
OG0010731	AH010378-RA	AT5G08740.1
OG0010732	AH023561-RA	AT1G22730.1
OG0010733	AH004969-RA	AT2G17705.1
OG0010734	AH005870-RA	AT5G65270.1, AT4G39990.1
OG0010735	AH008623-RA	AT1G47720.1
OG0010736	AH008345-RA	AT5G49660.1
OG0010738	AH005954-RA	AT4G39700.1
OG0010739	AH005761-RA	AT4G36530.1, AT4G36530.2
OG0010740	AH010773-RA	AT4G29720.1
OG0010741	AH017572-RA	AT3G47470.1
OG0010742	AH012371-RA	AT2G44195.1, AT2G44200.1
OG0010743	AH002378-RA	AT4G38270.1, AT4G38270.2
OG0010744	AH001771-RA	AT3G19220.1
OG0010745	AH005809-RA, AH003787-RA	AT1G77370.1, AT1G77370.2
OG0010747	AH023544-RA	AT2G35790.1
OG0010748	AH015612-RA	AT1G27620.1
OG0010749	AH016943-RA	AT2G21950.1
OG0010751	AH001761-RA	AT2G21350.1, AT4G39040.2, AT4G39040.1
OG0010752	AH016835-RA, AH023679-RA	AT1G76210.1, AT1G20520.1
OG0010753	AH001077-RA	AT4G10350.1, AT4G10350.2, AT1G33280.1
OG0010754	AH008948-RA	AT5G42480.2, AT5G42480.1
OG0010756	AH006451-RA	AT2G33560.2, AT2G33560.1
OG0010757	AH003911-RA	AT5G67290.1
OG0010758	AH021951-RA	AT1G21651.1
OG0010759	AH000790-RA, AH002291-RA	AT2G20920.1
OG0010760	AH022081-RA, AH012978-RA	AT2G47520.1
OG0010761	AH016952-RA	AT5G42760.2, AT5G42760.1
OG0010762	AH016819-RA	AT1G76150.1
OG0010763	AH016232-RA	AT1G75460.1, AT1G19740.1
OG0010764	AH016898-RA	AT1G76450.1
OG0010765	AH003343-RA	AT5G10020.1, AT5G10020.2
OG0010766	AH008580-RA	AT1G22140.1, AT1G22140.3, AT1G22140.2
OG0010767	AH010411-RA	AT4G33480.1
OG0010770	AH003557-RA, AH003556-RA	AT5G65220.1
OG0010771	AH015468-RA	AT2G07727.1, ATMG00220.1
OG0010772	AH008877-RA	AT1G48200.1
OG0010773	AH016846-RA	AT2G33640.1
OG0010775	AH005299-RA	AT1G09630.1
OG0010776	AH007857-RA	AT3G26410.1
OG0010777	AH000049-RA	AT2G04560.1
OG0010778	AH008415-RA	AT5G47830.1, AT5G47830.2
OG0010780	AH002192-RA	AT4G33520.2, AT4G33520.3
OG0010781	AH008457-RA, AH011962-RA	AT5G42130.1
OG0010782	AH005642-RA	AT1G59600.1
OG0010784	AH009886-RA	AT2G30942.1, AT1G06515.2, AT1G06515.1
OG0010786	AH006927-RA	AT5G49940.2, AT5G49940.1
OG0010787	AH001624-RA	AT1G49780.1
OG0010788	AH014641-RA	AT4G33500.1
OG0010790	AH020030-RA	AT3G13350.1
OG0010791	AH014849-RA	AT3G14395.1, AT1G30260.1
OG0010792	AH018255-RA	AT4G17050.1
OG0010793	AH015099-RA	AT1G11112.1
OG0010794	AH015176-RA, AH021566-RA	AT1G11430.1
OG0010795	AH014923-RA	AT4G22305.1, AT4G22305.2, AT4G22300.1
OG0010796	AH021421-RA	AT1G28680.2, AT1G28680.1
OG0010797	AH011978-RA	AT5G24280.2, AT5G24280.1, AT5G24280.3
OG0010798	AH021474-RA	AT4G22260.1
OG0010800	AH001117-RA	AT1G06690.1
OG0010801	AH008044-RA	AT1G30950.1
OG0010802	AH000244-RA	AT4G28230.1
OG0010804	AH013305-RA	AT1G30380.1
OG0010805	AH008221-RA	AT3G20800.1
OG0010806	AH016089-RA	AT3G45890.1
OG0010807	AH006318-RA	AT1G30610.1, AT1G30610.2
OG0010809	AH001225-RA	AT1G06520.1
OG0010810	AH021427-RA	AT5G47760.1
OG0010811	AH007732-RA	AT5G58200.1, AT5G58200.2
OG0010812	AH000427-RA	AT4G15240.1
OG0010813	AH000363-RA	AT1G06270.1
OG0010814	AH013096-RA	AT2G20060.1
OG0010815	AH021435-RA	AT4G16410.1
OG0010816	AH018588-RA, AH018589-RA	AT5G47570.1
OG0010818	AH010608-RA	AT4G28590.1
OG0010819	AH017057-RA	AT5G24800.1
OG0010821	AH014163-RA	AT2G26900.1
OG0010822	AH009640-RA	AT1G01510.1
OG0010823	AH020789-RA	AT1G68680.1
OG0010824	AH019560-RA	AT2G39230.1, AT3G54980.1, AT3G54980.2
OG0010825	AH020965-RA, AH014408-RA	AT5G57345.1
OG0010826	AH012740-RA	AT1G65030.1
OG0010827	AH014286-RA	AT4G30690.2, AT4G30690.1, AT2G24060.1
OG0010828	AH012390-RA	AT5G52310.1, AT5G52300.2, AT5G52300.1, AT4G25580.2, AT4G25580.1
OG0010829	AH019576-RA	AT5G23880.1
OG0010830	AH002231-RA	AT4G29590.1
OG0010831	AH016103-RA	AT5G11770.1
OG0010832	AH009891-RA, AH006677-RA	AT5G51110.1, AT5G51110.2
OG0010833	AH000123-RA	AT3G07670.2, AT3G07670.1
OG0010834	AH016012-RA	AT5G10620.2, AT5G10620.1
OG0010835	AH014210-RA	AT4G32900.1, AT4G32900.3, AT4G32900.4, AT4G32900.2
OG0010836	AH019609-RA, AH019608-RA, AH012090-RA	AT5G62650.1
OG0010837	AH012265-RA	AT5G51550.1
OG0010838	AH018993-RA	AT5G10780.1, AT5G10780.2
OG0010839	AH023587-RA	AT4G00030.1
OG0010840	AH010666-RA	AT1G73720.1
OG0010841	AH020653-RA	AT5G35100.2, AT5G35100.3, AT5G35100.1
OG0010842	AH009593-RA	AT3G61660.1, AT3G61660.2
OG0010844	AH019032-RA, AH015300-RA	AT3G43860.1, AT3G43860.2
OG0010845	AH002010-RA	AT3G15620.1, AT3G15620.2
OG0010846	AH014067-RA	AT5G20080.1
OG0010847	AH016218-RA	AT4G32700.2
OG0010848	AH009179-RA	AT2G45600.1
OG0010849	AH012361-RA	AT5G07230.1, AT5G62080.1, AT5G52160.1
OG0010850	AH020144-RA	AT1G01970.1
OG0010851	AH014075-RA	AT5G20120.2, AT5G20120.1
OG0010852	AH009180-RA, AH023815-RA	AT2G45610.1
OG0010853	AH020903-RA	AT5G19730.1
OG0010854	AH018721-RA	AT1G12520.3, AT1G12520.2, AT1G12520.1
OG0010855	AH014688-RA	AT4G19190.1
OG0010858	AH012198-RA	AT3G47440.1
OG0010860	AH017536-RA	AT3G54210.1
OG0010861	AH020867-RA	AT3G24590.2, AT3G24590.1
OG0010863	AH009127-RA	AT1G02020.2, AT1G02020.3, AT1G02020.1
OG0010864	AH023538-RA	AT3G49080.1
OG0010865	AH015331-RA	AT2G26250.1
OG0010866	AH018066-RA	AT5G41800.1
OG0010867	AH014369-RA	AT2G18710.1
OG0010868	AH019509-RA	AT5G43050.1
OG0010869	AH009075-RA	AT2G45060.1
OG0010870	AH020815-RA	AT5G19930.2, AT5G19930.1
OG0010871	AH020924-RA, AH014449-RA	AT4G29260.1, AT4G29270.1
OG0010872	AH014307-RA	AT3G26060.3
OG0010873	AH014057-RA	AT2G26700.1
OG0010874	AH003568-RA	AT4G39810.1
OG0010875	AH009241-RA	AT4G00570.1
OG0010876	AH020800-RA	AT5G20140.1, AT5G20140.2
OG0010877	AH010224-RA	AT5G04750.2, AT5G04750.1
OG0010878	AH018984-RA	AT2G24820.1
OG0010880	AH018505-RA	AT4G19150.1, AT4G19150.2
OG0010881	AH002157-RA	AT1G79760.2, AT1G79760.1
OG0010882	AH013495-RA	AT1G16800.3, AT1G16800.1, AT1G16800.2
OG0010885	AH018446-RA	AT1G32220.1
OG0010886	AH003481-RA	AT5G09310.1
OG0010888	AH019008-RA	AT4G31820.1, AT4G31820.2
OG0010889	AH014300-RA	AT2G20020.1
OG0010890	AH018232-RA	AT4G17100.2, AT4G17100.1
OG0010891	AH021164-RA	AT5G57140.1
OG0010892	AH019728-RA	AT5G53730.1
OG0010893	AH012053-RA	AT5G52950.1, AT5G52950.2
OG0010895	AH016188-RA	AT4G32750.1
OG0010896	AH014112-RA	AT1G02630.2, AT1G02630.1
OG0010897	AH011937-RA	AT4G27750.1
OG0010898	AH001958-RA	AT1G80090.2, AT1G80090.1, AT1G15330.1
OG0010899	AH020851-RA, AH014540-RA	AT3G24520.1
OG0010900	AH018774-RA	AT4G19390.1, AT4G19390.2
