Orthogroup	A_coerulea.proteins	A_hypochondriacus.proteins
OG0012048	Aqcoe2G026800.1.p	AH020411-RA
OG0012050	Aqcoe2G069100.1.p	AH000341-RA
OG0012051	Aqcoe2G330100.1.p	AH011843-RA
OG0012052	Aqcoe2G436900.1.p	AH011649-RA
OG0012053	Aqcoe2G197500.1.p, Aqcoe3G190300.1.p	AH017168-RA
OG0012054	Aqcoe2G037800.1.p	AH014222-RA
OG0012055	Aqcoe2G308400.1.p	AH012845-RA
OG0012056	Aqcoe2G215200.1.p	AH003345-RA
OG0012057	Aqcoe2G274000.1.p	AH002699-RA
OG0012058	Aqcoe2G352700.2.p, Aqcoe2G352700.1.p	AH010796-RA
OG0012059	Aqcoe2G341500.1.p	AH020098-RA, AH020097-RA
OG0012061	Aqcoe2G294200.1.p	AH012923-RA
OG0012062	Aqcoe2G304800.1.p	AH020113-RA
OG0012063	Aqcoe2G041800.1.p	AH013081-RA
OG0012064	Aqcoe2G419200.1.p	AH010396-RA
OG0012065	Aqcoe2G026100.1.p	AH020412-RA
OG0012066	Aqcoe2G234000.1.p	AH008365-RA
OG0012068	Aqcoe2G064400.1.p, Aqcoe2G064400.2.p	AH006924-RA
OG0012071	Aqcoe2G065100.1.p, Aqcoe2G065100.2.p	AH003017-RA
OG0012072	Aqcoe2G266400.1.p	AH019807-RA
OG0012073	Aqcoe2G214600.1.p, Aqcoe6G265700.1.p	AH015546-RA, AH015552-RA
OG0012075	Aqcoe2G415500.1.p	AH012307-RA
OG0012077	Aqcoe2G393400.1.p	AH020242-RA
OG0012078	Aqcoe2G036400.1.p	AH015695-RA
OG0012080	Aqcoe2G242100.1.p	AH015136-RA
OG0012081	Aqcoe2G336200.1.p	AH011765-RA
OG0012082	Aqcoe2G087800.1.p	AH017676-RA
OG0012083	Aqcoe2G392200.1.p, Aqcoe5G379000.1.p, Aqcoe5G379000.2.p	AH019010-RA
OG0012084	Aqcoe2G361900.1.p, Aqcoe2G361900.2.p	AH006419-RA
OG0012085	Aqcoe2G433900.1.p	AH011711-RA
OG0012086	Aqcoe2G326400.1.p	AH010553-RA
OG0012087	Aqcoe2G278000.1.p	AH002677-RA
OG0012088	Aqcoe7G227000.1.p, Aqcoe4G245100.1.p	AH015418-RA
OG0012089	Aqcoe2G297400.1.p	AH012938-RA
OG0012090	Aqcoe3G105400.1.p, Aqcoe2G102000.1.p	AH023053-RA
OG0012092	Aqcoe2G152300.1.p, Aqcoe2G152300.2.p, Aqcoe2G152300.3.p	AH019524-RA
OG0012093	Aqcoe2G085000.1.p	AH018830-RA
OG0012094	Aqcoe1G443200.1.p, Aqcoe2G123500.1.p	AH021790-RA
OG0012097	Aqcoe6G019400.1.p	AH007664-RA, AH010886-RA
OG0012098	Aqcoe6G020700.1.p	AH001680-RA, AH022917-RA
OG0012098	Aqcoe6G161000.2.p, Aqcoe6G161000.1.p, Aqcoe6G161200.1.p	AH022499-RA, AH022500-RA, AH016919-RA
OG0012099	Aqcoe6G172700.1.p	AH007606-RA
OG0012100	Aqcoe6G032200.1.p	AH008647-RA
OG0012101	Aqcoe3G273700.1.p, Aqcoe6G289400.1.p	AH006794-RA
OG0012102	Aqcoe6G310000.1.p	AH016941-RA
OG0012103	Aqcoe6G084400.1.p	AH008740-RA
OG0012104	Aqcoe6G042900.1.p	AH021240-RA
OG0012105	Aqcoe6G264700.1.p	AH003324-RA
OG0012106	Aqcoe6G119200.1.p	AH009053-RA
OG0012109	Aqcoe6G001500.1.p	AH005263-RA
OG0012110	Aqcoe6G102500.1.p	AH001872-RA
OG0012111	Aqcoe6G129600.1.p	AH007899-RA, AH007900-RA
OG0012112	Aqcoe6G047300.1.p	AH008554-RA, AH008555-RA
OG0012114	Aqcoe6G115600.1.p	AH005601-RA
OG0012115	Aqcoe6G162600.1.p	AH016723-RA
OG0012116	Aqcoe6G008700.2.p, Aqcoe6G008700.1.p	AH008604-RA
OG0012117	Aqcoe6G009400.3.p, Aqcoe6G009400.2.p, Aqcoe6G009400.1.p	AH007177-RA
OG0012118	Aqcoe6G014100.1.p	AH009387-RA
OG0012119	Aqcoe6G016500.1.p, Aqcoe6G016500.2.p	AH023619-RA
OG0012120	Aqcoe6G275800.1.p	AH008382-RA
OG0012122	Aqcoe6G092400.1.p	AH007942-RA, AH010278-RA
OG0012123	Aqcoe6G316800.1.p	AH001558-RA, AH023066-RA
OG0012124	Aqcoe6G157700.1.p, Aqcoe6G157700.2.p	AH005927-RA
OG0012125	Aqcoe6G015300.1.p	AH006480-RA, AH008301-RA
OG0012126	Aqcoe6G027700.1.p, Aqcoe6G027700.3.p, Aqcoe6G027700.2.p, Aqcoe6G027700.4.p	AH008661-RA
OG0012127	Aqcoe6G054100.1.p, Aqcoe5G116400.1.p	AH023559-RA
OG0012128	Aqcoe6G258000.1.p	AH001751-RA
OG0012129	Aqcoe6G057800.2.p, Aqcoe6G057800.1.p	AH007308-RA
OG0012130	Aqcoe6G122800.1.p	AH005759-RA
OG0012131	Aqcoe6G030000.1.p	AH007367-RA, AH008627-RA
OG0012132	Aqcoe6G175200.1.p, Aqcoe5G120900.1.p	AH016879-RA
OG0012133	Aqcoe6G245700.1.p	AH001727-RA
OG0012134	Aqcoe6G228000.1.p	AH004965-RA
OG0012135	Aqcoe6G062200.3.p, Aqcoe6G062200.2.p, Aqcoe6G062200.4.p, Aqcoe6G062200.1.p	AH008773-RA
OG0012139	Aqcoe6G078600.1.p	AH003959-RA
OG0012140	Aqcoe6G270000.2.p, Aqcoe6G270000.1.p	AH008376-RA
OG0012141	Aqcoe6G144900.1.p	AH003725-RA
OG0012142	Aqcoe6G065000.3.p, Aqcoe6G065000.2.p, Aqcoe6G065000.1.p	AH002436-RA
OG0012143	Aqcoe6G160700.1.p	AH008352-RA
OG0012144	Aqcoe6G093500.1.p	AH002397-RA
OG0012145	Aqcoe6G281100.1.p	AH016688-RA
OG0012146	Aqcoe6G286500.1.p	AH012353-RA
OG0012148	Aqcoe6G215200.1.p	AH002284-RA
OG0012149	Aqcoe6G204800.1.p	AH006772-RA
OG0012151	Aqcoe4G164400.1.p, Aqcoe1G137600.1.p	AH001261-RA
OG0012152	Aqcoe4G251100.1.p	AH006020-RA
OG0012154	Aqcoe4G059800.1.p	AH015287-RA
OG0012157	Aqcoe4G195000.1.p, Aqcoe4G195000.2.p	AH004996-RA
OG0012158	Aqcoe4G310700.1.p	AH009778-RA, AH008295-RA
OG0012159	Aqcoe4G072400.1.p	AH008032-RA
OG0012162	Aqcoe4G014400.1.p	AH001134-RA
OG0012163	Aqcoe4G051100.1.p	AH021400-RA
OG0012164	Aqcoe4G225100.1.p	AH014944-RA
OG0012165	Aqcoe4G312100.1.p	AH008288-RA
OG0012166	Aqcoe4G271100.1.p	AH003235-RA, AH007514-RA
OG0012169	Aqcoe4G207000.1.p	AH022357-RA
OG0012171	Aqcoe4G011200.1.p	AH014727-RA
OG0012172	Aqcoe4G260900.1.p, Aqcoe4G260900.2.p	AH021587-RA
OG0012173	Aqcoe7G178000.1.p, Aqcoe7G178000.2.p	AH020858-RA
OG0012174	Aqcoe5G387500.1.p, Aqcoe7G441100.1.p	AH017794-RA
OG0012175	Aqcoe7G071500.1.p, Aqcoe7G071500.2.p	AH018756-RA
OG0012176	Aqcoe7G062200.1.p, Aqcoe7G062400.1.p	AH018726-RA
OG0012177	Aqcoe7G295900.2.p, Aqcoe7G295900.1.p	AH020975-RA, AH006250-RA
OG0012178	Aqcoe7G080400.1.p	AH003206-RA
OG0012179	Aqcoe7G062700.2.p, Aqcoe7G062700.1.p	AH019488-RA
OG0012181	Aqcoe7G444000.1.p, Aqcoe7G025700.1.p	AH021314-RA
OG0012185	Aqcoe7G051500.1.p	AH022219-RA
OG0012186	Aqcoe7G149100.1.p	AH002163-RA
OG0012187	Aqcoe7G399400.1.p	AH002080-RA
OG0012188	Aqcoe7G144900.3.p, Aqcoe7G144900.2.p, Aqcoe7G144900.1.p	AH001564-RA
OG0012189	Aqcoe7G418600.1.p, Aqcoe7G144300.1.p	AH014443-RA
OG0012190	Aqcoe7G375500.1.p	AH016260-RA
OG0012191	Aqcoe7G193200.1.p	AH014138-RA
OG0012192	Aqcoe7G197600.1.p	AH015357-RA
OG0012194	Aqcoe7G241700.2.p, Aqcoe7G241700.1.p	AH005186-RA
OG0012196	Aqcoe7G267500.1.p	AH023200-RA
OG0012197	Aqcoe7G075100.1.p, Aqcoe7G075100.2.p	AH018543-RA, AH018542-RA
OG0012199	Aqcoe7G367100.1.p	AH020635-RA
OG0012200	Aqcoe7G095300.1.p	AH009330-RA, AH009331-RA
OG0012201	Aqcoe7G416900.1.p	AH017132-RA
OG0012202	Aqcoe7G325600.2.p, Aqcoe7G325600.1.p	AH017037-RA
OG0012203	Aqcoe7G073500.1.p	AH012262-RA
OG0012205	Aqcoe7G112500.1.p	AH017094-RA
OG0012206	Aqcoe7G091800.1.p	AH004333-RA
OG0012207	Aqcoe7G127700.1.p	AH014230-RA, AH014169-RA
OG0012208	Aqcoe7G059100.1.p, Aqcoe7G216800.1.p, Aqcoe5G426400.1.p	AH019933-RA
OG0012209	Aqcoe7G192000.1.p	AH005504-RA
OG0012210	Aqcoe7G119100.1.p	AH011349-RA, AH016057-RA
OG0012211	Aqcoe7G301900.1.p	AH019499-RA, AH019500-RA
OG0012212	Aqcoe7G423800.1.p	AH010191-RA, AH014115-RA, AH014116-RA
OG0012213	Aqcoe7G343800.2.p, Aqcoe7G343800.1.p	AH018986-RA
OG0012214	Aqcoe7G112600.1.p	AH016035-RA
OG0012215	Aqcoe7G282600.1.p	AH000617-RA, AH020669-RA
OG0012216	Aqcoe7G151500.1.p	AH014468-RA, AH014467-RA
OG0012217	Aqcoe7G302400.1.p	AH022256-RA, AH013484-RA
OG0012218	Aqcoe7G165700.1.p	AH000482-RA
OG0012219	Aqcoe7G181900.1.p	AH019015-RA
OG0012220	Aqcoe7G057700.1.p, Aqcoe7G057900.1.p	AH007249-RA
OG0012221	Aqcoe7G268600.1.p	AH023197-RA
OG0012222	Aqcoe7G149300.1.p	AH014174-RA
OG0012223	Aqcoe7G145300.1.p	AH014452-RA
OG0012224	Aqcoe7G108700.1.p	AH019987-RA
OG0012225	Aqcoe7G302800.1.p, Aqcoe7G302700.1.p	AH014430-RA
OG0012226	Aqcoe7G096800.1.p	AH018484-RA
OG0012227	Aqcoe7G298300.1.p, Aqcoe7G309500.1.p	AH012338-RA
OG0012228	Aqcoe7G312500.1.p	AH015134-RA
OG0012230	Aqcoe7G436400.1.p	AH014592-RA
OG0012231	Aqcoe7G248000.1.p	AH013516-RA
OG0012233	Aqcoe7G098100.1.p	AH008509-RA
OG0012234	Aqcoe7G254900.1.p, Aqcoe7G254900.3.p, Aqcoe7G254900.2.p, Aqcoe7G254900.4.p, Aqcoe7G254900.5.p	AH020999-RA
OG0012236	Aqcoe7G423000.1.p	AH017108-RA
OG0012237	Aqcoe7G089500.1.p	AH018301-RA
OG0012238	Aqcoe7G335400.2.p, Aqcoe7G335400.1.p	AH021001-RA
OG0012239	Aqcoe7G376000.1.p	AH020670-RA
OG0012240	Aqcoe7G299700.1.p	AH021925-RA
OG0012241	Aqcoe7G259900.1.p	AH022259-RA
OG0012242	Aqcoe7G172300.1.p	AH000471-RA, AH002101-RA
OG0012243	Aqcoe7G003500.1.p	AH018169-RA, AH018168-RA
OG0012244	Aqcoe7G258600.1.p	AH020972-RA
OG0012245	Aqcoe7G233400.1.p	AH023203-RA
OG0012246	Aqcoe7G098800.1.p	AH007235-RA
OG0012247	Aqcoe1G013900.1.p	AH019022-RA
OG0012248	Aqcoe1G450100.1.p	AH022400-RA
OG0012251	Aqcoe1G411300.1.p	AH023115-RA
OG0012252	Aqcoe1G074600.1.p	AH007791-RA
OG0012253	Aqcoe1G500800.1.p	AH014139-RA
OG0012254	Aqcoe1G019200.1.p, Aqcoe1G129000.1.p, Aqcoe1G129200.1.p	AH021685-RA
OG0012255	Aqcoe1G030600.1.p	AH020356-RA
OG0012256	Aqcoe1G083600.1.p	AH018972-RA
OG0012257	Aqcoe1G258800.1.p	AH008054-RA
OG0012258	Aqcoe1G024800.1.p	AH003832-RA
OG0012259	Aqcoe1G160000.1.p	AH003047-RA
OG0012260	Aqcoe1G243500.1.p	AH015285-RA
OG0012261	Aqcoe1G084600.1.p	AH023046-RA
OG0012262	Aqcoe1G023200.1.p, Aqcoe1G023400.1.p, Aqcoe1G023600.1.p	AH023766-RA
OG0012264	Aqcoe1G039200.2.p, Aqcoe1G039200.1.p	AH015701-RA
OG0012266	Aqcoe1G420100.4.p	AH013817-RA
OG0012267	Aqcoe1G250500.1.p	AH010090-RA
OG0012268	Aqcoe1G430300.1.p	AH023055-RA
OG0012269	Aqcoe1G380100.1.p	AH000301-RA
OG0012271	Aqcoe1G043700.1.p	AH010690-RA
OG0012272	Aqcoe1G100100.1.p, Aqcoe1G100100.2.p	AH007734-RA
OG0012273	Aqcoe1G443700.1.p	AH013245-RA
OG0012275	Aqcoe1G069700.1.p	AH018921-RA
OG0012276	Aqcoe1G212200.1.p	AH007981-RA
OG0012277	Aqcoe1G113500.1.p	AH004983-RA
OG0012278	Aqcoe1G185300.1.p	AH014694-RA
OG0012279	Aqcoe1G002500.2.p, Aqcoe1G002500.1.p	AH007801-RA
OG0012281	Aqcoe1G425100.1.p	AH013801-RA
OG0012282	Aqcoe1G370600.1.p	AH010612-RA, AH007382-RA
OG0012283	Aqcoe1G166900.1.p	AH017106-RA
OG0012284	Aqcoe1G015000.1.p	AH022730-RA, AH016627-RA
OG0012285	Aqcoe1G131100.1.p	AH014392-RA
OG0012286	Aqcoe1G061900.1.p	AH019065-RA
OG0012287	Aqcoe1G166600.1.p	AH011733-RA
OG0012288	Aqcoe1G149500.1.p	AH013174-RA
OG0012289	Aqcoe1G211900.1.p, Aqcoe1G198900.1.p	AH015773-RA
OG0012290	Aqcoe1G280000.1.p, Aqcoe1G280000.2.p	AH015013-RA
OG0012291	Aqcoe1G122000.1.p	AH021879-RA
OG0012292	Aqcoe1G338400.1.p	AH014941-RA
OG0012293	Aqcoe1G096100.1.p	AH018538-RA, AH003224-RA
OG0012294	Aqcoe1G493100.3.p, Aqcoe1G493100.1.p, Aqcoe1G493100.2.p	AH012787-RA
OG0012295	Aqcoe1G332500.1.p	AH015113-RA
OG0012296	Aqcoe1G077900.1.p	AH000839-RA
OG0012297	Aqcoe1G216400.1.p	AH021365-RA
OG0012298	Aqcoe1G335500.1.p	AH009874-RA
OG0012299	Aqcoe1G428200.1.p, Aqcoe1G428200.2.p	AH023070-RA, AH016368-RA
OG0012300	Aqcoe1G293000.1.p, Aqcoe3G157800.1.p	AH004280-RA
OG0012302	Aqcoe1G171800.1.p	AH000226-RA
OG0012303	Aqcoe1G390200.3.p, Aqcoe1G390200.2.p, Aqcoe1G390200.1.p	AH009752-RA
OG0012304	Aqcoe1G045800.1.p	AH015259-RA
OG0012305	Aqcoe1G338800.1.p, Aqcoe1G007100.1.p	AH001805-RA
OG0012306	Aqcoe1G058400.1.p	AH006919-RA
OG0012307	Aqcoe1G374100.2.p, Aqcoe1G374100.1.p	AH014869-RA
OG0012308	Aqcoe1G367600.1.p	AH019853-RA
OG0012309	Aqcoe1G149700.1.p	AH013175-RA
OG0012310	Aqcoe1G416700.1.p	AH018811-RA
OG0012311	Aqcoe1G284100.2.p, Aqcoe1G284100.1.p	AH010125-RA
OG0012312	Aqcoe1G089200.1.p, Aqcoe1G089200.2.p	AH010399-RA
OG0012313	Aqcoe1G014100.2.p, Aqcoe1G014100.1.p	AH013883-RA
OG0012315	Aqcoe1G503000.1.p	AH015379-RA
OG0012316	Aqcoe1G187000.1.p	AH012739-RA, AH012738-RA, AH021894-RA
OG0012317	Aqcoe1G032200.1.p	AH016645-RA
OG0012318	Aqcoe5G000400.1.p	AH021939-RA
OG0012319	Aqcoe5G259700.1.p	AH008867-RA
OG0012320	Aqcoe5G049600.1.p	AH021153-RA
OG0012321	Aqcoe5G055800.1.p	AH010834-RA
OG0012323	Aqcoe5G424300.1.p	AH012367-RA
OG0012324	Aqcoe5G065800.1.p, Aqcoe5G065800.2.p	AH006660-RA
OG0012326	Aqcoe5G473800.1.p	AH011890-RA
OG0012327	Aqcoe5G436200.1.p	AH009652-RA
OG0012328	Aqcoe5G418400.1.p	AH017045-RA
OG0012329	Aqcoe5G057000.1.p	AH012711-RA
OG0012330	Aqcoe5G001800.1.p	AH007637-RA
OG0012331	Aqcoe5G105500.1.p	AH000107-RA
OG0012332	Aqcoe5G170300.1.p, Aqcoe5G203300.1.p	AH001859-RA
OG0012333	Aqcoe5G278600.1.p	AH021198-RA, AH014056-RA
OG0012334	Aqcoe5G087100.1.p	AH022119-RA
OG0012335	Aqcoe5G102100.1.p	AH005709-RA
OG0012336	Aqcoe5G418300.1.p	AH018591-RA
OG0012337	Aqcoe5G317400.1.p	AH003527-RA
OG0012338	Aqcoe5G257100.1.p	AH010715-RA
OG0012339	Aqcoe5G435900.1.p	AH011272-RA
OG0012340	Aqcoe5G370600.1.p	AH021167-RA
OG0012341	Aqcoe5G054300.1.p	AH019949-RA
OG0012342	Aqcoe5G112000.1.p	AH003016-RA
OG0012344	Aqcoe5G359900.2.p, Aqcoe5G359900.1.p	AH017233-RA
OG0012345	Aqcoe5G375100.1.p	AH022351-RA
OG0012346	Aqcoe5G389100.2.p, Aqcoe5G389100.1.p	AH004877-RA
OG0012347	Aqcoe5G076800.2.p, Aqcoe5G076800.3.p, Aqcoe5G076800.1.p	AH022188-RA
OG0012348	Aqcoe5G125800.1.p	AH023685-RA
OG0012350	Aqcoe5G012700.1.p	AH022036-RA, AH012998-RA
OG0012351	Aqcoe5G260000.1.p	AH014431-RA
OG0012352	Aqcoe5G041800.1.p	AH005266-RA
OG0012353	Aqcoe5G378700.1.p	AH022359-RA
OG0012354	Aqcoe5G383600.1.p, Aqcoe5G383600.2.p	AH004882-RA, AH004883-RA
OG0012355	Aqcoe5G382800.1.p	AH013556-RA
OG0012356	Aqcoe5G301300.1.p	AH009460-RA
OG0012358	Aqcoe5G258000.1.p	AH008766-RA
OG0012359	Aqcoe5G171000.1.p	AH004980-RA, AH004320-RA
OG0012360	Aqcoe5G159500.1.p	AH003704-RA
OG0012361	Aqcoe5G025600.2.p, Aqcoe5G025600.1.p	AH002655-RA
OG0012362	Aqcoe5G141600.1.p	AH001656-RA
OG0012363	Aqcoe5G013600.1.p	AH012995-RA
OG0012365	Aqcoe5G227700.1.p	AH008830-RA
OG0012366	Aqcoe5G097100.1.p	AH004098-RA
OG0012367	Aqcoe5G384800.1.p	AH004472-RA, AH004878-RA
OG0012368	Aqcoe5G347600.3.p, Aqcoe5G347600.1.p, Aqcoe5G347600.2.p	AH006390-RA
OG0012369	Aqcoe5G016500.1.p	AH022032-RA
OG0012370	Aqcoe5G354700.1.p	AH003389-RA
OG0012371	Aqcoe5G152900.1.p	AH016209-RA
OG0012372	Aqcoe5G459000.1.p	AH006264-RA
OG0012373	Aqcoe5G396100.2.p, Aqcoe5G396100.1.p	AH011747-RA, AH020005-RA, AH011748-RA
OG0012374	Aqcoe5G091200.1.p	AH006987-RA
OG0012375	Aqcoe5G035600.1.p	AH017768-RA
OG0012377	Aqcoe0967s0001.1.p	AH010145-RA
OG0012378	Aqcoe3G035200.1.p	AH006517-RA, AH005462-RA
OG0012380	Aqcoe3G305200.1.p, Aqcoe3G305100.1.p	AH017316-RA
OG0012381	Aqcoe3G104300.1.p, Aqcoe3G104300.2.p	AH017320-RA
OG0012382	Aqcoe3G009500.1.p	AH005367-RA
OG0012384	Aqcoe3G236600.1.p	AH018339-RA
OG0012385	Aqcoe3G256900.1.p	AH009338-RA
OG0012386	Aqcoe3G229700.1.p, Aqcoe3G229800.1.p	AH011491-RA
OG0012387	Aqcoe3G098500.1.p	AH008448-RA
OG0012388	Aqcoe3G357000.1.p	AH019130-RA
OG0012389	Aqcoe3G140800.1.p	AH004862-RA
OG0012390	Aqcoe3G065500.1.p	AH016590-RA, AH022779-RA
OG0012392	Aqcoe3G438100.1.p	AH007423-RA
OG0012393	Aqcoe3G353500.1.p	AH004339-RA
OG0012394	Aqcoe3G346100.1.p	AH005030-RA
OG0012395	Aqcoe3G020900.1.p	AH022845-RA
OG0012396	Aqcoe3G137800.1.p, Aqcoe3G137800.2.p	AH018378-RA
OG0012397	Aqcoe3G077800.2.p, Aqcoe3G077800.1.p	AH004357-RA
OG0012398	Aqcoe3G442000.1.p	AH021799-RA
OG0012401	Aqcoe3G093400.1.p	AH004687-RA
OG0012403	Aqcoe3G034700.1.p	AH022877-RA
OG0012404	Aqcoe3G277100.1.p	AH002510-RA
OG0012405	Aqcoe3G380200.1.p	AH005378-RA
OG0012406	Aqcoe3G209900.1.p	AH007289-RA
OG0012407	Aqcoe3G415200.1.p, Aqcoe3G415200.2.p	AH023523-RA
OG0012408	Aqcoe3G353300.1.p	AH002861-RA
OG0012409	Aqcoe3G128400.1.p	AH002529-RA
OG0012410	Aqcoe3G398100.1.p	AH022903-RA, AH010307-RA
OG0012411	Aqcoe3G234100.1.p	AH018398-RA
OG0012412	Aqcoe3G252400.1.p	AH018782-RA
OG0012413	Aqcoe3G039000.1.p	AH005389-RA, AH004161-RA
OG0012414	Aqcoe3G335400.1.p	AH005074-RA
OG0012418	Aqcoe3G238200.1.p	AH011488-RA
OG0012419	Aqcoe3G189200.2.p, Aqcoe3G189200.1.p	AH017179-RA
OG0012420	Aqcoe3G251500.1.p	AH009334-RA
OG0012421	Aqcoe3G222500.2.p, Aqcoe3G222500.1.p	AH007250-RA
OG0012423	Aqcoe3G371600.1.p	AH017500-RA
OG0012424	Aqcoe3G234500.1.p	AH019932-RA
OG0012425	Aqcoe3G391200.1.p	AH014425-RA, AH020947-RA
OG0012426	Aqcoe3G052800.1.p	AH005451-RA
OG0012427	Aqcoe3G118200.1.p	AH004416-RA
OG0012428	Aqcoe3G286300.1.p	AH001672-RA
OG0012429	Aqcoe3G266800.1.p	AH007384-RA
OG0012431	Aqcoe3G063600.1.p, Aqcoe3G063600.2.p	AH016580-RA
OG0012432	Aqcoe3G367600.1.p	AH017539-RA
OG0012433	Aqcoe3G359800.1.p	AH015823-RA
OG0012569	Aqcoe2G096700.1.p	AH016826-RA
OG0012571	Aqcoe2G300800.3.p, Aqcoe2G300800.2.p, Aqcoe2G300800.1.p	AH020209-RA
OG0012573	Aqcoe7G229100.1.p, Aqcoe2G210300.1.p	AH015439-RA
OG0012576	Aqcoe2G103500.1.p	AH009392-RA
OG0012577	Aqcoe1G329900.1.p, Aqcoe2G027000.1.p, Aqcoe6G178200.1.p	AH015188-RA, AH012688-RA
OG0012578	Aqcoe2G402600.1.p	AH006511-RA
OG0012580	Aqcoe2G119200.1.p	AH018914-RA
OG0012581	Aqcoe2G421200.1.p	AH002315-RA
OG0012583	Aqcoe2G438200.1.p	AH017877-RA
OG0012584	Aqcoe2G067500.1.p	AH022633-RA
OG0012585	Aqcoe2G348300.2.p, Aqcoe2G348300.1.p	AH019827-RA
OG0012586	Aqcoe2G273600.1.p	AH011152-RA
OG0012587	Aqcoe5G038200.1.p, Aqcoe2G363600.3.p, Aqcoe2G363600.4.p, Aqcoe2G363600.2.p, Aqcoe2G363600.1.p	AH010771-RA
OG0012589	Aqcoe2G329700.1.p	AH010778-RA
OG0012590	Aqcoe2G386300.1.p	AH013033-RA
OG0012591	Aqcoe6G265800.1.p	AH015551-RA
OG0012591	Aqcoe2G214500.1.p	AH007270-RA
OG0012593	Aqcoe2G394200.1.p	AH008324-RA
OG0012595	Aqcoe2G160700.1.p	AH008184-RA
OG0012596	Aqcoe2G380600.1.p	AH019895-RA
OG0012597	Aqcoe2G340000.1.p	AH010465-RA
OG0012598	Aqcoe2G174700.1.p	AH014196-RA
OG0012599	Aqcoe2G342200.1.p	AH001738-RA
OG0012600	Aqcoe2G259400.1.p	AH007396-RA
OG0012602	Aqcoe2G345700.1.p	AH004001-RA
OG0012603	Aqcoe2G266700.1.p, Aqcoe2G266700.2.p	AH011812-RA
OG0012604	Aqcoe2G091000.3.p, Aqcoe2G091000.2.p, Aqcoe2G091000.1.p	AH016387-RA
OG0012605	Aqcoe2G123300.1.p	AH010222-RA
OG0012606	Aqcoe2G298100.1.p	AH013534-RA
OG0012607	Aqcoe2G203400.1.p	AH012756-RA
OG0012608	Aqcoe2G271000.1.p	AH000847-RA
OG0012610	Aqcoe2G095500.1.p	AH021946-RA
OG0012611	Aqcoe2G332300.2.p, Aqcoe2G332300.1.p	AH021915-RA
OG0012612	Aqcoe2G435800.1.p	AH019951-RA
OG0012613	Aqcoe2G328400.1.p	AH020141-RA
OG0012614	Aqcoe2G279800.1.p	AH017712-RA
OG0012615	Aqcoe2G187300.1.p, Aqcoe2G187300.2.p	AH007247-RA
OG0012616	Aqcoe2G256600.1.p	AH019984-RA
OG0012618	Aqcoe2G429900.1.p	AH011622-RA
OG0012619	Aqcoe2G076400.1.p	AH021706-RA
OG0012621	Aqcoe1G051100.1.p, Aqcoe2G050900.1.p	AH020289-RA
OG0012626	Aqcoe6G155800.1.p	AH013813-RA
OG0012627	Aqcoe3G285500.1.p, Aqcoe6G077600.1.p	AH003963-RA
OG0012629	Aqcoe6G265000.1.p	AH019534-RA
OG0012630	Aqcoe6G293100.1.p	AH003890-RA
OG0012631	Aqcoe6G304500.1.p, Aqcoe7G011400.1.p	AH006631-RA
OG0012632	Aqcoe6G233300.1.p, Aqcoe3G157300.1.p, Aqcoe4G296400.1.p	AH019685-RA
OG0012633	Aqcoe6G270800.2.p, Aqcoe6G270800.1.p	AH016732-RA
OG0012634	Aqcoe6G017500.1.p	AH009414-RA
OG0012635	Aqcoe6G191100.1.p	AH011296-RA
OG0012636	Aqcoe6G039500.1.p	AH006333-RA
OG0012637	Aqcoe6G014600.2.p, Aqcoe6G014600.1.p	AH009409-RA
OG0012638	Aqcoe6G028900.1.p	AH017420-RA
OG0012639	Aqcoe6G235400.1.p	AH009547-RA
OG0012641	Aqcoe6G086200.1.p	AH003552-RA
OG0012644	Aqcoe6G066500.1.p	AH002428-RA
OG0012645	Aqcoe6G230300.1.p	AH018595-RA
OG0012646	Aqcoe6G265900.1.p	AH015509-RA, AH015510-RA
OG0012647	Aqcoe6G198100.1.p	AH019242-RA
OG0012648	Aqcoe6G113600.1.p	AH016954-RA
OG0012649	Aqcoe6G193500.1.p	AH002344-RA
OG0012651	Aqcoe6G190700.1.p	AH023676-RA, AH016841-RA, AH023675-RA
OG0012652	Aqcoe6G036700.1.p	AH023553-RA
OG0012653	Aqcoe6G028200.1.p	AH000143-RA
OG0012655	Aqcoe6G104000.1.p	AH016107-RA
OG0012656	Aqcoe6G064900.1.p	AH008296-RA
OG0012658	Aqcoe6G007700.1.p	AH011256-RA, AH017061-RA
OG0012659	Aqcoe6G012400.1.p	AH003714-RA
OG0012660	Aqcoe3G194100.1.p, Aqcoe6G053100.1.p	AH021169-RA
OG0012661	Aqcoe6G164500.1.p	AH017958-RA
OG0012662	Aqcoe6G268300.1.p, Aqcoe6G268300.2.p	AH005727-RA
OG0012663	Aqcoe6G021500.1.p	AH005323-RA
OG0012665	Aqcoe6G046900.1.p	AH021953-RA
OG0012666	Aqcoe6G189900.1.p	AH002349-RA
OG0012667	Aqcoe6G048600.1.p	AH008560-RA
OG0012669	Aqcoe6G231200.1.p, Aqcoe1G223300.1.p	AH021383-RA
OG0012670	Aqcoe6G327800.1.p, Aqcoe6G327800.2.p	AH016927-RA
OG0012671	Aqcoe6G182500.1.p	AH006417-RA
OG0012672	Aqcoe0017s0013.1.p	AH021688-RA
OG0012673	Aqcoe0768s0001.1.p	AH000604-RA
OG0012674	Aqcoe4G011500.1.p	AH021312-RA
