Orthogroup	B_vulgaris.proteins	A_hypochondriacus.proteins
OG0011896	Bevul.1G211200.1.p	AH009388-RA
OG0011897	Bevul.1G195800.1.p	AH009520-RA
OG0011898	Bevul.1G116400.1.p, Bevul.1G116300.1.p	AH008861-RA
OG0011899	Bevul.1G113100.1.p	AH008834-RA
OG0011900	Bevul.1G151500.1.p	AH009299-RA
OG0011902	Bevul.3G039500.1.p	AH019665-RA
OG0011904	Bevul.7G212000.1.p	AH013621-RA
OG0011906	Bevul.1G092600.1.p, Bevul.3G176300.1.p	AH013460-RA, AH004709-RA, AH004710-RA, AH004711-RA
OG0011907	Bevul.3G164000.1.p, Bevul.3G163800.1.p, Bevul.3G164700.1.p	AH003530-RA, AH012451-RA
OG0011907	Bevul.6G236900.1.p, Bevul.3G159700.1.p, Bevul.4G163400.1.p, Bevul.3G164300.1.p, Bevul.3G164500.1.p, Bevul.3G164100.1.p	AH007626-RA, AH007627-RA, AH007628-RA, AH003531-RA
OG0011908	Bevul.7G080900.1.p	AH000962-RA
OG0011909	Bevul.3G122600.1.p	AH004763-RA, AH004406-RA
OG0011909	Bevul.6G193200.1.p	AH004762-RA
OG0011912	Bevul.3G062100.1.p, Bevul.3G097900.1.p	AH011602-RA
OG0011913	Bevul.3G003700.1.p	AH007173-RA
OG0011914	Bevul.3G173300.1.p	AH006923-RA
OG0011915	Bevul.1G063900.1.p	AH002800-RA, AH002801-RA, AH002833-RA, AH002816-RA
OG0011916	Bevul.8G076900.1.p	AH003885-RA
OG0011917	Bevul.6G096100.1.p	AH003960-RA
OG0011918	Bevul.6G109500.1.p	AH004125-RA
OG0011919	Bevul.9G227000.3.p, Bevul.9G227000.5.p, Bevul.9G227000.1.p, Bevul.9G227000.4.p, Bevul.9G227000.2.p, Bevul.9G227000.6.p	AH000648-RA
OG0011920	Bevul.9G123300.1.p	AH002364-RA, AH002363-RA, AH002362-RA
OG0011921	Bevul.9G226500.4.p, Bevul.9G226500.1.p, Bevul.9G226500.2.p, Bevul.9G226500.3.p	AH000652-RA
OG0011922	Bevul.4G011100.1.p, Bevul.3G233500.1.p	AH002254-RA
OG0011924	Bevul.4G094000.1.p	AH001281-RA, AH000261-RA
OG0011925	Bevul.9G140700.1.p	AH002234-RA
OG0012005	Bevul.4G153100.1.p	AH010439-RA
OG0012007	Bevul.7G199300.1.p	AH020065-RA
OG0012008	Bevul.7G186500.1.p	AH013893-RA
OG0012009	Bevul.6G093500.1.p	AH005897-RA
OG0012012	Bevul.7G049600.2.p, Bevul.7G049600.1.p	AH012743-RA
OG0012013	Bevul.3G160200.1.p	AH006993-RA
OG0012015	Bevul.4G067000.1.p	AH008049-RA, AH010080-RA
OG0012016	Bevul.5G230900.1.p	AH017860-RA
OG0012017	Bevul.4G023300.1.p	AH012965-RA
OG0012019	Bevul.3G005400.1.p	AH007182-RA
OG0012022	Bevul.7G122100.1.p	AH013050-RA
OG0012025	Bevul.4G083500.1.p	AH007973-RA
OG0012026	Bevul.4G216500.1.p	AH007486-RA
OG0012027	Bevul.2G039000.1.p	AH015657-RA
OG0012028	Bevul.3G225800.1.p	AH020540-RA
OG0012031	Bevul.5G231600.1.p	AH002548-RA
OG0012032	Bevul.2G206900.1.p	AH022840-RA
OG0012033	Bevul.7G114200.1.p	AH013001-RA
OG0012034	Bevul.7G231400.1.p	AH013285-RA
OG0012035	Bevul.4G020600.1.p	AH008236-RA
OG0012036	Bevul.9G132800.1.p	AH002290-RA, AH000793-RA
OG0012037	Bevul.3G143200.1.p	AH007072-RA
OG0012038	Bevul.4G141000.1.p	AH010840-RA
OG0012039	Bevul.3G007700.1.p	AH019915-RA
OG0012040	Bevul.7G081100.1.p	AH015415-RA
OG0012041	Bevul.9G203600.1.p	AH000453-RA, AH000456-RA
OG0012042	Bevul.4G210200.1.p	AH007437-RA
OG0012044	Bevul.4G002600.1.p	AH013053-RA
OG0012046	Bevul.6G187600.1.p	AH004438-RA
OG0012047	Bevul.3G065300.1.p	AH011614-RA
OG0012048	Bevul.3G199700.1.p	AH020411-RA
OG0012050	Bevul.9G069600.1.p	AH000341-RA
OG0012051	Bevul.3G131300.1.p	AH011843-RA
OG0012052	Bevul.3G103900.1.p	AH011649-RA
OG0012053	Bevul.5G152400.1.p	AH017168-RA
OG0012054	Bevul.8G129900.1.p	AH014222-RA
OG0012055	Bevul.7G090000.1.p	AH012845-RA
OG0012056	Bevul.6G034800.1.p	AH003345-RA
OG0012057	Bevul.5G255000.1.p	AH002699-RA
OG0012058	Bevul.4G135700.1.p	AH010796-RA
OG0012059	Bevul.3G139500.1.p	AH020098-RA, AH020097-RA
OG0012061	Bevul.7G097100.1.p	AH012923-RA
OG0012062	Bevul.8G111000.1.p	AH020113-RA
OG0012063	Bevul.7G126000.1.p	AH013081-RA
OG0012064	Bevul.4G194100.1.p	AH010396-RA
OG0012065	Bevul.3G200000.1.p	AH020412-RA
OG0012066	Bevul.1G011500.1.p	AH008365-RA
OG0012068	Bevul.3G173100.1.p	AH006924-RA
OG0012071	Bevul.5G119500.1.p	AH003017-RA
OG0012072	Bevul.3G062800.1.p	AH019807-RA
OG0012075	Bevul.1G057400.1.p	AH012307-RA
OG0012077	Bevul.3G169300.1.p	AH020242-RA
OG0012078	Bevul.2G044600.1.p	AH015695-RA
OG0012080	Bevul.8G061600.1.p	AH015136-RA
OG0012081	Bevul.3G141200.1.p	AH011765-RA
OG0012082	Bevul.5G256200.1.p	AH017676-RA
OG0012083	Bevul.2G012600.1.p	AH019010-RA
OG0012084	Bevul.6G035500.1.p	AH006419-RA
OG0012085	Bevul.3G113700.1.p	AH011711-RA
OG0012086	Bevul.4G150500.1.p	AH010553-RA
OG0012087	Bevul.5G252200.1.p	AH002677-RA
OG0012088	Bevul.8G076500.1.p, Bevul.7G081900.1.p, Bevul.5G148200.1.p	AH015418-RA
OG0012089	Bevul.6G010400.1.p	AH012938-RA
OG0012090	Bevul.2G238200.1.p	AH023053-RA
OG0012092	Bevul.8G109300.1.p	AH019524-RA
OG0012093	Bevul.5G054400.1.p	AH018830-RA
OG0012094	Bevul.7G025900.1.p	AH021790-RA
OG0012097	Bevul.4G245300.1.p	AH007664-RA, AH010886-RA
OG0012098	Bevul.1G049300.1.p	AH022499-RA, AH022500-RA, AH016919-RA
OG0012099	Bevul.4G203600.1.p	AH007606-RA
OG0012100	Bevul.1G089500.1.p	AH008647-RA
OG0012101	Bevul.2G045600.1.p	AH006794-RA
OG0012102	Bevul.1G003600.1.p	AH016941-RA
OG0012103	Bevul.1G100800.1.p	AH008740-RA
OG0012104	Bevul.1G070500.1.p	AH021240-RA
OG0012106	Bevul.1G142400.1.p	AH009053-RA
OG0012109	Bevul.6G160800.1.p	AH005263-RA
OG0012110	Bevul.9G178700.1.p	AH001872-RA
OG0012111	Bevul.4G094700.1.p	AH007899-RA
OG0012112	Bevul.1G067100.1.p	AH008554-RA, AH008555-RA
OG0012114	Bevul.6G085600.1.p	AH005601-RA
OG0012115	Bevul.1G012900.1.p	AH016723-RA
OG0012116	Bevul.1G065700.1.p	AH008604-RA
OG0012117	Bevul.6G080900.1.p	AH007177-RA
OG0012118	Bevul.1G211300.1.p	AH009387-RA
OG0012119	Bevul.1G214200.1.p	AH023619-RA
OG0012120	Bevul.1G008700.1.p	AH008382-RA
OG0012122	Bevul.4G091800.1.p	AH007942-RA, AH010278-RA
OG0012123	Bevul.9G115000.1.p	AH001558-RA, AH023066-RA
OG0012125	Bevul.4G006100.1.p	AH006480-RA, AH008301-RA
OG0012126	Bevul.1G084300.1.p	AH008661-RA
OG0012127	Bevul.1G061100.1.p	AH023559-RA
OG0012128	Bevul.9G164800.1.p	AH001751-RA
OG0012129	Bevul.3G056000.1.p	AH007308-RA
OG0012130	Bevul.6G021200.1.p	AH005759-RA
OG0012131	Bevul.4G177500.1.p	AH007367-RA
OG0012131	Bevul.1G086100.1.p	AH008627-RA
OG0012132	Bevul.1G129300.1.p	AH016879-RA
OG0012133	Bevul.9G159100.1.p	AH001727-RA
OG0012134	Bevul.6G222700.1.p, Bevul.6G222600.1.p	AH004965-RA
OG0012135	Bevul.1G096900.1.p	AH008773-RA
OG0012140	Bevul.1G009500.1.p	AH008376-RA
OG0012141	Bevul.6G000300.1.p	AH003725-RA
OG0012142	Bevul.9G218700.1.p	AH002436-RA
OG0012143	Bevul.1G013200.1.p	AH008352-RA
OG0012144	Bevul.9G211300.1.p	AH002397-RA
OG0012145	Bevul.1G007200.1.p	AH016688-RA
OG0012146	Bevul.3G076300.1.p	AH012353-RA
OG0012148	Bevul.9G133900.1.p	AH002284-RA
OG0012149	Bevul.7G111400.1.p	AH006772-RA
OG0012151	Bevul.9G068700.1.p	AH001261-RA
OG0012154	Bevul.8G015800.1.p	AH015287-RA
OG0012157	Bevul.6G227600.1.p	AH004996-RA
OG0012158	Bevul.4G007600.1.p	AH009778-RA, AH008295-RA
OG0012159	Bevul.4G070700.1.p	AH008032-RA
OG0012162	Bevul.9G018300.1.p	AH001134-RA
OG0012163	Bevul.8G013300.1.p	AH021400-RA
OG0012164	Bevul.8G048300.1.p	AH014944-RA
OG0012165	Bevul.4G009500.1.p	AH008288-RA
OG0012166	Bevul.4G151400.1.p	AH003235-RA, AH007514-RA
OG0012169	Bevul.7G146600.1.p	AH022357-RA
OG0012171	Bevul.8G086000.1.p	AH014727-RA
OG0012172	Bevul.8G010400.1.p	AH021587-RA
OG0012173	Bevul.8G193000.1.p	AH020858-RA
OG0012174	Bevul.5G239200.1.p	AH017794-RA
OG0012175	Bevul.5G044300.1.p	AH018756-RA
OG0012176	Bevul.5G040900.1.p	AH018726-RA
OG0012177	Bevul.6G041600.1.p	AH020975-RA, AH006250-RA
OG0012178	Bevul.5G005900.1.p	AH003206-RA
OG0012179	Bevul.3G085100.1.p	AH019488-RA
OG0012181	Bevul.8G089700.1.p	AH021314-RA
OG0012185	Bevul.1G121400.1.p	AH022219-RA
OG0012186	Bevul.9G117700.1.p	AH002163-RA
OG0012187	Bevul.9G204600.1.p	AH002080-RA
OG0012188	Bevul.9G115500.1.p	AH001564-RA
OG0012189	Bevul.8G205300.1.p	AH014443-RA
OG0012190	Bevul.2G174200.2.p, Bevul.2G174200.1.p	AH016260-RA
OG0012191	Bevul.8G188100.1.p	AH014138-RA
OG0012192	Bevul.2G017600.1.p	AH015357-RA
OG0012194	Bevul.6G206400.1.p	AH005186-RA
OG0012196	Bevul.2G181200.1.p	AH023200-RA
OG0012197	Bevul.5G008900.1.p	AH018542-RA
OG0012199	Bevul.7G191700.1.p	AH020635-RA
OG0012200	Bevul.1G148600.1.p	AH009330-RA, AH009331-RA
OG0012201	Bevul.2G151300.1.p	AH017132-RA
OG0012202	Bevul.2G133800.1.p	AH017037-RA
OG0012203	Bevul.3G088200.1.p	AH012262-RA
OG0012205	Bevul.2G136100.1.p	AH017094-RA
OG0012206	Bevul.1G141000.1.p	AH004333-RA
OG0012208	Bevul.3G082900.1.p	AH019933-RA
OG0012209	Bevul.6G152500.1.p	AH005504-RA
OG0012210	Bevul.2G139300.2.p, Bevul.2G139300.3.p, Bevul.2G139300.1.p	AH016057-RA
OG0012211	Bevul.2G002600.2.p, Bevul.2G002600.1.p	AH019499-RA, AH019500-RA
OG0012212	Bevul.4G033000.1.p	AH010191-RA, AH014115-RA, AH014116-RA
OG0012213	Bevul.2G006800.1.p	AH018986-RA
OG0012214	Bevul.2G136200.1.p	AH016035-RA
OG0012215	Bevul.9G186700.1.p	AH000617-RA
OG0012215	Bevul.8G164900.1.p	AH020669-RA
OG0012216	Bevul.8G202600.1.p	AH014468-RA, AH014467-RA
OG0012217	Bevul.7G154000.1.p	AH022256-RA, AH013484-RA
OG0012218	Bevul.5G222100.1.p	AH000482-RA
OG0012219	Bevul.2G014400.1.p	AH019015-RA
OG0012220	Bevul.3G082800.1.p	AH007249-RA
OG0012221	Bevul.2G181500.1.p	AH023197-RA
OG0012222	Bevul.8G185800.1.p, Bevul.9G165200.1.p	AH014174-RA
OG0012223	Bevul.8G204200.1.p	AH014452-RA
OG0012224	Bevul.3G110000.1.p	AH019987-RA
OG0012225	Bevul.8G209000.1.p	AH014430-RA
OG0012226	Bevul.5G101000.1.p	AH018484-RA
OG0012227	Bevul.3G079100.1.p	AH012338-RA
OG0012228	Bevul.6G146200.1.p	AH015134-RA
OG0012230	Bevul.8G139700.1.p	AH014592-RA
OG0012231	Bevul.7G148600.1.p	AH013516-RA
OG0012233	Bevul.5G167800.1.p	AH008509-RA
OG0012234	Bevul.8G158600.1.p	AH020999-RA
OG0012236	Bevul.2G139900.1.p, Bevul.2G139900.2.p	AH017108-RA
OG0012237	Bevul.5G069100.1.p	AH018301-RA
OG0012238	Bevul.8G158800.1.p	AH021001-RA
OG0012239	Bevul.8G168100.1.p	AH020670-RA
OG0012240	Bevul.7G068600.1.p	AH021925-RA
OG0012241	Bevul.7G154700.1.p	AH022259-RA
OG0012242	Bevul.9G207000.1.p	AH000471-RA, AH002101-RA
OG0012243	Bevul.5G060600.1.p	AH018169-RA
OG0012243	Bevul.5G060500.1.p	AH018168-RA
OG0012244	Bevul.8G211600.1.p	AH020972-RA
OG0012245	Bevul.2G180800.1.p	AH023203-RA
OG0012246	Bevul.1G093700.1.p	AH007235-RA
OG0012247	Bevul.8G034800.1.p	AH019022-RA
OG0012248	Bevul.7G229200.1.p	AH022400-RA
OG0012251	Bevul.2G245300.1.p	AH023115-RA
OG0012252	Bevul.4G107800.1.p	AH007791-RA
OG0012253	Bevul.8G188200.1.p	AH014139-RA
OG0012255	Bevul.3G188600.1.p	AH020356-RA
OG0012257	Bevul.4G065200.1.p	AH008054-RA
OG0012258	Bevul.1G164100.1.p	AH003832-RA
OG0012259	Bevul.5G055700.1.p	AH003047-RA
OG0012260	Bevul.8G016900.1.p	AH015285-RA
OG0012261	Bevul.2G237600.1.p	AH023046-RA
OG0012262	Bevul.2G188500.1.p	AH023766-RA
OG0012264	Bevul.2G045500.1.p	AH015701-RA
OG0012266	Bevul.2G164600.1.p	AH013817-RA
OG0012267	Bevul.4G068800.1.p	AH010090-RA
OG0012268	Bevul.2G238400.1.p	AH023055-RA
OG0012271	Bevul.4G118300.1.p, Bevul.1G081700.1.p	AH010690-RA
OG0012272	Bevul.8G095000.1.p	AH007734-RA
OG0012273	Bevul.7G226600.1.p	AH013245-RA
OG0012275	Bevul.5G117100.1.p	AH018921-RA
OG0012276	Bevul.4G082700.1.p	AH007981-RA
OG0012277	Bevul.6G226100.1.p	AH004983-RA
OG0012278	Bevul.8G094200.1.p	AH014694-RA
OG0012279	Bevul.4G110900.1.p	AH007801-RA
OG0012281	Bevul.7G191800.1.p	AH013801-RA
OG0012282	Bevul.4G174600.1.p	AH010612-RA, AH007382-RA
OG0012283	Bevul.2G139600.1.p	AH017106-RA
OG0012284	Bevul.2G193700.1.p	AH022730-RA, AH016627-RA
OG0012285	Bevul.8G212600.1.p	AH014392-RA
OG0012286	Bevul.4G051300.1.p	AH019065-RA
OG0012287	Bevul.4G186300.1.p, Bevul.8G119200.1.p	AH011733-RA
OG0012288	Bevul.7G216500.1.p	AH013174-RA
OG0012289	Bevul.2G059700.2.p, Bevul.2G059700.1.p	AH015773-RA
OG0012290	Bevul.8G056800.1.p	AH015013-RA
OG0012291	Bevul.7G044800.1.p	AH021879-RA
OG0012292	Bevul.8G047900.1.p	AH014941-RA
OG0012293	Bevul.5G133800.1.p	AH018538-RA, AH003224-RA
OG0012294	Bevul.7G060900.1.p	AH012787-RA
OG0012295	Bevul.8G001600.1.p	AH015113-RA
OG0012296	Bevul.9G139600.1.p	AH000839-RA
OG0012297	Bevul.8G073200.1.p	AH021365-RA
OG0012298	Bevul.4G019900.1.p	AH009874-RA
OG0012299	Bevul.2G239700.1.p	AH023070-RA, AH016368-RA
OG0012300	Bevul.6G218300.1.p	AH004280-RA
OG0012302	Bevul.9G037900.1.p	AH000226-RA
OG0012303	Bevul.4G011700.1.p	AH009752-RA
OG0012304	Bevul.8G020800.1.p	AH015259-RA
OG0012305	Bevul.9G169500.1.p	AH001805-RA
OG0012306	Bevul.3G174000.1.p	AH006919-RA
OG0012307	Bevul.8G037300.1.p	AH014869-RA
OG0012308	Bevul.3G055500.1.p	AH019853-RA
OG0012309	Bevul.7G216900.1.p	AH013175-RA
OG0012310	Bevul.5G051900.1.p	AH018811-RA
OG0012311	Bevul.4G073400.1.p	AH010125-RA
OG0012312	Bevul.4G196100.1.p	AH010399-RA
OG0012313	Bevul.7G185600.1.p	AH013883-RA
OG0012315	Bevul.2G028400.1.p	AH015379-RA
OG0012317	Bevul.2G190900.1.p	AH016645-RA
OG0012319	Bevul.1G117400.1.p	AH008867-RA
OG0012320	Bevul.8G125300.1.p	AH021153-RA
OG0012321	Bevul.4G139800.1.p	AH010834-RA
OG0012323	Bevul.3G078100.1.p	AH012367-RA
OG0012324	Bevul.3G212100.1.p	AH006660-RA
OG0012326	Bevul.3G024200.1.p	AH011890-RA
OG0012327	Bevul.1G181300.1.p	AH009652-RA
OG0012328	Bevul.2G130100.1.p	AH017045-RA
OG0012329	Bevul.7G045000.1.p	AH012711-RA
OG0012330	Bevul.4G250400.1.p	AH007637-RA
OG0012331	Bevul.1G062100.1.p	AH000107-RA
OG0012332	Bevul.9G177400.1.p	AH001859-RA
OG0012333	Bevul.7G179200.1.p	AH021198-RA, AH014056-RA
OG0012334	Bevul.7G093300.1.p	AH022119-RA
OG0012335	Bevul.6G014000.1.p	AH005709-RA
OG0012336	Bevul.5G003100.1.p	AH018591-RA
OG0012337	Bevul.6G071700.1.p	AH003527-RA
OG0012338	Bevul.1G057700.1.p	AH010715-RA
OG0012339	Bevul.5G027100.1.p	AH011272-RA
OG0012340	Bevul.8G119400.1.p	AH021167-RA
OG0012341	Bevul.3G137400.1.p	AH019949-RA
OG0012342	Bevul.5G119300.1.p	AH003016-RA
OG0012344	Bevul.5G153400.1.p	AH017233-RA
OG0012346	Bevul.6G172700.1.p	AH004877-RA
OG0012347	Bevul.7G096700.2.p, Bevul.7G096700.1.p	AH022188-RA
OG0012348	Bevul.2G031300.1.p	AH023685-RA
OG0012351	Bevul.8G209100.1.p	AH014431-RA
OG0012352	Bevul.6G160200.1.p	AH005266-RA
OG0012353	Bevul.7G145600.1.p	AH022359-RA
OG0012355	Bevul.7G143100.1.p	AH013556-RA
OG0012356	Bevul.1G203000.1.p	AH009460-RA
OG0012358	Bevul.1G097700.1.p	AH008766-RA
OG0012359	Bevul.6G225600.1.p	AH004980-RA, AH004320-RA
OG0012360	Bevul.6G065000.1.p	AH003704-RA
OG0012361	Bevul.5G248600.1.p	AH002655-RA
OG0012362	Bevul.9G236500.1.p	AH001656-RA
OG0012363	Bevul.7G113600.1.p	AH012995-RA
OG0012365	Bevul.1G112500.1.p	AH008830-RA
OG0012366	Bevul.6G114100.1.p	AH004098-RA
OG0012367	Bevul.6G172500.1.p	AH004472-RA, AH004878-RA
OG0012368	Bevul.6G038300.1.p	AH006390-RA
OG0012369	Bevul.7G112800.1.p	AH022032-RA
OG0012370	Bevul.6G041000.1.p	AH003389-RA
OG0012371	Bevul.5G143900.1.p	AH016209-RA
OG0012372	Bevul.6G043500.1.p	AH006264-RA
OG0012373	Bevul.3G119000.1.p	AH011747-RA, AH020005-RA, AH011748-RA
OG0012374	Bevul.5G236000.1.p	AH006987-RA
OG0012375	Bevul.5G243200.1.p	AH017768-RA
OG0012377	Bevul.7G143600.1.p	AH010145-RA
OG0012378	Bevul.6G129500.1.p	AH006517-RA, AH005462-RA
OG0012380	Bevul.5G206200.1.p	AH017316-RA
OG0012381	Bevul.5G205800.1.p	AH017320-RA
OG0012382	Bevul.6G147200.1.p	AH005367-RA
OG0012384	Bevul.5G084900.1.p	AH018339-RA
OG0012385	Bevul.1G147900.1.p	AH009338-RA
OG0012386	Bevul.5G087500.1.p	AH011491-RA
OG0012387	Bevul.1G079900.1.p	AH008448-RA
OG0012388	Bevul.2G067100.2.p, Bevul.2G067100.1.p	AH019130-RA
OG0012389	Bevul.6G175400.1.p	AH004862-RA
OG0012390	Bevul.8G009400.1.p	AH016590-RA, AH022779-RA
OG0012392	Bevul.4G162800.1.p	AH007423-RA
OG0012393	Bevul.6G228600.1.p	AH004339-RA
OG0012394	Bevul.6G232200.1.p	AH005030-RA
OG0012395	Bevul.2G207500.1.p	AH022845-RA
OG0012396	Bevul.5G087400.1.p	AH018378-RA
OG0012397	Bevul.6G232400.1.p	AH004357-RA
OG0012398	Bevul.7G024400.1.p	AH021799-RA
OG0012401	Bevul.6G242700.1.p	AH004687-RA
OG0012403	Bevul.2G212300.1.p	AH022877-RA
OG0012404	Bevul.5G216800.1.p	AH002510-RA
OG0012405	Bevul.6G109400.1.p	AH005378-RA
OG0012406	Bevul.3G017400.1.p	AH007289-RA
OG0012407	Bevul.2G111600.1.p	AH023523-RA
OG0012408	Bevul.5G183200.1.p	AH002861-RA
OG0012409	Bevul.5G217000.1.p	AH002529-RA
OG0012410	Bevul.2G216600.1.p	AH022903-RA, AH010307-RA
OG0012411	Bevul.5G090000.1.p	AH018398-RA
OG0012412	Bevul.5G048400.1.p	AH018782-RA
OG0012413	Bevul.6G128200.1.p	AH005389-RA, AH004161-RA
OG0012414	Bevul.6G238300.1.p	AH005074-RA
OG0012418	Bevul.5G086400.1.p	AH011488-RA
OG0012419	Bevul.5G151300.1.p	AH017179-RA
OG0012420	Bevul.1G148200.1.p	AH009334-RA
OG0012421	Bevul.3G014200.1.p	AH007250-RA
OG0012423	Bevul.5G177400.1.p	AH017500-RA
OG0012424	Bevul.3G013700.1.p	AH019932-RA
OG0012425	Bevul.8G208300.1.p	AH014425-RA, AH020947-RA
OG0012426	Bevul.6G116000.1.p	AH005451-RA
OG0012427	Bevul.6G191200.1.p	AH004416-RA
OG0012428	Bevul.9G234100.1.p	AH001672-RA
OG0012429	Bevul.4G173800.1.p	AH007384-RA
OG0012431	Bevul.2G201500.1.p	AH016580-RA
OG0012432	Bevul.5G014300.1.p	AH017539-RA
OG0012433	Bevul.2G071700.1.p	AH015823-RA
OG0012434	Bevul.5G006300.1.p	AH018573-RA
OG0012438	Bevul.2G239600.1.p	AH023069-RA, AH016367-RA
OG0012439	Bevul.2G208400.1.p	AH022852-RA, AH016513-RA
OG0012440	Bevul.8G068800.1.p	AH015049-RA
OG0012440	Bevul.8G068600.1.p	AH015050-RA, AH021547-RA, AH021544-RA, AH015058-RA
OG0012441	Bevul.8G143500.1.p	AH021090-RA
OG0012442	Bevul.5G025500.1.p	AH015574-RA, AH011282-RA
OG0012443	Bevul.2G201000.1.p	AH016584-RA
OG0012444	Bevul.7G143300.1.p	AH015497-RA
OG0012445	Bevul.5G257700.1.p	AH017655-RA
OG0012447	Bevul.4G016700.1.p	AH008180-RA
OG0012447	Bevul.4G017300.1.p, Bevul.4G017200.1.p	AH009860-RA, AH008254-RA, AH008256-RA
OG0012448	Bevul.7G048600.1.p	AH012734-RA
OG0012448	Bevul.4G179600.1.p, Bevul.4G179900.1.p, Bevul.4G179700.1.p, Bevul.4G179800.1.p	AH010653-RA
OG0012448	Bevul.4G180000.1.p	AH010656-RA
OG0012448	Bevul.8G135600.1.p	AH011911-RA
OG0012449	Bevul.7G000200.1.p	AH010049-RA
OG0012450	Bevul.4G227100.1.p, Bevul.4G224900.1.p	AH011022-RA
OG0012451	Bevul.4G033300.1.p	AH010187-RA
OG0012452	Bevul.1G007400.1.p	AH008388-RA
OG0012453	Bevul.1G203100.1.p, Bevul.6G210700.1.p	AH009459-RA
OG0012454	Bevul.1G197700.1.p	AH012228-RA, AH009505-RA
OG0012455	Bevul.7G209500.1.p	AH013651-RA
OG0012456	Bevul.7G169700.1.p	AH013373-RA
OG0012457	Bevul.8G033600.1.p, Bevul.8G033500.1.p, Bevul.8G033700.1.p	AH015094-RA
OG0012458	Bevul.6G222100.1.p	AH004959-RA, AH004956-RA
OG0012458	Bevul.5G152300.1.p	AH004957-RA, AH004960-RA
OG0012459	Bevul.3G020700.1.p, Bevul.7G006000.1.p	AH002056-RA
OG0012460	Bevul.3G131100.1.p	AH011841-RA
OG0012461	Bevul.3G053300.1.p	AH012132-RA
OG0012462	Bevul.5G095800.1.p	AH011541-RA
OG0012463	Bevul.9G020400.5.p, Bevul.9G020400.4.p, Bevul.9G020400.1.p, Bevul.9G020400.2.p, Bevul.9G020400.3.p, Bevul.9G112500.2.p, Bevul.9G112500.1.p, Bevul.9G112400.1.p, Bevul.9G112400.2.p, Bevul.9G112400.3.p, Bevul.9G112400.4.p	AH011537-RA
OG0012466	Bevul.9G044500.3.p, Bevul.9G044500.2.p, Bevul.9G044500.1.p	AH002638-RA
OG0012467	Bevul.9G013000.1.p	AH001095-RA
OG0012467	Bevul.9G012100.1.p, Bevul.9G012700.1.p, Bevul.9G012500.1.p, Bevul.9G012400.1.p, Bevul.9G012600.1.p, Bevul.9G012200.1.p	AH001092-RA, AH001090-RA
OG0012468	Bevul.9G210300.5.p, Bevul.9G210300.1.p, Bevul.9G210300.2.p, Bevul.9G210300.4.p, Bevul.9G210300.6.p, Bevul.9G210300.3.p	AH002389-RA, AH000712-RA
OG0012569	Bevul.4G059600.1.p	AH016826-RA
OG0012573	Bevul.5G125200.1.p	AH015439-RA
OG0012576	Bevul.1G211000.1.p	AH009392-RA
OG0012577	Bevul.4G046600.1.p	AH015188-RA
OG0012577	Bevul.1G203500.1.p	AH012688-RA
OG0012578	Bevul.3G229700.1.p	AH006511-RA
OG0012581	Bevul.9G129700.1.p	AH002315-RA
OG0012583	Bevul.5G228600.1.p	AH017877-RA
OG0012584	Bevul.7G183800.1.p	AH022633-RA
OG0012585	Bevul.3G147400.1.p	AH019827-RA
OG0012586	Bevul.4G208700.1.p	AH011152-RA
OG0012587	Bevul.4G132400.1.p	AH010771-RA
OG0012589	Bevul.4G133200.1.p	AH010778-RA
OG0012590	Bevul.7G120100.1.p	AH013033-RA
OG0012593	Bevul.8G164000.1.p	AH008324-RA
OG0012595	Bevul.4G035500.1.p	AH008184-RA
OG0012596	Bevul.3G005200.1.p	AH019895-RA
OG0012597	Bevul.4G155600.1.p	AH010465-RA
OG0012598	Bevul.4G115500.1.p	AH014196-RA
OG0012599	Bevul.9G160200.1.p	AH001738-RA
OG0012600	Bevul.4G170800.1.p	AH007396-RA
OG0012603	Bevul.7G150200.1.p	AH011812-RA
OG0012604	Bevul.2G244100.1.p	AH016387-RA
OG0012606	Bevul.7G095100.2.p, Bevul.7G095100.1.p	AH013534-RA
OG0012607	Bevul.7G052100.1.p	AH012756-RA
OG0012608	Bevul.6G209000.1.p	AH000847-RA
OG0012610	Bevul.7G069700.1.p	AH021946-RA
OG0012612	Bevul.3G103500.1.p	AH019951-RA
OG0012613	Bevul.3G132700.1.p	AH020141-RA
OG0012614	Bevul.5G251300.1.p	AH017712-RA
OG0012615	Bevul.5G224600.1.p	AH007247-RA
OG0012616	Bevul.3G128100.1.p	AH019984-RA
OG0012618	Bevul.3G099100.1.p	AH011622-RA
OG0012619	Bevul.7G003700.1.p	AH021706-RA
OG0012621	Bevul.3G176800.1.p, Bevul.3G176700.1.p	AH020289-RA
OG0012626	Bevul.7G190200.1.p	AH013813-RA
OG0012627	Bevul.6G096400.1.p	AH003963-RA
OG0012630	Bevul.6G010100.1.p	AH003890-RA
OG0012631	Bevul.9G135900.1.p	AH006631-RA
OG0012634	Bevul.1G208800.1.p	AH009414-RA
OG0012635	Bevul.5G022700.1.p	AH011296-RA
OG0012636	Bevul.6G050900.1.p	AH006333-RA
OG0012637	Bevul.1G209900.1.p	AH009409-RA
OG0012638	Bevul.1G084700.1.p	AH017420-RA
OG0012639	Bevul.1G192600.1.p	AH009547-RA
OG0012641	Bevul.6G069300.1.p	AH003552-RA
