Orthogroup	S_lycopersicum.proteins	A_hypochondriacus.proteins
OG0009885	Solyc10g007840.3.1	AH001446-RA
OG0009886	Solyc08g005560.3.1, Solyc08g075520.3.1	AH018783-RA
OG0009889	Solyc08g059710.3.1	AH023205-RA
OG0009890	Solyc12g062457.1.1, Solyc05g026317.1.1	AH010130-RA, AH011248-RA, AH020656-RA, AH011384-RA, AH006102-RA, AH023552-RA, AH013690-RA, AH014180-RA, AH020881-RA, AH005904-RA, AH011535-RA
OG0009892	Solyc09g066380.2.1	AH015419-RA
OG0009892	Solyc01g056460.1.1, Solyc03g020100.2.1, Solyc05g008810.3.1	AH016329-RA
OG0009893	Solyc11g056270.2.1, Solyc03g013220.1.1, Solyc11g030880.1.1, Solyc09g056070.1.1	AH015545-RA, AH015448-RA
OG0009895	Solyc01g098240.2.1	AH010588-RA, AH010589-RA
OG0009896	Solyc07g064220.1.1, Solyc07g064210.2.1	AH009936-RA
OG0009897	Solyc01g094180.3.1	AH009237-RA
OG0009898	Solyc03g080090.3.1, Solyc06g073050.2.1	AH019746-RA, AH011875-RA
OG0009900	Solyc09g074310.3.1	AH012884-RA
OG0009901	Solyc09g014980.3.1	AH012517-RA
OG0009902	Solyc02g078290.3.1, Solyc02g078280.3.1	AH015223-RA
OG0009904	Solyc02g079390.3.1	AH015135-RA
OG0009905	Solyc03g123800.2.1	AH014684-RA
OG0009906	Solyc03g044230.1.1	AH003975-RA, AH006144-RA
OG0009908	Solyc08g081350.2.1	AH011260-RA
OG0009910	Solyc04g015990.2.1	AH006486-RA
OG0009911	Solyc10g078170.2.1	AH006623-RA
OG0009912	Solyc12g033130.2.1	AH004058-RA
OG0009913	Solyc10g007580.1.1, Solyc07g056600.1.1	AH002392-RA
OG0009914	Solyc06g062370.3.1, Solyc06g062375.1.1, Solyc06g062380.3.1, Solyc06g062390.3.1, Solyc03g121100.3.1	AH001566-RA
OG0009954	Solyc01g080180.3.1	AH020139-RA
OG0009955	Solyc06g005475.1.1	AH003089-RA
OG0009956	Solyc01g007750.3.1	AH021769-RA
OG0009959	Solyc05g053280.3.1	AH011801-RA
OG0009960	Solyc10g049590.1.1, Solyc12g017750.2.1	AH015443-RA
OG0009961	Solyc06g008020.3.1	AH022204-RA
OG0009962	Solyc12g018990.2.1	AH005029-RA
OG0009963	Solyc03g119490.3.1	AH012643-RA, AH000887-RA
OG0009964	Solyc06g054420.3.1	AH020138-RA
OG0009965	Solyc01g079820.3.1	AH014243-RA
OG0009966	Solyc02g081310.3.1	AH019102-RA
OG0009968	Solyc09g090750.3.1	AH020214-RA
OG0009969	Solyc11g068460.2.1	AH013248-RA
OG0009970	Solyc10g077130.1.1	AH006601-RA, AH020504-RA
OG0009971	Solyc12g098710.2.1	AH006545-RA
OG0009972	Solyc09g005930.3.1	AH012806-RA
OG0009973	Solyc10g083270.3.1	AH021801-RA
OG0009974	Solyc01g103720.3.1	AH014377-RA
OG0009975	Solyc01g080300.3.1	AH010719-RA
OG0009978	Solyc01g079840.3.1	AH007067-RA
OG0009979	Solyc01g087180.3.1	AH016652-RA
OG0009980	Solyc01g098100.2.1	AH008504-RA
OG0009981	Solyc06g053600.3.1, Solyc06g053585.1.1	AH007201-RA
OG0009982	Solyc01g057280.2.1, Solyc07g005640.3.1	AH004189-RA
OG0009983	Solyc02g083950.3.1	AH006421-RA
OG0009984	Solyc01g097300.3.1	AH010821-RA
OG0009985	Solyc11g013430.2.1, Solyc11g013400.2.1	AH011705-RA
OG0009988	Solyc09g098110.3.1	AH007077-RA, AH019557-RA
OG0009990	Solyc11g008870.2.1, Solyc05g055730.3.1	AH011807-RA
OG0009992	Solyc06g084360.3.1	AH012902-RA
OG0009993	Solyc06g076980.3.1	AH013815-RA
OG0009994	Solyc06g051790.3.1	AH016439-RA
OG0009995	Solyc09g007750.3.1	AH021991-RA
OG0009996	Solyc01g068180.3.1	AH015716-RA
OG0009998	Solyc04g016080.2.1	AH006753-RA
OG0010000	Solyc03g051780.2.1	AH006814-RA
OG0010001	Solyc12g010220.2.1	AH022819-RA
OG0010002	Solyc01g112370.3.1, Solyc01g086860.3.1	AH000377-RA
OG0010003	Solyc09g065580.3.1	AH017812-RA
OG0010004	Solyc02g080790.3.1, Solyc02g080800.3.1	AH014246-RA
OG0010005	Solyc01g022750.3.1	AH018963-RA, AH015658-RA
OG0010007	Solyc03g119430.3.1	AH013800-RA
OG0010008	Solyc06g082450.1.1, Solyc01g090870.1.1	AH022332-RA, AH013402-RA
OG0010009	Solyc01g099260.3.1	AH012717-RA
OG0010010	Solyc12g043020.2.1, Solyc05g053540.3.1	AH008234-RA
OG0010012	Solyc06g084480.3.1, Solyc09g074420.3.1	AH022170-RA
OG0010014	Solyc09g031780.3.1	AH022437-RA
OG0010015	Solyc09g064850.3.1	AH012906-RA, AH012904-RA
OG0010016	Solyc01g067660.3.1	AH020165-RA
OG0010017	Solyc11g022620.1.1, Solyc09g015310.2.1, Solyc09g015270.2.1	AH015617-RA, AH015620-RA
OG0010018	Solyc10g081130.2.1, Solyc10g077030.2.1	AH021970-RA, AH019176-RA
OG0010019	Solyc04g005630.3.1	AH012607-RA
OG0010020	Solyc06g005380.3.1	AH020293-RA
OG0010021	Solyc12g014280.2.1, Solyc09g005270.3.1	AH011634-RA
OG0010022	Solyc01g110960.3.1	AH007523-RA, AH007524-RA, AH007525-RA
OG0010024	Solyc03g096300.3.1	AH016361-RA
OG0010025	Solyc09g065710.1.1	AH017800-RA
OG0010026	Solyc01g060430.1.1, Solyc09g059570.3.1	AH013103-RA, AH022196-RA
OG0010027	Solyc01g089860.2.1, Solyc01g089855.1.1	AH000227-RA
OG0010028	Solyc09g056430.3.1	AH013602-RA
OG0010029	Solyc01g098830.3.1	AH010446-RA, AH010445-RA
OG0010030	Solyc10g086210.2.1	AH012773-RA, AH022000-RA
OG0010031	Solyc07g007700.2.1	AH022559-RA
OG0010032	Solyc10g074680.2.1	AH000721-RA, AH002402-RA
OG0010033	Solyc12g044640.2.1, Solyc03g121210.3.1	AH006580-RA
OG0010034	Solyc09g098230.3.1	AH005981-RA
OG0010035	Solyc04g064750.2.1	AH016974-RA
OG0010036	Solyc06g005480.3.1	AH016465-RA, AH022954-RA
OG0010039	Solyc02g081810.3.1	AH002034-RA
OG0010040	Solyc01g094760.3.1	AH009673-RA
OG0010041	Solyc10g054860.2.1	AH002205-RA
OG0010042	Solyc10g085820.2.1	AH012699-RA, AH019201-RA
OG0010043	Solyc08g066070.1.1	AH013171-RA, AH022482-RA
OG0010044	Solyc08g075110.2.1	AH018280-RA
OG0010046	Solyc03g051960.3.1	AH006560-RA
OG0010048	Solyc01g096800.3.1	AH012966-RA, AH022106-RA
OG0010049	Solyc07g007660.1.1	AH013964-RA
OG0010050	Solyc08g023493.1.1, Solyc09g082780.3.1	AH019836-RA
OG0010051	Solyc10g080530.2.1	AH020315-RA, AH006866-RA
OG0010052	Solyc07g042510.3.1, Solyc01g080330.3.1	AH006912-RA
OG0010053	Solyc10g079480.1.1, Solyc04g040190.1.1	AH020464-RA, AH006710-RA
OG0010054	Solyc02g085540.1.1	AH006813-RA, AH020357-RA
OG0010055	Solyc06g054260.1.1	AH004015-RA, AH004014-RA
OG0010056	Solyc03g063240.3.1	AH020275-RA
OG0010058	Solyc09g075000.3.1	AH012931-RA
OG0010059	Solyc04g050760.3.1	AH007006-RA
OG0010060	Solyc09g090690.3.1	AH006990-RA
OG0010063	Solyc04g025910.1.1, Solyc05g056470.1.1	AH006225-RA
OG0010064	Solyc02g069800.1.1	AH019323-RA
OG0010065	Solyc05g051070.3.1	AH008599-RA
OG0010066	Solyc10g047370.2.1	AH002413-RA
OG0010067	Solyc04g081955.1.1	AH023705-RA
OG0010068	Solyc04g058200.3.1	AH008632-RA
OG0010069	Solyc10g074560.2.1	AH009473-RA
OG0010070	Solyc11g005950.2.1	AH010635-RA
OG0010071	Solyc01g112160.3.1	AH000738-RA
OG0010072	Solyc04g080670.3.1	AH009262-RA
OG0010073	Solyc03g113780.3.1	AH008809-RA
OG0010074	Solyc02g083270.4.1	AH017197-RA
OG0010075	Solyc04g079290.3.1	AH008618-RA
OG0010076	Solyc06g060340.3.1	AH008869-RA
OG0010077	Solyc12g056730.1.1, Solyc00g009090.3.1	AH023548-RA
OG0010078	Solyc11g008970.1.1	AH017002-RA
OG0010079	Solyc02g062680.3.1	AH020543-RA
OG0010080	Solyc11g010360.2.1, Solyc05g051440.1.1, Solyc04g014230.1.1	AH005858-RA, AH003974-RA
OG0010081	Solyc02g093020.3.1	AH006146-RA
OG0010082	Solyc12g094390.1.1, Solyc04g081960.1.1	AH023702-RA
OG0010083	Solyc01g087650.3.1	AH014253-RA
OG0010085	Solyc02g092810.3.1	AH006173-RA
OG0010086	Solyc03g044020.3.1	AH005702-RA
OG0010087	Solyc01g068290.3.1	AH010645-RA
OG0010088	Solyc02g082970.1.1	AH004945-RA
OG0010089	Solyc02g090870.1.1	AH003736-RA
OG0010090	Solyc04g072010.3.1	AH008548-RA
OG0010091	Solyc07g045510.3.1, Solyc07g045500.1.1	AH000137-RA
OG0010093	Solyc04g071630.3.1	AH008870-RA
OG0010095	Solyc05g050570.3.1	AH001534-RA
OG0010096	Solyc02g083500.3.1	AH003621-RA
OG0010097	Solyc04g074160.2.1	AH022310-RA, AH013433-RA
OG0010099	Solyc01g100100.3.1, Solyc01g100095.1.1	AH001614-RA
OG0010100	Solyc03g078080.3.1	AH016222-RA
OG0010101	Solyc04g011900.3.1	AH003940-RA, AH003936-RA
OG0010102	Solyc03g081220.1.1	AH019729-RA
OG0010103	Solyc11g012940.2.1	AH019935-RA
OG0010104	Solyc04g053120.3.1	AH003938-RA, AH003937-RA
OG0010105	Solyc11g005660.2.1	AH006207-RA
OG0010106	Solyc04g082250.3.1	AH023674-RA
OG0010107	Solyc11g010940.2.1	AH003631-RA
OG0010108	Solyc04g008800.3.1	AH012510-RA
OG0010109	Solyc11g013083.1.1	AH008987-RA
OG0010112	Solyc02g092700.3.1	AH003891-RA
OG0010113	Solyc04g081310.3.1	AH012433-RA
OG0010114	Solyc02g083470.3.1	AH000274-RA
OG0010115	Solyc04g077775.1.1	AH008385-RA
OG0010116	Solyc02g092240.3.1	AH003860-RA
OG0010117	Solyc11g013100.2.1	AH008985-RA
OG0010118	Solyc12g042117.1.1, Solyc03g060520.1.1, Solyc02g092350.3.1	AH003864-RA, AH003865-RA
OG0010119	Solyc02g090530.3.1	AH003705-RA
OG0010123	Solyc07g055210.3.1	AH000421-RA
OG0010124	Solyc07g064980.3.1	AH009871-RA
OG0010125	Solyc12g088430.1.1, Solyc04g078060.1.1	AH023658-RA
OG0010126	Solyc02g070580.1.1	AH014722-RA, AH021306-RA
OG0010127	Solyc01g068400.3.1	AH012457-RA
OG0010129	Solyc02g089560.3.1	AH016616-RA
OG0010130	Solyc04g014670.3.1	AH021469-RA
OG0010131	Solyc04g014730.3.1, Solyc11g012160.2.1	AH014917-RA
OG0010132	Solyc08g013930.3.1	AH011662-RA
OG0010133	Solyc05g024430.3.1	AH000139-RA
OG0010134	Solyc02g081860.2.1	AH022052-RA
OG0010135	Solyc02g071160.3.1	AH014745-RA
OG0010136	Solyc03g112750.3.1	AH009748-RA
OG0010137	Solyc02g077750.3.1	AH021675-RA
OG0010138	Solyc07g049470.3.1	AH020960-RA
OG0010139	Solyc07g055180.3.1	AH001422-RA
OG0010140	Solyc02g078360.3.1	AH021646-RA
OG0010142	Solyc07g006970.3.1	AH020637-RA
OG0010145	Solyc07g055940.2.1	AH000379-RA
OG0010146	Solyc07g063960.3.1	AH023425-RA
OG0010147	Solyc07g055260.3.1	AH001428-RA
OG0010148	Solyc03g110905.1.1	AH013530-RA
OG0010149	Solyc11g033280.2.1	AH014352-RA, AH021161-RA
OG0010150	Solyc03g116570.3.1	AH001984-RA
OG0010151	Solyc11g069860.2.1	AH014714-RA
OG0010153	Solyc02g082080.1.1	AH014337-RA
OG0010155	Solyc12g049410.2.1	AH013394-RA
OG0010156	Solyc03g116720.2.1	AH001967-RA
OG0010159	Solyc01g095480.3.1	AH009604-RA
OG0010160	Solyc07g006060.3.1	AH014265-RA
OG0010161	Solyc05g032880.3.1	AH020121-RA
OG0010162	Solyc08g062950.3.1	AH016071-RA
OG0010164	Solyc08g068200.3.1	AH023292-RA, AH023293-RA
OG0010166	Solyc08g062860.3.1	AH013336-RA
OG0010167	Solyc07g005240.3.1	AH020630-RA
OG0010169	Solyc01g091080.3.1	AH009142-RA
OG0010170	Solyc12g008450.2.1	AH020911-RA
OG0010171	Solyc03g007340.3.1	AH019644-RA
OG0010172	Solyc07g032250.3.1	AH014256-RA
OG0010174	Solyc07g005510.3.1	AH020616-RA
OG0010175	Solyc08g082690.2.1, Solyc08g082685.1.1	AH011336-RA, AH018129-RA
OG0010177	Solyc08g081230.1.1, Solyc08g008070.1.1	AH009662-RA
OG0010178	Solyc12g008320.2.1, Solyc05g018230.3.1	AH020893-RA
OG0010179	Solyc03g006900.2.1	AH019494-RA
OG0010180	Solyc03g119940.3.1	AH002045-RA
OG0010181	Solyc01g081490.3.1	AH009276-RA
OG0010182	Solyc07g014730.3.1	AH020946-RA
OG0010183	Solyc06g035960.3.1, Solyc03g025720.3.1	AH012404-RA
OG0010184	Solyc07g006920.3.1	AH021168-RA
OG0010185	Solyc10g005280.1.1	AH021508-RA
OG0010186	Solyc06g073150.3.1, Solyc11g017300.2.1	AH017028-RA
OG0010187	Solyc08g080140.3.1	AH018704-RA
OG0010188	Solyc03g117490.3.1	AH001941-RA
OG0010189	Solyc08g066570.2.1	AH023356-RA
OG0010190	Solyc08g080510.3.1	AH020226-RA
OG0010191	Solyc12g049390.2.1, Solyc03g122250.3.1	AH022344-RA
OG0010193	Solyc12g008460.2.1	AH020910-RA
OG0010194	Solyc07g042150.3.1	AH021087-RA
OG0010195	Solyc06g073490.1.1	AH008373-RA
OG0010196	Solyc05g006580.3.1	AH004702-RA
OG0010197	Solyc07g041020.3.1	AH014548-RA
OG0010198	Solyc05g050960.3.1	AH015596-RA
OG0010199	Solyc08g081850.1.1, Solyc01g095440.2.1	AH009608-RA
OG0010200	Solyc08g061140.3.1	AH019253-RA
OG0010201	Solyc03g124040.3.1	AH008563-RA
OG0010202	Solyc06g060790.1.1	AH018282-RA
OG0010203	Solyc02g085930.3.1	AH021992-RA
OG0010204	Solyc02g065000.1.1	AH003735-RA
OG0010205	Solyc08g006720.3.1	AH019000-RA
OG0010206	Solyc05g047390.1.1, Solyc07g015970.2.1	AH013501-RA
OG0010207	Solyc12g007100.2.1	AH020860-RA
OG0010208	Solyc01g095110.3.1	AH022444-RA
OG0010210	Solyc10g009260.1.1	AH009502-RA
OG0010211	Solyc08g061630.3.1	AH017092-RA
OG0010213	Solyc09g065600.3.1, Solyc09g065595.1.1	AH020803-RA
OG0010214	Solyc03g117740.3.1	AH014609-RA
OG0010215	Solyc11g005900.2.1	AH020147-RA
OG0010216	Solyc08g082970.3.1, Solyc08g008510.3.1	AH018160-RA
OG0010217	Solyc06g068670.3.1, Solyc03g117890.3.1	AH021211-RA
OG0010219	Solyc08g080040.3.1	AH021809-RA
OG0010220	Solyc03g117350.1.1	AH001927-RA
OG0010221	Solyc05g018150.3.1	AH020902-RA
OG0010222	Solyc03g025430.1.1	AH012429-RA
OG0010223	Solyc02g093300.3.1	AH006116-RA
OG0010224	Solyc07g042570.3.1	AH014302-RA
OG0010225	Solyc05g013400.3.1	AH021047-RA
OG0010226	Solyc08g067050.3.1	AH020787-RA
OG0010227	Solyc01g088670.2.1	AH012844-RA, AH012843-RA
OG0010228	Solyc01g095010.3.1	AH009644-RA
OG0010229	Solyc07g056040.3.1, Solyc10g007660.3.1	AH010629-RA
OG0010230	Solyc06g068500.3.1, Solyc03g117590.3.1	AH001526-RA
OG0010231	Solyc08g067430.3.1	AH015362-RA
OG0010232	Solyc12g006710.2.1	AH020814-RA
OG0010233	Solyc08g008170.3.1	AH018034-RA
OG0010234	Solyc03g116560.1.1	AH001986-RA
OG0010235	Solyc08g082580.3.1	AH018115-RA
OG0010236	Solyc12g009390.2.1	AH016994-RA
OG0010237	Solyc11g012100.2.1	AH008313-RA
OG0010238	Solyc08g029160.1.1, Solyc04g049790.3.1	AH018995-RA
OG0010239	Solyc10g009340.1.1	AH009524-RA
OG0010240	Solyc12g044300.2.1	AH002111-RA
OG0010241	Solyc01g090270.3.1	AH009369-RA
OG0010242	Solyc08g082070.3.1	AH018065-RA
OG0010243	Solyc03g025310.3.1	AH019591-RA
OG0010245	Solyc08g007470.2.1, Solyc03g007510.3.1	AH019631-RA
OG0010246	Solyc06g017970.3.1	AH023232-RA
OG0010247	Solyc08g006780.3.1, Solyc12g009980.2.1	AH015339-RA
OG0010248	Solyc04g082760.3.1	AH023764-RA
OG0010249	Solyc03g122240.3.1, Solyc06g062990.2.1	AH022343-RA
OG0010250	Solyc06g036350.3.1, Solyc03g007660.3.1	AH017226-RA
OG0010251	Solyc03g006850.3.1, Solyc11g072300.2.1	AH012330-RA
OG0010253	Solyc11g066690.2.1	AH001456-RA
OG0010254	Solyc02g081080.3.1	AH021479-RA
OG0010256	Solyc07g053310.3.1	AH000275-RA
OG0010257	Solyc07g066370.3.1	AH010251-RA
OG0010259	Solyc11g066350.2.1	AH000216-RA
OG0010260	Solyc02g022830.3.1	AH014681-RA
OG0010261	Solyc10g081360.2.1	AH003018-RA
OG0010262	Solyc09g009170.3.1	AH012648-RA
OG0010263	Solyc02g072520.3.1	AH023464-RA, AH014813-RA
OG0010264	Solyc04g056746.1.1, Solyc02g088140.2.1	AH011030-RA, AH011032-RA
OG0010265	Solyc09g066290.3.1	AH017732-RA
OG0010266	Solyc03g081200.2.1, Solyc03g097340.1.1, Solyc03g081210.1.1	AH011879-RA
OG0010267	Solyc12g010900.1.1, Solyc07g055120.3.1	AH000251-RA, AH000250-RA
OG0010268	Solyc02g071280.3.1	AH014755-RA
OG0010269	Solyc09g013100.3.1, Solyc09g015475.1.1, Solyc09g015470.3.1	AH018834-RA
OG0010270	Solyc11g072740.1.1	AH007284-RA, AH022712-RA
OG0010271	Solyc07g056220.3.1	AH008559-RA
OG0010272	Solyc12g010810.1.1	AH000171-RA
OG0010273	Solyc09g007800.3.1	AH021995-RA
OG0010275	Solyc09g008450.3.1, Solyc10g083870.2.1	AH012725-RA
OG0010276	Solyc06g076660.3.1	AH013766-RA, AH001179-RA, AH016401-RA
OG0010277	Solyc04g015760.3.1	AH006763-RA
OG0010278	Solyc12g005070.2.1	AH008211-RA
OG0010280	Solyc09g005250.3.1	AH018788-RA
OG0010281	Solyc06g076260.3.1	AH013697-RA
OG0010282	Solyc11g006860.2.1	AH007549-RA
OG0010283	Solyc01g056720.3.1	AH020513-RA, AH006581-RA
OG0010284	Solyc01g103190.3.1	AH023121-RA
OG0010285	Solyc01g080310.3.1	AH006667-RA
OG0010286	Solyc07g064850.3.1	AH009892-RA
OG0010287	Solyc01g009470.2.1, Solyc11g067250.2.1	AH013261-RA
OG0010288	Solyc11g007590.2.1	AH007928-RA
OG0010289	Solyc05g055430.3.1	AH010266-RA
OG0010291	Solyc01g005520.3.1	AH010599-RA, AH010600-RA
OG0010292	Solyc07g061900.3.1	AH013780-RA
OG0010293	Solyc05g007230.3.1	AH016750-RA
OG0010294	Solyc11g066560.3.1, Solyc06g074740.3.1	AH000410-RA
OG0010295	Solyc12g005060.1.1	AH014995-RA
OG0010296	Solyc07g009160.3.1, Solyc10g005780.3.1	AH016395-RA, AH023041-RA
OG0010297	Solyc11g069390.1.1, Solyc06g016790.2.1	AH001254-RA
OG0010298	Solyc09g015180.3.1	AH018846-RA
OG0010299	Solyc03g083430.3.1	AH012005-RA
OG0010301	Solyc01g014495.1.1, Solyc01g014490.3.1	AH007682-RA
OG0010302	Solyc12g017420.2.1	AH015904-RA
OG0010303	Solyc11g071890.2.1	AH022616-RA
OG0010304	Solyc10g007400.3.1	AH007992-RA
OG0010305	Solyc09g098150.3.1	AH021113-RA, AH014577-RA
OG0010306	Solyc06g050250.1.1	AH023183-RA, AH016301-RA
OG0010307	Solyc01g103440.3.1	AH013745-RA
OG0010308	Solyc06g076000.1.1	AH013658-RA
OG0010309	Solyc12g015710.2.1	AH008299-RA
OG0010310	Solyc09g013110.3.1	AH017265-RA, AH017264-RA
OG0010311	Solyc02g077990.3.1	AH015239-RA, AH021660-RA
OG0010312	Solyc04g080000.1.1	AH001851-RA
OG0010313	Solyc10g079620.2.1	AH006699-RA, AH020452-RA
OG0010314	Solyc06g051010.1.1, Solyc06g051020.2.1, Solyc03g095850.1.1	AH023130-RA, AH016340-RA
OG0010315	Solyc10g086510.2.1	AH003031-RA
OG0010316	Solyc04g007250.1.1, Solyc05g009420.1.1	AH004170-RA, AH005382-RA
OG0010317	Solyc11g065730.2.1	AH010995-RA
OG0010318	Solyc01g104470.3.1	AH006499-RA
OG0010319	Solyc03g020020.3.1	AH018923-RA
OG0010320	Solyc07g049450.3.1	AH020956-RA
OG0010321	Solyc11g006720.2.1, Solyc05g055240.3.1	AH007777-RA
OG0010322	Solyc02g090010.2.1	AH020288-RA
OG0010323	Solyc11g012610.2.1, Solyc04g014850.3.1	AH014880-RA, AH021437-RA
OG0010324	Solyc02g020980.3.1	AH006622-RA
OG0010325	Solyc11g069290.2.1	AH000163-RA
OG0010326	Solyc06g082160.3.1	AH011383-RA, AH011651-RA
OG0010327	Solyc10g079900.2.1, Solyc04g016290.3.1	AH006747-RA
OG0010328	Solyc11g072090.2.1	AH011076-RA
OG0010329	Solyc02g032920.3.1	AH015895-RA
OG0010330	Solyc02g021640.3.1	AH021271-RA, AH014686-RA
OG0010331	Solyc07g054680.3.1	AH019118-RA
OG0010332	Solyc11g067060.3.1	AH022582-RA, AH022393-RA
OG0010333	Solyc07g049310.3.1	AH014413-RA
OG0010334	Solyc03g063290.3.1, Solyc01g006480.3.1	AH010906-RA
OG0010335	Solyc02g087600.3.1	AH006764-RA
OG0010336	Solyc01g067530.3.1	AH007019-RA
OG0010337	Solyc09g007230.3.1	AH012798-RA
OG0010338	Solyc04g009540.1.1	AH015933-RA
OG0010339	Solyc10g081750.1.1	AH018890-RA
OG0010340	Solyc07g049690.3.1	AH014657-RA
OG0010341	Solyc01g096550.3.1	AH015640-RA
OG0010342	Solyc09g014320.3.1	AH011759-RA
OG0010343	Solyc06g082380.3.1	AH013212-RA
OG0010344	Solyc03g117570.3.1	AH017177-RA
OG0010345	Solyc06g008730.3.1	AH021667-RA
OG0010346	Solyc11g061720.1.1	AH007690-RA, AH010932-RA
OG0010347	Solyc06g005990.3.1	AH013767-RA
OG0010348	Solyc02g094250.3.1, Solyc04g009570.3.1	AH001016-RA, AH003315-RA
OG0010349	Solyc11g062250.1.1	AH010946-RA
OG0010350	Solyc03g031700.3.1, Solyc02g080440.3.1	AH012292-RA
OG0010351	Solyc01g110385.1.1	AH000592-RA, AH001740-RA
OG0010353	Solyc06g084440.3.1	AH003008-RA
OG0010354	Solyc09g066470.3.1	AH019144-RA
OG0010355	Solyc11g010690.2.1	AH003643-RA
OG0010356	Solyc01g103680.3.1	AH005287-RA
OG0010357	Solyc04g008520.3.1	AH011743-RA, AH020008-RA
OG0010358	Solyc01g099270.2.1	AH010461-RA
OG0010359	Solyc11g005390.2.1	AH003541-RA
OG0010360	Solyc10g005530.3.1	AH020879-RA
OG0010361	Solyc05g056350.3.1	AH010347-RA
OG0010362	Solyc04g080100.3.1, Solyc07g025370.3.1	AH008441-RA
OG0010363	Solyc06g005860.2.1	AH012764-RA
OG0010364	Solyc01g103100.3.1	AH021192-RA, AH014623-RA
OG0010365	Solyc08g082210.3.1, Solyc08g008305.1.1	AH018083-RA, AH011316-RA
OG0010366	Solyc09g090280.2.1	AH019920-RA
OG0010367	Solyc03g097300.3.1	AH007238-RA
OG0010368	Solyc05g051640.3.1, Solyc03g093330.3.1	AH012169-RA
OG0010370	Solyc03g118800.3.1	AH005600-RA
OG0010371	Solyc01g009715.1.1, Solyc01g009720.2.1	AH005136-RA
OG0010372	Solyc05g053380.3.1, Solyc01g058540.3.1, Solyc01g079260.3.1	AH019796-RA
OG0010373	Solyc09g075200.3.1	AH022094-RA, AH012953-RA
OG0010374	Solyc11g005370.2.1	AH008512-RA
OG0010375	Solyc09g059950.3.1	AH013097-RA
OG0010376	Solyc04g056410.3.1	AH001908-RA
OG0010377	Solyc09g098040.3.1	AH006523-RA
OG0010378	Solyc06g054490.3.1, Solyc01g080530.3.1	AH020157-RA, AH007035-RA
OG0010379	Solyc04g009140.3.1, Solyc09g075370.3.1	AH003274-RA
OG0010380	Solyc04g082470.2.1	AH005243-RA
OG0010381	Solyc04g058090.3.1	AH000006-RA
OG0010383	Solyc10g080970.2.1	AH018401-RA
OG0010385	Solyc02g092310.3.1	AH005713-RA
OG0010386	Solyc06g007480.3.1	AH002294-RA
OG0010387	Solyc00g006830.3.1	AH005113-RA
OG0010388	Solyc04g040180.3.1, Solyc06g054360.1.1	AH012276-RA, AH020462-RA
OG0010390	Solyc01g095540.3.1	AH018054-RA
OG0010391	Solyc09g055940.3.1	AH017895-RA
OG0010392	Solyc06g009120.3.1	AH022110-RA
OG0010393	Solyc03g112320.3.1	AH002514-RA
OG0010394	Solyc04g057870.3.1	AH015874-RA
OG0010395	Solyc01g099690.3.1	AH007604-RA
OG0010396	Solyc09g091980.3.1	AH004267-RA
OG0010397	Solyc04g080630.3.1	AH009266-RA
OG0010398	Solyc07g066460.3.1	AH023421-RA
OG0010399	Solyc03g083260.1.1, Solyc02g094490.3.1	AH004278-RA
OG0010400	Solyc11g066300.2.1	AH004436-RA
OG0010401	Solyc02g085640.3.1, Solyc02g085655.1.1, Solyc02g062970.3.1	AH005585-RA
OG0010403	Solyc10g011980.3.1	AH009639-RA
OG0010404	Solyc04g079420.3.1	AH009429-RA
OG0010405	Solyc03g111390.3.1, Solyc03g111385.1.1	AH013532-RA
OG0010406	Solyc01g099700.3.1	AH010502-RA
OG0010407	Solyc05g055780.3.1	AH021135-RA
OG0010408	Solyc09g090340.2.1	AH019928-RA
OG0010409	Solyc10g051200.2.1, Solyc01g109330.3.1	AH001846-RA
OG0010410	Solyc08g075930.3.1	AH011570-RA
OG0010411	Solyc11g072410.2.1, Solyc06g075310.3.1	AH019662-RA
OG0010412	Solyc01g059830.3.1	AH019840-RA
OG0010413	Solyc11g013850.2.1	AH009028-RA
OG0010414	Solyc06g053460.2.1	AH007969-RA
OG0010415	Solyc12g099420.2.1	AH006989-RA
OG0010416	Solyc01g096030.3.1	AH009549-RA
OG0010417	Solyc02g068450.3.1	AH017780-RA, AH002607-RA
OG0010418	Solyc10g080115.1.1, Solyc10g080110.2.1	AH020227-RA
OG0010419	Solyc02g084810.3.1	AH005789-RA
OG0010420	Solyc07g063660.1.1	AH001038-RA
OG0010421	Solyc12g095780.2.1	AH011824-RA
OG0010422	Solyc04g081850.3.1	AH010260-RA
OG0010423	Solyc12g099240.2.1	AH019843-RA
OG0010424	Solyc01g068540.3.1	AH004323-RA
OG0010425	Solyc11g019920.2.1, Solyc06g065320.3.1	AH009411-RA
OG0010426	Solyc11g013520.2.1	AH009017-RA
OG0010427	Solyc01g080720.3.1, Solyc01g080610.3.1	AH023740-RA
OG0010428	Solyc10g005040.3.1	AH009482-RA
OG0010429	Solyc11g013880.1.1	AH009029-RA, AH023626-RA
OG0010431	Solyc05g014652.1.1	AH004917-RA
OG0010433	Solyc03g119880.3.1	AH001270-RA
OG0010434	Solyc10g012410.3.1	AH009671-RA
OG0010435	Solyc02g094445.1.1, Solyc02g094450.2.1	AH004284-RA
OG0010436	Solyc09g090710.3.1	AH006999-RA
OG0010437	Solyc01g099130.3.1	AH007559-RA
