Orthogroup	A_hypochondriacus.proteins	L_sativa.proteins
OG0010095	AH001534-RA	Lsat_1_v5_gn_8_13101.1
OG0010096	AH003621-RA	Lsat_1_v5_gn_2_20941.1, Lsat_1_v5_gn_2_20941.2, Lsat_1_v5_gn_3_71540.3, Lsat_1_v5_gn_3_71540.1
OG0010097	AH022310-RA, AH013433-RA	Lsat_1_v5_gn_2_69960.1, Lsat_1_v5_gn_2_69960.2, Lsat_1_v5_gn_2_69960.3
OG0010099	AH001614-RA	Lsat_1_v5_gn_2_104781.2, Lsat_1_v5_gn_2_104781.1, Lsat_1_v5_gn_2_18560.1
OG0010100	AH016222-RA	Lsat_1_v5_gn_4_140001.1
OG0010101	AH003940-RA, AH003936-RA, AH003939-RA	Lsat_1_v5_gn_1_15020.1
OG0010102	AH019729-RA	Lsat_1_v5_gn_9_49980.1, Lsat_1_v5_gn_2_135020.1
OG0010103	AH019935-RA	Lsat_1_v5_gn_6_112740.1
OG0010104	AH003938-RA, AH003937-RA	Lsat_1_v5_gn_2_67361.1, Lsat_1_v5_gn_2_67361.3
OG0010106	AH023674-RA	Lsat_1_v5_gn_2_6021.1
OG0010107	AH003631-RA	Lsat_1_v5_gn_3_63100.1, Lsat_1_v5_gn_2_69680.1, Lsat_1_v5_gn_4_76221.1
OG0010108	AH012510-RA	Lsat_1_v5_gn_9_115780.1
OG0010110	AH008755-RA	Lsat_1_v5_gn_9_41341.3, Lsat_1_v5_gn_9_41341.1, Lsat_1_v5_gn_9_41341.2
OG0010112	AH003891-RA	Lsat_1_v5_gn_3_88240.3, Lsat_1_v5_gn_3_88240.1, Lsat_1_v5_gn_3_88240.2
OG0010113	AH012433-RA	Lsat_1_v5_gn_2_8601.3, Lsat_1_v5_gn_2_8601.1
OG0010114	AH000274-RA	Lsat_1_v5_gn_4_144101.1
OG0010115	AH008385-RA	Lsat_1_v5_gn_1_1301.1, Lsat_1_v5_gn_1_1301.2
OG0010116	AH003860-RA	Lsat_1_v5_gn_2_82620.1, Lsat_1_v5_gn_2_82620.2, Lsat_1_v5_gn_3_86700.2, Lsat_1_v5_gn_3_86700.1
OG0010117	AH008985-RA	Lsat_1_v5_gn_4_25061.2, Lsat_1_v5_gn_4_25061.1, Lsat_1_v5_gn_4_25061.3
OG0010118	AH003864-RA, AH003865-RA	Lsat_1_v5_gn_4_161620.1
OG0010119	AH003705-RA	Lsat_1_v5_gn_4_167040.1
OG0010120	AH001373-RA	Lsat_1_v5_gn_8_137160.3, Lsat_1_v5_gn_8_137160.1
OG0010123	AH000421-RA	Lsat_1_v5_gn_4_26660.1
OG0010124	AH009871-RA	Lsat_1_v5_gn_9_90720.1, Lsat_1_v5_gn_9_90720.3
OG0010125	AH023658-RA	Lsat_1_v5_gn_0_33081.1, Lsat_1_v5_gn_8_29900.1
OG0010126	AH014722-RA, AH021306-RA	Lsat_1_v5_gn_7_30060.1
OG0010127	AH012457-RA	Lsat_1_v5_gn_3_31540.1
OG0010129	AH016616-RA	Lsat_1_v5_gn_4_175101.1
OG0010130	AH021469-RA	Lsat_1_v5_gn_0_39500.2, Lsat_1_v5_gn_0_39500.1, Lsat_1_v5_gn_7_14601.1, Lsat_1_v5_gn_7_14601.3
OG0010131	AH014917-RA	Lsat_1_v5_gn_8_64401.1, Lsat_1_v5_gn_8_64401.2
OG0010132	AH011662-RA	Lsat_1_v5_gn_3_27101.1, Lsat_1_v5_gn_3_27121.1, Lsat_1_v5_gn_0_45820.1, Lsat_1_v5_gn_3_111280.1, Lsat_1_v5_gn_3_111280.3
OG0010133	AH000139-RA	Lsat_1_v5_gn_7_96821.1
OG0010134	AH022052-RA	Lsat_1_v5_gn_5_153261.1
OG0010135	AH014745-RA	Lsat_1_v5_gn_7_35561.1
OG0010136	AH009748-RA	Lsat_1_v5_gn_0_15220.1, Lsat_1_v5_gn_0_15220.2
OG0010137	AH021675-RA	Lsat_1_v5_gn_1_121641.3
OG0010138	AH020960-RA	Lsat_1_v5_gn_7_94941.3, Lsat_1_v5_gn_7_94941.1
OG0010139	AH001422-RA	Lsat_1_v5_gn_3_16321.2, Lsat_1_v5_gn_3_16321.1
OG0010140	AH021646-RA	Lsat_1_v5_gn_7_21060.1
OG0010142	AH020637-RA	Lsat_1_v5_gn_7_47441.1
OG0010145	AH000379-RA	Lsat_1_v5_gn_8_32101.1, Lsat_1_v5_gn_8_32101.2
OG0010146	AH023425-RA	Lsat_1_v5_gn_9_94980.1
OG0010147	AH001428-RA	Lsat_1_v5_gn_4_65101.1
OG0010148	AH013530-RA	Lsat_1_v5_gn_1_8721.1
OG0010149	AH014352-RA, AH021161-RA	Lsat_1_v5_gn_3_35740.1, Lsat_1_v5_gn_3_35740.2
OG0010150	AH001984-RA	Lsat_1_v5_gn_5_131321.1
OG0010151	AH014714-RA	Lsat_1_v5_gn_8_68860.1, Lsat_1_v5_gn_8_68860.2
OG0010153	AH014337-RA	Lsat_1_v5_gn_8_70441.1, Lsat_1_v5_gn_7_58180.1, Lsat_1_v5_gn_7_58180.2
OG0010155	AH013394-RA	Lsat_1_v5_gn_4_91381.4, Lsat_1_v5_gn_4_91381.2
OG0010156	AH001967-RA	Lsat_1_v5_gn_1_33260.3, Lsat_1_v5_gn_1_33260.1
OG0010157	AH014437-RA	Lsat_1_v5_gn_7_9201.1, Lsat_1_v5_gn_7_8840.1, Lsat_1_v5_gn_7_9201.3
OG0010159	AH009604-RA	Lsat_1_v5_gn_4_33601.1
OG0010160	AH014265-RA	Lsat_1_v5_gn_7_50901.1, Lsat_1_v5_gn_7_50901.2
OG0010161	AH020121-RA	Lsat_1_v5_gn_7_91160.1, Lsat_1_v5_gn_7_91160.3
OG0010162	AH016071-RA	Lsat_1_v5_gn_6_14580.1
OG0010164	AH023293-RA	Lsat_1_v5_gn_6_11100.1
OG0010166	AH013336-RA	Lsat_1_v5_gn_5_48300.1
OG0010167	AH020630-RA	Lsat_1_v5_gn_0_44621.1, Lsat_1_v5_gn_5_90740.1
OG0010169	AH009142-RA	Lsat_1_v5_gn_7_9321.2, Lsat_1_v5_gn_7_9321.1
OG0010170	AH020911-RA	Lsat_1_v5_gn_7_39761.3, Lsat_1_v5_gn_7_39761.1
OG0010171	AH019644-RA	Lsat_1_v5_gn_2_134181.1, Lsat_1_v5_gn_2_134181.3, Lsat_1_v5_gn_9_57980.2, Lsat_1_v5_gn_9_57980.1
OG0010172	AH014256-RA	Lsat_1_v5_gn_5_145840.1
OG0010173	AH020849-RA, AH014197-RA	Lsat_1_v5_gn_9_105781.1, Lsat_1_v5_gn_7_40641.1, Lsat_1_v5_gn_5_103381.1
OG0010174	AH020616-RA	Lsat_1_v5_gn_5_91701.1, Lsat_1_v5_gn_5_91701.3
OG0010175	AH011336-RA, AH018129-RA	Lsat_1_v5_gn_6_9541.1
OG0010177	AH009662-RA	Lsat_1_v5_gn_6_86460.1, Lsat_1_v5_gn_3_6400.1, Lsat_1_v5_gn_6_5540.1
OG0010178	AH020893-RA	Lsat_1_v5_gn_5_144181.1, Lsat_1_v5_gn_8_97321.1
OG0010179	AH019494-RA	Lsat_1_v5_gn_9_53261.3, Lsat_1_v5_gn_9_53261.1, Lsat_1_v5_gn_9_53261.2
OG0010180	AH002045-RA	Lsat_1_v5_gn_1_33801.1, Lsat_1_v5_gn_1_33801.2
OG0010181	AH009276-RA	Lsat_1_v5_gn_7_33460.3, Lsat_1_v5_gn_7_33460.1
OG0010182	AH020946-RA	Lsat_1_v5_gn_7_57841.1
OG0010183	AH012404-RA	Lsat_1_v5_gn_9_55680.2, Lsat_1_v5_gn_9_55680.1
OG0010184	AH021168-RA	Lsat_1_v5_gn_5_85820.1, Lsat_1_v5_gn_5_85820.3
OG0010185	AH021508-RA	Lsat_1_v5_gn_4_60040.1
OG0010186	AH017028-RA	Lsat_1_v5_gn_3_9100.2, Lsat_1_v5_gn_3_9100.1
OG0010187	AH018704-RA	Lsat_1_v5_gn_6_12820.1, Lsat_1_v5_gn_6_87881.1
OG0010188	AH001941-RA	Lsat_1_v5_gn_1_31380.1, Lsat_1_v5_gn_1_31380.3, Lsat_1_v5_gn_5_8920.1
OG0010189	AH023356-RA	Lsat_1_v5_gn_5_33641.1, Lsat_1_v5_gn_5_33641.3, Lsat_1_v5_gn_6_22621.1, Lsat_1_v5_gn_6_22621.2
OG0010190	AH020226-RA	Lsat_1_v5_gn_3_5320.1, Lsat_1_v5_gn_3_5320.3
OG0010191	AH022344-RA	Lsat_1_v5_gn_1_37881.1
OG0010193	AH020910-RA	Lsat_1_v5_gn_7_39781.1
OG0010194	AH021087-RA	Lsat_1_v5_gn_5_139800.1, Lsat_1_v5_gn_5_139800.2
OG0010195	AH008373-RA	Lsat_1_v5_gn_6_55020.1, Lsat_1_v5_gn_6_55020.2
OG0010196	AH004702-RA	Lsat_1_v5_gn_8_161781.1, Lsat_1_v5_gn_8_161781.3
OG0010197	AH014548-RA	Lsat_1_v5_gn_5_143521.2, Lsat_1_v5_gn_5_143521.1
OG0010198	AH015596-RA	Lsat_1_v5_gn_7_9580.3, Lsat_1_v5_gn_7_9580.1
OG0010200	AH019253-RA	Lsat_1_v5_gn_5_30481.1, Lsat_1_v5_gn_5_30481.3
OG0010201	AH008563-RA	Lsat_1_v5_gn_4_106240.1
OG0010202	AH018282-RA	Lsat_1_v5_gn_6_92521.1
OG0010203	AH021992-RA	Lsat_1_v5_gn_9_87100.1, Lsat_1_v5_gn_9_87100.3
OG0010204	AH003735-RA	Lsat_1_v5_gn_2_84220.1
OG0010205	AH019000-RA	Lsat_1_v5_gn_5_62040.1
OG0010206	AH013501-RA	Lsat_1_v5_gn_7_59641.1, Lsat_1_v5_gn_7_59621.1, Lsat_1_v5_gn_7_59661.1
OG0010207	AH020860-RA	Lsat_1_v5_gn_7_40780.1
OG0010208	AH022444-RA	Lsat_1_v5_gn_7_2720.1
OG0010210	AH009502-RA	Lsat_1_v5_gn_4_31821.3, Lsat_1_v5_gn_4_31821.1
OG0010211	AH017092-RA	Lsat_1_v5_gn_7_58320.3, Lsat_1_v5_gn_7_58320.1, Lsat_1_v5_gn_5_79481.1
OG0010212	AH021359-RA	Lsat_1_v5_gn_6_66261.1, Lsat_1_v5_gn_6_66261.2
OG0010213	AH020803-RA	Lsat_1_v5_gn_5_98400.1, Lsat_1_v5_gn_5_98400.3
OG0010214	AH014609-RA	Lsat_1_v5_gn_4_84921.1
OG0010215	AH020147-RA	Lsat_1_v5_gn_8_20540.3, Lsat_1_v5_gn_8_20540.1
OG0010216	AH018160-RA	Lsat_1_v5_gn_6_82361.1, Lsat_1_v5_gn_6_9060.1, Lsat_1_v5_gn_6_9060.3
OG0010217	AH021211-RA	Lsat_1_v5_gn_5_9221.1, Lsat_1_v5_gn_4_85200.1
OG0010219	AH021809-RA	Lsat_1_v5_gn_9_97280.1
OG0010220	AH001927-RA	Lsat_1_v5_gn_1_31221.1, Lsat_1_v5_gn_4_88200.1, Lsat_1_v5_gn_8_94000.1
OG0010221	AH020902-RA	Lsat_1_v5_gn_5_143861.1, Lsat_1_v5_gn_5_143861.2
OG0010222	AH012429-RA	Lsat_1_v5_gn_9_55180.1, Lsat_1_v5_gn_8_7301.1
OG0010223	AH006116-RA	Lsat_1_v5_gn_2_84960.1, Lsat_1_v5_gn_2_84960.3
OG0010224	AH014302-RA	Lsat_1_v5_gn_5_138841.1
OG0010225	AH021047-RA	Lsat_1_v5_gn_7_55601.1
OG0010226	AH020787-RA	Lsat_1_v5_gn_8_57261.1, Lsat_1_v5_gn_8_57261.2, Lsat_1_v5_gn_5_97961.1
OG0010227	AH012844-RA, AH012843-RA	Lsat_1_v5_gn_4_38381.1
OG0010228	AH009644-RA	Lsat_1_v5_gn_3_138360.3, Lsat_1_v5_gn_3_138360.1, Lsat_1_v5_gn_3_138360.2
OG0010229	AH010629-RA	Lsat_1_v5_gn_7_99420.1
OG0010230	AH001526-RA	Lsat_1_v5_gn_1_30900.1, Lsat_1_v5_gn_4_86800.1, Lsat_1_v5_gn_4_86780.1
OG0010231	AH015362-RA	Lsat_1_v5_gn_6_21681.1
OG0010232	AH020814-RA	Lsat_1_v5_gn_5_99240.2, Lsat_1_v5_gn_5_99240.1
OG0010233	AH018034-RA	Lsat_1_v5_gn_6_9921.2, Lsat_1_v5_gn_6_9921.1, Lsat_1_v5_gn_6_9921.3
OG0010234	AH001986-RA	Lsat_1_v5_gn_4_106101.1
OG0010235	AH018115-RA	Lsat_1_v5_gn_3_11280.1
OG0010236	AH016994-RA	Lsat_1_v5_gn_5_80700.3, Lsat_1_v5_gn_5_80700.1, Lsat_1_v5_gn_5_80700.2
OG0010237	AH008313-RA	Lsat_1_v5_gn_5_121860.1
OG0010238	AH018995-RA	Lsat_1_v5_gn_3_22660.1
OG0010239	AH009524-RA	Lsat_1_v5_gn_4_30761.1
OG0010240	AH002111-RA	Lsat_1_v5_gn_4_103101.1, Lsat_1_v5_gn_4_103101.3
OG0010241	AH009369-RA	Lsat_1_v5_gn_4_39741.1
OG0010242	AH018065-RA	Lsat_1_v5_gn_3_10260.3, Lsat_1_v5_gn_3_10260.1
OG0010243	AH019591-RA	Lsat_1_v5_gn_8_6901.1, Lsat_1_v5_gn_8_6901.2, Lsat_1_v5_gn_9_57581.1
OG0010246	AH023232-RA	Lsat_1_v5_gn_5_30121.1
OG0010247	AH015339-RA	Lsat_1_v5_gn_7_50001.1
OG0010248	AH023764-RA	Lsat_1_v5_gn_9_48340.1
OG0010249	AH022343-RA	Lsat_1_v5_gn_4_92560.1, Lsat_1_v5_gn_1_37860.1, Lsat_1_v5_gn_5_135860.1
OG0010250	AH017226-RA	Lsat_1_v5_gn_9_56860.1, Lsat_1_v5_gn_9_56860.2, Lsat_1_v5_gn_2_131500.1
OG0010251	AH012330-RA	Lsat_1_v5_gn_2_130120.1
OG0010253	AH001456-RA	Lsat_1_v5_gn_1_61521.1, Lsat_1_v5_gn_1_61521.2
OG0010254	AH021479-RA	Lsat_1_v5_gn_7_15121.1, Lsat_1_v5_gn_7_15121.3
OG0010256	AH000275-RA	Lsat_1_v5_gn_8_140141.1
OG0010257	AH010251-RA	Lsat_1_v5_gn_7_72120.3, Lsat_1_v5_gn_7_72120.1
OG0010259	AH000216-RA	Lsat_1_v5_gn_6_44580.1, Lsat_1_v5_gn_6_44580.2
OG0010260	AH014681-RA	Lsat_1_v5_gn_1_91720.1, Lsat_1_v5_gn_1_91720.3
OG0010261	AH003018-RA	Lsat_1_v5_gn_1_56061.4, Lsat_1_v5_gn_1_56061.1
OG0010262	AH012648-RA	Lsat_1_v5_gn_2_22640.2
OG0010263	AH023464-RA, AH014813-RA	Lsat_1_v5_gn_4_48400.1
OG0010264	AH011030-RA, AH011032-RA	Lsat_1_v5_gn_9_106260.3, Lsat_1_v5_gn_9_106260.1
OG0010265	AH017732-RA	Lsat_1_v5_gn_9_8701.1, Lsat_1_v5_gn_9_8701.3
OG0010266	AH011879-RA	Lsat_1_v5_gn_1_129320.1
OG0010267	AH000251-RA, AH000250-RA	Lsat_1_v5_gn_8_141221.1
OG0010268	AH014755-RA	Lsat_1_v5_gn_7_31040.3, Lsat_1_v5_gn_7_31040.1
OG0010269	AH018834-RA	Lsat_1_v5_gn_9_37301.3, Lsat_1_v5_gn_9_37301.1
OG0010270	AH007284-RA, AH022712-RA	Lsat_1_v5_gn_2_80021.1, Lsat_1_v5_gn_2_80021.2, Lsat_1_v5_gn_8_91980.1
OG0010271	AH008559-RA	Lsat_1_v5_gn_8_31680.3, Lsat_1_v5_gn_8_31680.1
OG0010272	AH000171-RA	Lsat_1_v5_gn_4_28400.1
OG0010273	AH021995-RA	Lsat_1_v5_gn_2_109060.1, Lsat_1_v5_gn_2_109060.3
OG0010275	AH012725-RA	Lsat_1_v5_gn_6_28400.1
OG0010276	AH013766-RA, AH001179-RA, AH016401-RA	Lsat_1_v5_gn_8_72200.1, Lsat_1_v5_gn_5_171040.1
OG0010277	AH006763-RA	Lsat_1_v5_gn_9_29000.1, Lsat_1_v5_gn_9_29000.3, Lsat_1_v5_gn_9_29000.2
OG0010278	AH008211-RA	Lsat_1_v5_gn_5_3861.1, Lsat_1_v5_gn_2_30500.3, Lsat_1_v5_gn_2_30500.2, Lsat_1_v5_gn_2_30500.1, Lsat_1_v5_gn_5_171181.1, Lsat_1_v5_gn_4_50060.1
OG0010280	AH018788-RA	Lsat_1_v5_gn_8_102200.2, Lsat_1_v5_gn_8_102200.1, Lsat_1_v5_gn_9_34521.1
OG0010281	AH013697-RA	Lsat_1_v5_gn_8_73521.2, Lsat_1_v5_gn_8_73521.1, Lsat_1_v5_gn_9_23661.1
OG0010282	AH007549-RA	Lsat_1_v5_gn_2_104400.5, Lsat_1_v5_gn_2_104400.6, Lsat_1_v5_gn_2_104400.1
OG0010283	AH020513-RA, AH006581-RA	Lsat_1_v5_gn_9_30301.4, Lsat_1_v5_gn_9_30301.1, Lsat_1_v5_gn_8_83721.1
OG0010284	AH023121-RA	Lsat_1_v5_gn_9_121521.1, Lsat_1_v5_gn_9_121521.3
OG0010285	AH006667-RA	Lsat_1_v5_gn_8_10680.3, Lsat_1_v5_gn_8_10680.1, Lsat_1_v5_gn_4_28380.1, Lsat_1_v5_gn_5_93381.3, Lsat_1_v5_gn_5_93381.1
OG0010286	AH009892-RA	Lsat_1_v5_gn_5_3221.1
OG0010287	AH013261-RA	Lsat_1_v5_gn_6_40440.1
OG0010288	AH007928-RA	Lsat_1_v5_gn_2_102720.1, Lsat_1_v5_gn_0_25680.1, Lsat_1_v5_gn_0_25680.3
OG0010289	AH010266-RA	Lsat_1_v5_gn_2_103220.3, Lsat_1_v5_gn_2_103220.1
OG0010291	AH010599-RA, AH010600-RA	Lsat_1_v5_gn_6_55740.1
OG0010292	AH013780-RA	Lsat_1_v5_gn_5_172301.3, Lsat_1_v5_gn_5_172301.1
OG0010293	AH016750-RA	Lsat_1_v5_gn_2_59680.1
OG0010294	AH000410-RA	Lsat_1_v5_gn_6_42140.3, Lsat_1_v5_gn_6_42140.1
OG0010295	AH014995-RA	Lsat_1_v5_gn_7_16100.3, Lsat_1_v5_gn_7_16100.1, Lsat_1_v5_gn_1_4360.1
OG0010296	AH016395-RA, AH023041-RA	Lsat_1_v5_gn_5_190221.1
OG0010297	AH001254-RA	Lsat_1_v5_gn_1_65340.1, Lsat_1_v5_gn_2_98481.1, Lsat_1_v5_gn_6_46020.1
OG0010298	AH018846-RA	Lsat_1_v5_gn_8_103441.1
OG0010299	AH012005-RA	Lsat_1_v5_gn_9_58300.2, Lsat_1_v5_gn_9_58300.1
OG0010300	AH000286-RA	Lsat_1_v5_gn_8_137601.1, Lsat_1_v5_gn_8_137601.3
OG0010301	AH007682-RA	Lsat_1_v5_gn_2_101121.2, Lsat_1_v5_gn_2_101121.1, Lsat_1_v5_gn_2_101121.3
OG0010303	AH022616-RA	Lsat_1_v5_gn_2_35420.1
OG0010304	AH007992-RA	Lsat_1_v5_gn_7_102200.1
OG0010305	AH021113-RA, AH014577-RA	Lsat_1_v5_gn_4_46521.2, Lsat_1_v5_gn_4_46521.1
OG0010306	AH023183-RA, AH016301-RA	Lsat_1_v5_gn_2_125341.1, Lsat_1_v5_gn_9_59340.1
OG0010307	AH013745-RA	Lsat_1_v5_gn_7_76800.1
OG0010308	AH013658-RA	Lsat_1_v5_gn_8_78041.1, Lsat_1_v5_gn_5_167661.3, Lsat_1_v5_gn_5_167661.1
OG0010309	AH008299-RA	Lsat_1_v5_gn_7_114320.3, Lsat_1_v5_gn_7_114320.1, Lsat_1_v5_gn_7_114320.2
OG0010310	AH017265-RA, AH017264-RA	Lsat_1_v5_gn_5_155541.1, Lsat_1_v5_gn_5_155541.3
OG0010311	AH015239-RA, AH021660-RA	Lsat_1_v5_gn_7_21701.1, Lsat_1_v5_gn_7_21701.2
OG0010312	AH001851-RA	Lsat_1_v5_gn_4_121700.1
OG0010313	AH006699-RA, AH020452-RA	Lsat_1_v5_gn_9_29601.1
OG0010314	AH023130-RA, AH016340-RA	Lsat_1_v5_gn_8_12880.1
OG0010315	AH003031-RA	Lsat_1_v5_gn_5_170681.1, Lsat_1_v5_gn_4_177081.1
OG0010316	AH004170-RA, AH005382-RA	Lsat_1_v5_gn_4_15920.1
OG0010317	AH010995-RA	Lsat_1_v5_gn_6_47960.1
OG0010318	AH006499-RA	Lsat_1_v5_gn_9_116360.1, Lsat_1_v5_gn_9_116360.2, Lsat_1_v5_gn_7_77981.1
OG0010319	AH018923-RA	Lsat_1_v5_gn_6_33801.1, Lsat_1_v5_gn_6_33801.3, Lsat_1_v5_gn_6_33801.2
OG0010320	AH020956-RA	Lsat_1_v5_gn_9_105181.3, Lsat_1_v5_gn_9_105181.1
OG0010321	AH007777-RA	Lsat_1_v5_gn_0_8241.1
OG0010322	AH020288-RA	Lsat_1_v5_gn_1_56320.3, Lsat_1_v5_gn_1_56320.1
OG0010323	AH014880-RA, AH021437-RA	Lsat_1_v5_gn_0_24381.1, Lsat_1_v5_gn_7_14120.2, Lsat_1_v5_gn_7_14120.1
OG0010324	AH006622-RA	Lsat_1_v5_gn_8_83900.1
OG0010325	AH000163-RA	Lsat_1_v5_gn_1_65480.3, Lsat_1_v5_gn_1_65480.1
OG0010326	AH011383-RA, AH011651-RA	Lsat_1_v5_gn_5_173181.1
OG0010328	AH011076-RA	Lsat_1_v5_gn_2_32160.1
OG0010329	AH015895-RA	Lsat_1_v5_gn_7_16460.1, Lsat_1_v5_gn_7_16460.3
OG0010330	AH021271-RA, AH014686-RA	Lsat_1_v5_gn_7_31160.3, Lsat_1_v5_gn_7_31160.1
OG0010331	AH019118-RA	Lsat_1_v5_gn_4_69540.3, Lsat_1_v5_gn_4_69540.1
OG0010332	AH022582-RA, AH022393-RA	Lsat_1_v5_gn_1_62060.1, Lsat_1_v5_gn_1_62060.2
OG0010333	AH014413-RA	Lsat_1_v5_gn_5_123860.3, Lsat_1_v5_gn_5_123860.1
OG0010334	AH010906-RA	Lsat_1_v5_gn_9_26700.1, Lsat_1_v5_gn_9_26700.2
OG0010335	AH006764-RA	Lsat_1_v5_gn_9_29100.1
OG0010336	AH007019-RA	Lsat_1_v5_gn_5_51241.1, Lsat_1_v5_gn_5_51241.2
OG0010337	AH012798-RA	Lsat_1_v5_gn_9_66560.1, Lsat_1_v5_gn_8_20961.1, Lsat_1_v5_gn_8_20961.3
OG0010338	AH015933-RA	Lsat_1_v5_gn_9_66541.1
OG0010339	AH018890-RA	Lsat_1_v5_gn_6_34681.2, Lsat_1_v5_gn_6_34681.5
OG0010340	AH014657-RA	Lsat_1_v5_gn_7_93220.1
OG0010341	AH015640-RA	Lsat_1_v5_gn_5_78680.1, Lsat_1_v5_gn_5_78680.3
OG0010342	AH011759-RA	Lsat_1_v5_gn_8_99960.2, Lsat_1_v5_gn_8_99960.1
OG0010343	AH013212-RA	Lsat_1_v5_gn_8_108720.1
OG0010344	AH017177-RA	Lsat_1_v5_gn_4_86841.1
OG0010345	AH021667-RA	Lsat_1_v5_gn_8_54380.1, Lsat_1_v5_gn_3_85040.1
OG0010346	AH007690-RA, AH010932-RA	Lsat_1_v5_gn_6_48420.1
OG0010347	AH013767-RA	Lsat_1_v5_gn_4_65500.1
OG0010348	AH001016-RA, AH003315-RA	Lsat_1_v5_gn_4_78980.1, Lsat_1_v5_gn_1_29421.1
OG0010349	AH010946-RA	Lsat_1_v5_gn_6_46361.1, Lsat_1_v5_gn_6_46361.2, Lsat_1_v5_gn_2_25141.1
OG0010350	AH012292-RA	Lsat_1_v5_gn_1_128700.2, Lsat_1_v5_gn_1_128700.1
OG0010351	AH000592-RA, AH001740-RA	Lsat_1_v5_gn_3_44180.3, Lsat_1_v5_gn_3_44180.1
OG0010353	AH003008-RA	Lsat_1_v5_gn_5_189841.1
OG0010354	AH019144-RA	Lsat_1_v5_gn_8_92521.1
OG0010355	AH003643-RA	Lsat_1_v5_gn_9_67321.1, Lsat_1_v5_gn_9_67321.2
OG0010356	AH005287-RA	Lsat_1_v5_gn_9_121141.2, Lsat_1_v5_gn_9_121141.1, Lsat_1_v5_gn_7_76521.1
OG0010357	AH011743-RA, AH020008-RA	Lsat_1_v5_gn_7_44620.1
OG0010358	AH010461-RA	Lsat_1_v5_gn_8_18301.1, Lsat_1_v5_gn_9_123520.1
OG0010360	AH020879-RA	Lsat_1_v5_gn_7_110720.3, Lsat_1_v5_gn_7_110720.1
OG0010361	AH010347-RA	Lsat_1_v5_gn_2_40441.1
OG0010362	AH008441-RA	Lsat_1_v5_gn_1_18441.1, Lsat_1_v5_gn_1_18441.3
OG0010363	AH012764-RA	Lsat_1_v5_gn_2_98721.1
OG0010364	AH021192-RA, AH014623-RA	Lsat_1_v5_gn_9_121801.3, Lsat_1_v5_gn_9_121801.1
OG0010365	AH018083-RA, AH011316-RA	Lsat_1_v5_gn_6_12261.2, Lsat_1_v5_gn_6_12261.1, Lsat_1_v5_gn_3_10461.1
OG0010367	AH007238-RA	Lsat_1_v5_gn_8_3080.2, Lsat_1_v5_gn_8_3080.1, Lsat_1_v5_gn_8_3080.3
OG0010368	AH012169-RA	Lsat_1_v5_gn_8_10241.1, Lsat_1_v5_gn_2_128681.1
OG0010369	AH019617-RA	Lsat_1_v5_gn_8_10160.1
OG0010370	AH005600-RA	Lsat_1_v5_gn_5_24320.1
OG0010371	AH005136-RA	Lsat_1_v5_gn_4_1321.1
OG0010372	AH019796-RA	Lsat_1_v5_gn_6_220.3, Lsat_1_v5_gn_6_220.1, Lsat_1_v5_gn_6_220.2, Lsat_1_v5_gn_6_115920.1
OG0010373	AH022094-RA, AH012953-RA	Lsat_1_v5_gn_8_164180.1
OG0010374	AH008512-RA	Lsat_1_v5_gn_7_71840.1
OG0010375	AH013097-RA	Lsat_1_v5_gn_5_180581.1
OG0010376	AH001908-RA	Lsat_1_v5_gn_5_112800.1, Lsat_1_v5_gn_5_112800.2
OG0010377	AH006523-RA	Lsat_1_v5_gn_1_69940.1, Lsat_1_v5_gn_1_69940.2
OG0010378	AH020157-RA, AH007035-RA	Lsat_1_v5_gn_5_51901.1
OG0010379	AH003274-RA	Lsat_1_v5_gn_7_2701.1
OG0010380	AH005243-RA	Lsat_1_v5_gn_2_95200.1
OG0010381	AH000006-RA	Lsat_1_v5_gn_3_29341.1
OG0010383	AH018401-RA	Lsat_1_v5_gn_3_43481.2, Lsat_1_v5_gn_3_43481.1
OG0010385	AH005713-RA	Lsat_1_v5_gn_4_161581.2
OG0010386	AH002294-RA	Lsat_1_v5_gn_1_25060.1
OG0010387	AH005113-RA	Lsat_1_v5_gn_3_32540.2, Lsat_1_v5_gn_3_32540.3, Lsat_1_v5_gn_3_32540.1
OG0010388	AH012276-RA, AH020462-RA	Lsat_1_v5_gn_8_82500.1
OG0010390	AH018054-RA	Lsat_1_v5_gn_3_139161.1
OG0010391	AH017895-RA	Lsat_1_v5_gn_9_16381.1, Lsat_1_v5_gn_9_16381.2
OG0010392	AH022110-RA	Lsat_1_v5_gn_7_11800.3, Lsat_1_v5_gn_7_11800.1, Lsat_1_v5_gn_9_5620.2, Lsat_1_v5_gn_9_5620.1
OG0010393	AH002514-RA	Lsat_1_v5_gn_5_14180.1
OG0010394	AH015874-RA	Lsat_1_v5_gn_1_7780.3, Lsat_1_v5_gn_1_7780.1
OG0010395	AH007604-RA	Lsat_1_v5_gn_9_124360.1, Lsat_1_v5_gn_9_124360.2
OG0010396	AH004267-RA	Lsat_1_v5_gn_0_22620.1, Lsat_1_v5_gn_0_22620.3
OG0010397	AH009266-RA	Lsat_1_v5_gn_4_117720.1
OG0010398	AH023421-RA	Lsat_1_v5_gn_5_125241.3, Lsat_1_v5_gn_5_125241.1
OG0010399	AH004278-RA	Lsat_1_v5_gn_2_94961.1
