Orthogroup	G_max.proteins	A_hypochondriacus.proteins
OG0010947	GmISU01.06G213300.3.p, GmISU01.06G213300.2.p, GmISU01.06G213300.1.p	AH009995-RA
OG0010948	GmISU01.15G077800.2.p, GmISU01.15G077800.1.p, GmISU01.13G196400.1.p, GmISU01.13G196400.2.p	AH001136-RA
OG0010949	GmISU01.05G128800.1.p, GmISU01.08G103400.1.p	AH007659-RA
OG0010950	GmISU01.12G100700.1.p, GmISU01.06G247500.2.p, GmISU01.04G140600.1.p	AH009485-RA
OG0010951	GmISU01.08G056600.2.p, GmISU01.08G056500.1.p	AH015195-RA
OG0010952	GmISU01.18G085400.1.p, GmISU01.08G280500.1.p	AH008186-RA
OG0010953	GmISU01.15G188400.1.p, GmISU01.08G211700.1.p	AH007807-RA, AH010671-RA
OG0010954	GmISU01.01G100300.1.p, GmISU01.03G032500.1.p	AH012481-RA, AH021729-RA
OG0010955	GmISU01.15G144400.1.p, GmISU01.09G048200.1.p, GmISU01.05G108100.1.p	AH021938-RA, AH012808-RA
OG0010956	GmISU01.13G298300.1.p, GmISU01.13G298300.2.p, GmISU01.15G033200.1.p	AH013748-RA
OG0010957	GmISU01.12G176300.1.p, GmISU01.12G176300.2.p, GmISU01.13G253700.1.p	AH001405-RA
OG0010959	GmISU01.09G229400.1.p, GmISU01.18G161900.1.p	AH021709-RA
OG0010960	GmISU01.16G025500.1.p, GmISU01.07G054800.1.p	AH017863-RA
OG0010961	GmISU01.03G140500.1.p, GmISU01.19G143800.1.p	AH021975-RA
OG0010963	GmISU01.08G157800.1.p, GmISU01.15G212800.1.p	AH019740-RA, AH023418-RA
OG0010964	GmISU01.07G125500.1.p	AH017222-RA
OG0010965	GmISU01.09G028400.1.p, GmISU01.15G125600.1.p, GmISU01.08G072000.1.p, GmISU01.05G100100.1.p	AH021313-RA
OG0010966	GmISU01.06G131700.1.p	AH015401-RA
OG0010967	GmISU01.08G190100.1.p, GmISU01.07G017100.1.p	AH000477-RA
OG0010968	GmISU01.14G023300.1.p	AH008188-RA
OG0010969	GmISU01.02G196200.1.p	AH014304-RA
OG0010972	GmISU01.14G026000.2.p, GmISU01.02G246900.2.p, GmISU01.02G246900.1.p	AH001129-RA
OG0010973	GmISU01.08G283000.1.p, GmISU01.08G283000.2.p, GmISU01.08G282800.3.p, GmISU01.08G282800.2.p	AH008213-RA
OG0010975	GmISU01.20G145000.1.p, GmISU01.10G171200.1.p, GmISU01.10G171200.2.p	AH010410-RA
OG0010976	GmISU01.02G215800.2.p, GmISU01.02G215800.1.p	AH023045-RA, AH009117-RA
OG0010978	GmISU01.13G049700.3.p, GmISU01.13G049700.1.p, GmISU01.13G049700.2.p, GmISU01.20G033500.1.p	AH004850-RA
OG0010979	GmISU01.03G049500.1.p	AH010747-RA
OG0010980	GmISU01.17G209100.1.p, GmISU01.17G209100.3.p, GmISU01.17G209100.4.p, GmISU01.17G209100.2.p, GmISU01.14G079000.1.p	AH010670-RA
OG0010981	GmISU01.03G165300.1.p, GmISU01.03G165300.2.p	AH003010-RA
OG0010984	GmISU01.15G088200.1.p, GmISU01.13G184700.1.p, GmISU01.13G184700.2.p	AH014720-RA
OG0010986	GmISU01.03G043900.1.p	AH018813-RA
OG0010988	GmISU01.09G185100.1.p, GmISU01.12G009000.1.p	AH016630-RA
OG0010990	GmISU01.02G168900.1.p, GmISU01.02G168900.2.p, GmISU01.02G168500.1.p, GmISU01.10G066100.1.p	AH021803-RA
OG0010991	GmISU01.15G107800.1.p, GmISU01.09G011000.1.p	AH008277-RA, AH009753-RA
OG0010992	GmISU01.01G077900.2.p, GmISU01.01G077900.3.p, GmISU01.03G049800.1.p	AH018960-RA, AH003035-RA
OG0010993	GmISU01.16G082100.1.p, GmISU01.16G082100.2.p, GmISU01.08G243500.1.p, GmISU01.08G243500.2.p	AH010711-RA
OG0010994	GmISU01.03G006500.1.p, GmISU01.03G006400.1.p	AH003107-RA
OG0010995	GmISU01.03G070700.2.p	AH023390-RA
OG0010997	GmISU01.13G262500.1.p, GmISU01.12G168200.1.p	AH022120-RA, AH012606-RA
OG0010999	GmISU01.20G068300.1.p	AH010400-RA
OG0011000	GmISU01.02G236400.2.p, GmISU01.02G236400.1.p, GmISU01.14G037100.1.p	AH007495-RA
OG0011001	GmISU01.15G181600.2.p, GmISU01.15G181600.1.p, GmISU01.15G182200.2.p, GmISU01.15G182200.1.p	AH010300-RA
OG0011002	GmISU01.11G012200.1.p	AH011714-RA
OG0011003	GmISU01.15G224600.1.p, GmISU01.08G140600.1.p, GmISU01.08G140700.1.p	AH020580-RA
OG0011004	GmISU01.14G053200.1.p, GmISU01.02G225500.1.p, GmISU01.11G210300.1.p, GmISU01.18G023600.1.p	AH016351-RA, AH023118-RA
OG0011005	GmISU01.08G141200.1.p, GmISU01.15G225100.1.p, GmISU01.15G225100.2.p, GmISU01.08G140400.1.p	AH022771-RA
OG0011006	GmISU01.13G236800.1.p, GmISU01.13G236800.2.p, GmISU01.12G191000.1.p	AH010081-RA
OG0011007	GmISU01.14G003200.1.p	AH012358-RA
OG0011008	GmISU01.19G038100.1.p, GmISU01.18G223300.1.p	AH019682-RA, AH013762-RA
OG0011009	GmISU01.09G069200.1.p, GmISU01.15G167200.1.p, GmISU01.15G167200.2.p	AH008840-RA
OG0011010	GmISU01.08G156300.1.p, GmISU01.15G214300.1.p	AH023408-RA
OG0011011	GmISU01.11G159500.1.p, GmISU01.12G061500.1.p, GmISU01.13G286100.1.p, GmISU01.12G142100.1.p	AH001252-RA, AH000170-RA
OG0011012	GmISU01.02G225700.1.p, GmISU01.14G053600.2.p, GmISU01.14G053600.4.p, GmISU01.14G053600.1.p, GmISU01.14G053600.6.p, GmISU01.14G053600.3.p, GmISU01.14G053600.5.p	AH016358-RA
OG0011013	GmISU01.02G264900.3.p, GmISU01.02G264900.2.p, GmISU01.02G264900.1.p, GmISU01.14G006400.1.p	AH021149-RA
OG0011014	GmISU01.13G127000.1.p, GmISU01.10G064600.1.p, GmISU01.03G156400.1.p, GmISU01.19G158400.1.p	AH021813-RA, AH012604-RA
OG0011015	GmISU01.15G071900.2.p, GmISU01.13G203500.2.p	AH015246-RA
OG0011016	GmISU01.11G214100.1.p, GmISU01.18G019600.1.p	AH023181-RA
OG0011017	GmISU01.01G071100.1.p, GmISU01.04G119600.1.p	AH015964-RA
OG0011018	GmISU01.15G201500.1.p, GmISU01.13G226900.1.p	AH012712-RA
OG0011019	GmISU01.15G187100.2.p, GmISU01.08G216700.1.p, GmISU01.15G187100.1.p	AH023394-RA
OG0011020	GmISU01.11G019400.3.p, GmISU01.11G019400.2.p, GmISU01.11G019400.1.p	AH015253-RA
OG0011021	GmISU01.03G001300.1.p, GmISU01.03G001300.5.p, GmISU01.03G001300.4.p, GmISU01.03G001300.3.p, GmISU01.03G001300.2.p, GmISU01.16G188500.1.p	AH012434-RA
OG0011022	GmISU01.12G104800.1.p, GmISU01.06G242200.1.p, GmISU01.06G242200.2.p	AH000292-RA
OG0011023	GmISU01.20G106900.1.p, GmISU01.10G213700.2.p, GmISU01.10G213700.1.p	AH015042-RA
OG0011024	GmISU01.05G129500.1.p, GmISU01.08G104200.1.p	AH007654-RA
OG0011025	GmISU01.02G229200.1.p, GmISU01.14G045000.1.p	AH001197-RA
OG0011026	GmISU01.18G026100.1.p, GmISU01.11G207900.1.p	AH008041-RA
OG0011027	GmISU01.02G219800.1.p, GmISU01.14G053900.1.p, GmISU01.18G023800.1.p, GmISU01.11G210100.1.p	AH016391-RA
OG0011028	GmISU01.09G029500.1.p, GmISU01.15G125300.1.p, GmISU01.09G028100.2.p	AH010799-RA
OG0011029	GmISU01.13G197200.1.p, GmISU01.15G076800.1.p, GmISU01.02G125300.1.p, GmISU01.07G174400.1.p	AH021401-RA, AH014835-RA
OG0011030	GmISU01.19G180700.1.p	AH002711-RA
OG0011031	GmISU01.11G028000.2.p, GmISU01.11G028000.1.p	AH003215-RA
OG0011032	GmISU01.08G170800.2.p, GmISU01.15G045900.1.p	AH017227-RA
OG0011034	GmISU01.14G041200.1.p, GmISU01.02G231700.1.p, GmISU01.14G041100.1.p	AH019803-RA
OG0011035	GmISU01.01G199000.1.p	AH000672-RA
OG0011036	GmISU01.05G175200.1.p	AH018638-RA
OG0011037	GmISU01.06G226900.1.p	AH009932-RA
OG0011038	GmISU01.17G031400.2.p, GmISU01.07G202200.2.p	AH021241-RA
OG0011039	GmISU01.15G158800.1.p, GmISU01.09G062100.1.p	AH021116-RA
OG0011040	GmISU01.02G186500.1.p, GmISU01.06G127100.1.p, GmISU01.04G184400.1.p	AH019753-RA
OG0011042	GmISU01.09G240300.1.p	AH018170-RA
OG0011043	GmISU01.18G227200.1.p	AH004560-RA
OG0011044	GmISU01.20G173800.1.p, GmISU01.16G176300.1.p, GmISU01.09G123000.2.p	AH010351-RA
OG0011045	GmISU01.11G061200.1.p, GmISU01.01G137500.2.p, GmISU01.01G137500.1.p	AH005608-RA
OG0011046	GmISU01.05G187800.2.p	AH018152-RA
OG0011047	GmISU01.01G021200.1.p, GmISU01.09G159900.1.p	AH003645-RA
OG0011048	GmISU01.19G134900.1.p	AH022021-RA
OG0011049	GmISU01.11G001500.1.p	AH021199-RA
OG0011050	GmISU01.05G138800.1.p, GmISU01.08G113500.1.p	AH007003-RA
OG0011051	GmISU01.08G077800.5.p, GmISU01.05G105700.7.p, GmISU01.05G105700.4.p, GmISU01.05G105700.5.p	AH013749-RA
OG0011052	GmISU01.04G027100.1.p	AH008990-RA
OG0011053	GmISU01.17G077400.1.p, GmISU01.17G114200.1.p	AH017920-RA
OG0011054	GmISU01.06G155700.1.p, GmISU01.04G158200.1.p, GmISU01.17G120200.1.p, GmISU01.05G044200.1.p	AH002984-RA
OG0011055	GmISU01.10G205600.3.p	AH001597-RA
OG0011056	GmISU01.09G160900.1.p, GmISU01.01G020100.1.p	AH003636-RA
OG0011057	GmISU01.17G001900.1.p	AH017180-RA
OG0011058	GmISU01.15G139500.1.p	AH007159-RA, AH007160-RA
OG0011059	GmISU01.08G019900.1.p, GmISU01.05G183600.1.p, GmISU01.11G016600.1.p, GmISU01.01G183000.1.p	AH018067-RA
OG0011060	GmISU01.16G137700.1.p, GmISU01.10G186300.1.p, GmISU01.20G131100.1.p	AH008514-RA
OG0011061	GmISU01.02G130500.1.p, GmISU01.10G026900.3.p, GmISU01.10G026900.2.p	AH006639-RA
OG0011062	GmISU01.01G183100.1.p, GmISU01.11G016500.1.p	AH018069-RA
OG0011063	GmISU01.13G097200.1.p, GmISU01.10G034900.1.p	AH002660-RA
OG0011064	GmISU01.08G319100.1.p, GmISU01.18G131900.1.p	AH013048-RA
OG0011065	GmISU01.04G001900.1.p, GmISU01.06G001800.1.p	AH009306-RA
OG0011066	GmISU01.01G135900.1.p, GmISU01.01G135900.2.p, GmISU01.11G063300.1.p	AH019996-RA
OG0011067	GmISU01.18G124300.1.p, GmISU01.08G310900.1.p	AH013110-RA
OG0011069	GmISU01.07G136000.1.p, GmISU01.18G155200.1.p, GmISU01.01G095700.1.p, GmISU01.03G040100.1.p	AH005156-RA
OG0011070	GmISU01.07G152800.1.p, GmISU01.08G061500.1.p	AH000714-RA
OG0011071	GmISU01.01G160900.1.p, GmISU01.13G000800.1.p	AH018198-RA
OG0011072	GmISU01.06G147400.1.p, GmISU01.04G166100.1.p	AH009415-RA
OG0011073	GmISU01.04G042550.1.p, GmISU01.06G041900.1.p, GmISU01.14G083600.1.p, GmISU01.14G083600.2.p, GmISU01.17G204600.1.p	AH008387-RA
OG0011074	GmISU01.04G175200.1.p, GmISU01.06G137500.4.p	AH003482-RA
OG0011075	GmISU01.19G002500.1.p, GmISU01.05G002500.1.p	AH004193-RA
OG0011077	GmISU01.05G044000.1.p, GmISU01.17G120050.1.p	AH017162-RA
OG0011079	GmISU01.20G167300.1.p	AH019925-RA
OG0011080	GmISU01.02G016600.1.p, GmISU01.10G017500.1.p	AH009165-RA, AH022105-RA
OG0011081	GmISU01.16G056800.1.p, GmISU01.16G056800.2.p, GmISU01.19G062500.1.p	AH017763-RA
OG0011082	GmISU01.20G181300.1.p, GmISU01.10G134400.1.p	AH010758-RA
OG0011083	GmISU01.18G239900.1.p, GmISU01.08G324200.1.p	AH005117-RA
OG0011085	GmISU01.17G153600.1.p, GmISU01.05G079600.1.p	AH003946-RA
OG0011086	GmISU01.09G102700.1.p	AH012094-RA
OG0011087	GmISU01.08G092500.1.p, GmISU01.05G119300.1.p	AH016169-RA
OG0011088	GmISU01.07G207800.1.p, GmISU01.17G025700.1.p	AH020199-RA
OG0011089	GmISU01.01G148000.5.p, GmISU01.11G049900.1.p	AH006108-RA
OG0011090	GmISU01.10G145400.1.p, GmISU01.20G170800.1.p	AH001589-RA
OG0011091	GmISU01.05G188100.2.p, GmISU01.05G188100.1.p	AH000908-RA
OG0011092	GmISU01.05G138900.1.p, GmISU01.08G113700.1.p	AH005257-RA, AH004248-RA
OG0011093	GmISU01.16G041100.1.p, GmISU01.19G078900.1.p, GmISU01.02G061500.1.p	AH023194-RA
OG0011094	GmISU01.18G188400.1.p, GmISU01.09G205400.1.p	AH011143-RA
OG0011095	GmISU01.03G088000.1.p	AH005220-RA
OG0011096	GmISU01.20G137900.1.p, GmISU01.10G179600.1.p	AH009400-RA
OG0011097	GmISU01.11G112500.1.p, GmISU01.12G042900.1.p	AH001861-RA
OG0011098	GmISU01.11G112900.1.p, GmISU01.12G043300.1.p	AH001867-RA
OG0011099	GmISU01.04G152900.1.p, GmISU01.06G160400.1.p	AH022375-RA
OG0011100	GmISU01.02G070000.1.p	AH023550-RA
OG0011101	GmISU01.20G180800.2.p, GmISU01.20G180800.1.p	AH010328-RA
OG0011102	GmISU01.11G059400.1.p, GmISU01.01G138900.1.p	AH017517-RA, AH021182-RA
OG0011103	GmISU01.05G091000.3.p, GmISU01.17G142000.1.p	AH018377-RA
OG0011104	GmISU01.14G154900.1.p, GmISU01.02G186100.1.p, GmISU01.06G127200.1.p, GmISU01.04G184300.1.p	AH019596-RA
OG0011105	GmISU01.04G029100.1.p, GmISU01.06G027700.1.p	AH011379-RA
OG0011107	GmISU01.04G150000.1.p, GmISU01.06G163900.1.p	AH002521-RA
OG0011108	GmISU01.06G120600.1.p, GmISU01.04G191100.2.p, GmISU01.04G191100.1.p	AH007631-RA
OG0011111	GmISU01.06G276000.1.p, GmISU01.04G096800.1.p	AH008787-RA
OG0011113	GmISU01.20G177800.1.p, GmISU01.10G138700.1.p	AH018205-RA
OG0011114	GmISU01.10G116300.4.p, GmISU01.10G116300.3.p, GmISU01.10G116300.1.p	AH005001-RA
OG0011115	GmISU01.20G133800.1.p, GmISU01.10G183200.1.p	AH008556-RA
OG0011116	GmISU01.16G020500.1.p	AH009536-RA
OG0011117	GmISU01.18G038800.1.p, GmISU01.18G038800.2.p, GmISU01.11G195800.1.p, GmISU01.11G195800.2.p	AH015561-RA
OG0011118	GmISU01.14G012100.1.p, GmISU01.02G259900.1.p	AH003425-RA
OG0011119	GmISU01.08G171300.2.p, GmISU01.15G045300.1.p, GmISU01.08G171300.1.p	AH003412-RA
OG0011120	GmISU01.14G130300.1.p, GmISU01.04G190700.2.p, GmISU01.04G190700.1.p, GmISU01.06G121200.1.p	AH011943-RA
OG0011121	GmISU01.06G017100.2.p, GmISU01.04G018400.1.p, GmISU01.17G044500.1.p	AH011924-RA
OG0011122	GmISU01.19G202300.1.p, GmISU01.03G201400.1.p	AH010851-RA
OG0011123	GmISU01.19G171900.1.p, GmISU01.03G170100.2.p, GmISU01.03G170100.1.p, GmISU01.19G171900.2.p	AH012840-RA
OG0011124	GmISU01.05G099300.1.p	AH003765-RA, AH017030-RA, AH017031-RA
OG0011125	GmISU01.14G077600.1.p, GmISU01.17G210500.1.p	AH015163-RA
OG0011126	GmISU01.20G159300.1.p	AH020216-RA
OG0011127	GmISU01.10G143300.2.p, GmISU01.20G173000.2.p	AH013118-RA
OG0011128	GmISU01.01G196200.1.p	AH007089-RA
OG0011129	GmISU01.04G177800.1.p, GmISU01.06G134500.1.p	AH010430-RA
OG0011130	GmISU01.16G133200.1.p, GmISU01.10G183700.2.p, GmISU01.10G183700.1.p, GmISU01.20G133300.1.p	AH008631-RA
OG0011131	GmISU01.04G163600.1.p, GmISU01.06G150100.1.p	AH002944-RA
OG0011132	GmISU01.09G047800.1.p, GmISU01.09G047800.2.p, GmISU01.09G047800.4.p, GmISU01.15G144000.1.p	AH005235-RA
OG0011133	GmISU01.06G133300.3.p, GmISU01.06G133300.1.p	AH003749-RA
OG0011134	GmISU01.07G095000.1.p, GmISU01.09G135600.1.p, GmISU01.09G135600.3.p	AH006565-RA
OG0011138	GmISU01.09G146750.1.p, GmISU01.07G082100.1.p, GmISU01.09G146800.1.p	AH017185-RA
OG0011140	GmISU01.05G211300.1.p, GmISU01.08G049000.1.p	AH020339-RA, AH006841-RA
OG0011141	GmISU01.12G027100.1.p, GmISU01.11G096100.1.p	AH001102-RA
OG0011142	GmISU01.05G002400.3.p, GmISU01.05G002400.4.p	AH005310-RA
OG0011144	GmISU01.07G194000.1.p, GmISU01.20G025300.1.p	AH009219-RA, AH004351-RA, AH005024-RA
OG0011145	GmISU01.04G153800.1.p, GmISU01.04G153800.3.p, GmISU01.06G159700.1.p	AH013554-RA
OG0011146	GmISU01.05G092000.1.p, GmISU01.17G140900.1.p	AH018344-RA
OG0011147	GmISU01.17G091100.1.p	AH017599-RA
OG0011149	GmISU01.11G078400.1.p, GmISU01.01G122200.1.p	AH021140-RA
OG0011150	GmISU01.08G046000.1.p, GmISU01.05G208500.1.p	AH020180-RA
OG0011151	GmISU01.08G318800.1.p, GmISU01.18G131800.1.p, GmISU01.18G131800.2.p	AH009278-RA
OG0011152	GmISU01.03G076500.1.p, GmISU01.07G106800.1.p	AH009337-RA
OG0011153	GmISU01.08G256100.1.p, GmISU01.18G111200.1.p, GmISU01.18G111200.2.p	AH004926-RA
OG0011154	GmISU01.03G076900.1.p, GmISU01.03G076900.2.p, GmISU01.07G106300.1.p	AH009339-RA
OG0011155	GmISU01.01G070400.2.p, GmISU01.01G070400.1.p, GmISU01.02G089400.1.p	AH005425-RA
OG0011156	GmISU01.02G081700.1.p	AH022836-RA
OG0011157	GmISU01.02G096300.1.p	AH003289-RA
OG0011158	GmISU01.07G186700.1.p, GmISU01.20G014600.1.p	AH004142-RA
OG0011159	GmISU01.06G182200.1.p	AH017524-RA
OG0011160	GmISU01.02G203600.1.p, GmISU01.14G175000.1.p	AH010709-RA
OG0011161	GmISU01.17G123900.1.p	AH004824-RA
OG0011162	GmISU01.18G209800.1.p, GmISU01.08G225900.2.p, GmISU01.08G225900.1.p, GmISU01.08G225900.4.p	AH019149-RA
OG0011163	GmISU01.10G245500.3.p, GmISU01.10G245500.2.p, GmISU01.20G070400.1.p	AH003850-RA
OG0011164	GmISU01.11G228500.1.p, GmISU01.18G005500.1.p, GmISU01.05G121900.1.p	AH004545-RA
OG0011166	GmISU01.01G012700.1.p, GmISU01.09G168600.1.p, GmISU01.20G020300.1.p	AH018456-RA
OG0011167	GmISU01.10G182300.1.p, GmISU01.10G182300.2.p, GmISU01.20G135000.1.p	AH001080-RA
OG0011168	GmISU01.13G045900.1.p, GmISU01.19G014200.1.p	AH016479-RA
OG0011169	GmISU01.18G112100.1.p, GmISU01.08G255000.1.p, GmISU01.01G026900.1.p, GmISU01.02G033100.1.p	AH004799-RA
OG0011170	GmISU01.11G107500.1.p, GmISU01.12G038600.1.p	AH016704-RA
OG0011171	GmISU01.01G031300.1.p, GmISU01.02G029000.3.p	AH004749-RA
OG0011172	GmISU01.01G014400.1.p, GmISU01.09G167200.1.p	AH018437-RA, AH011540-RA
OG0011173	GmISU01.18G012500.1.p, GmISU01.11G221700.1.p	AH004864-RA, AH004462-RA
OG0011175	GmISU01.20G083700.1.p	AH005387-RA, AH004158-RA
OG0011176	GmISU01.02G107700.1.p, GmISU01.01G054700.1.p	AH005526-RA, AH004026-RA
OG0011177	GmISU01.11G194300.1.p, GmISU01.18G040200.2.p, GmISU01.18G040200.1.p, GmISU01.02G204900.1.p	AH017224-RA
OG0011178	GmISU01.13G042900.2.p, GmISU01.13G042900.1.p, GmISU01.19G018000.1.p	AH019380-RA
OG0011179	GmISU01.06G150700.1.p, GmISU01.04G162700.2.p, GmISU01.04G162700.1.p	AH002950-RA
OG0011180	GmISU01.02G017400.1.p, GmISU01.02G017400.2.p, GmISU01.01G040900.1.p	AH004596-RA
OG0011181	GmISU01.17G111900.1.p, GmISU01.05G011900.1.p, GmISU01.06G188600.1.p, GmISU01.04G123500.3.p, GmISU01.04G123500.4.p	AH017429-RA
OG0011182	GmISU01.13G224500.1.p, GmISU01.15G205900.1.p	AH011479-RA
OG0011183	GmISU01.20G088200.1.p, GmISU01.20G088200.3.p	AH005481-RA
OG0011184	GmISU01.18G043800.3.p, GmISU01.18G043800.1.p, GmISU01.18G043800.2.p, GmISU01.11G188700.2.p, GmISU01.11G188700.1.p	AH004935-RA
OG0011185	GmISU01.05G064500.1.p	AH018367-RA, AH011485-RA
OG0011186	GmISU01.18G197200.1.p, GmISU01.03G083700.2.p, GmISU01.03G083700.1.p	AH004081-RA
OG0011187	GmISU01.07G143000.4.p, GmISU01.07G143000.3.p, GmISU01.07G143000.1.p, GmISU01.09G097300.2.p	AH005360-RA
OG0011188	GmISU01.09G192300.1.p, GmISU01.09G192300.2.p, GmISU01.18G205900.1.p, GmISU01.18G205900.2.p	AH015800-RA
OG0011189	GmISU01.09G165500.1.p, GmISU01.01G016300.1.p	AH011517-RA
OG0011191	GmISU01.06G114800.4.p	AH019646-RA
OG0011192	GmISU01.10G156900.1.p, GmISU01.20G158900.1.p	AH018791-RA
OG0011193	GmISU01.09G017200.1.p, GmISU01.15G114800.1.p	AH012370-RA
OG0011194	GmISU01.18G011700.1.p, GmISU01.11G222300.1.p	AH004476-RA
OG0011196	GmISU01.05G016500.1.p	AH017465-RA, AH002903-RA
OG0011197	GmISU01.17G081100.1.p, GmISU01.05G035000.1.p, GmISU01.06G165600.1.p, GmISU01.04G148000.1.p	AH002497-RA
OG0011198	GmISU01.18G080200.1.p, GmISU01.18G091250.1.p	AH015791-RA
OG0011200	GmISU01.18G000700.2.p, GmISU01.11G233500.1.p, GmISU01.18G000700.1.p	AH015741-RA
OG0011201	GmISU01.05G033100.1.p	AH002487-RA
OG0011202	GmISU01.18G006900.1.p, GmISU01.11G227200.1.p, GmISU01.11G227200.3.p, GmISU01.11G227200.4.p, GmISU01.18G006900.2.p, GmISU01.18G006900.3.p	AH005171-RA
OG0011203	GmISU01.19G024100.1.p	AH019136-RA
OG0011204	GmISU01.18G206800.1.p, GmISU01.08G222400.1.p	AH010135-RA
OG0011208	GmISU01.03G084400.2.p, GmISU01.03G084400.1.p, GmISU01.07G100500.1.p	AH009043-RA
OG0011209	GmISU01.03G074900.1.p	AH014683-RA
OG0011210	GmISU01.04G159000.1.p, GmISU01.06G154900.1.p	AH002979-RA
OG0011211	GmISU01.08G258800.5.p, GmISU01.08G258800.4.p, GmISU01.08G258800.3.p, GmISU01.08G258800.1.p	AH004401-RA
OG0011212	GmISU01.09G240100.1.p, GmISU01.20G000200.1.p	AH001004-RA
OG0011213	GmISU01.02G034600.1.p	AH004722-RA, AH004735-RA
OG0011214	GmISU01.05G022400.1.p, GmISU01.05G022400.2.p, GmISU01.17G093800.1.p, GmISU01.17G093800.3.p	AH017439-RA
OG0011215	GmISU01.17G132500.1.p, GmISU01.05G057200.1.p	AH018305-RA
OG0011216	GmISU01.09G171000.1.p, GmISU01.01G009000.1.p	AH011579-RA
OG0011217	GmISU01.05G007800.1.p	AH014062-RA
OG0011218	GmISU01.07G147600.1.p, GmISU01.20G010500.1.p	AH005909-RA
OG0011220	GmISU01.09G236100.3.p, GmISU01.09G236100.4.p, GmISU01.09G236100.2.p	AH021567-RA
OG0011221	GmISU01.09G102500.2.p, GmISU01.09G102500.1.p, GmISU01.16G149000.1.p, GmISU01.16G149000.2.p	AH019607-RA
OG0011222	GmISU01.15G017600.1.p, GmISU01.13G313600.1.p, GmISU01.13G313600.3.p, GmISU01.13G313600.2.p	AH001617-RA
OG0011223	GmISU01.08G044000.1.p, GmISU01.05G206400.1.p	AH014955-RA
OG0011224	GmISU01.09G164400.1.p, GmISU01.09G164400.2.p, GmISU01.09G164400.3.p, GmISU01.01G017500.1.p	AH018393-RA
OG0011225	GmISU01.14G107500.1.p, GmISU01.17G112400.1.p, GmISU01.05G012400.1.p, GmISU01.18G222100.1.p	AH017434-RA, AH002929-RA
OG0011226	GmISU01.08G046800.1.p, GmISU01.05G209100.1.p	AH000387-RA
OG0011227	GmISU01.01G191400.2.p, GmISU01.11G008500.2.p, GmISU01.01G191400.1.p, GmISU01.11G008500.1.p	AH007246-RA
OG0011228	GmISU01.08G258300.1.p	AH004405-RA
OG0011229	GmISU01.01G034300.1.p, GmISU01.02G024600.1.p, GmISU01.18G106800.1.p	AH004658-RA
OG0011231	GmISU01.12G205000.1.p, GmISU01.19G057900.1.p, GmISU01.19G057900.2.p	AH023449-RA
OG0011232	GmISU01.05G160100.2.p, GmISU01.05G160100.1.p	AH018215-RA
OG0011235	GmISU01.01G115600.2.p, GmISU01.01G115600.3.p, GmISU01.01G115600.1.p, GmISU01.09G176200.1.p	AH018765-RA
OG0011236	GmISU01.10G194100.1.p, GmISU01.20G125600.1.p, GmISU01.20G125600.2.p	AH000979-RA, AH010398-RA, AH019251-RA
OG0011241	GmISU01.18G083000.1.p, GmISU01.14G021900.1.p	AH015345-RA
OG0011242	GmISU01.17G198500.1.p, GmISU01.14G089500.1.p, GmISU01.04G047400.1.p, GmISU01.06G046500.1.p	AH016098-RA, AH000365-RA
OG0011243	GmISU01.09G208800.7.p, GmISU01.09G208800.3.p, GmISU01.09G208800.1.p, GmISU01.09G208800.5.p, GmISU01.09G208800.6.p, GmISU01.09G208800.8.p	AH011206-RA
OG0011245	GmISU01.10G236000.3.p, GmISU01.10G236000.6.p, GmISU01.10G236000.2.p, GmISU01.10G236000.7.p, GmISU01.10G236000.1.p, GmISU01.20G080400.1.p, GmISU01.20G080400.3.p, GmISU01.20G080400.4.p	AH009781-RA
OG0011246	GmISU01.14G139400.1.p, GmISU01.13G058200.1.p, GmISU01.06G098900.1.p, GmISU01.04G209900.1.p	AH009019-RA
OG0011247	GmISU01.13G125300.1.p, GmISU01.12G069700.1.p, GmISU01.14G042500.1.p	AH007254-RA, AH001001-RA, AH009003-RA, AH019668-RA, AH001000-RA, AH001058-RA
OG0011249	GmISU01.16G027100.1.p, GmISU01.07G056900.1.p	AH009623-RA
OG0011250	GmISU01.04G203400.1.p, GmISU01.06G106100.1.p	AH019552-RA, AH006705-RA
OG0011252	GmISU01.10G104300.1.p, GmISU01.20G055800.1.p, GmISU01.14G101100.1.p	AH020221-RA
OG0011253	GmISU01.20G037700.1.p	AH013888-RA, AH013889-RA
OG0011254	GmISU01.18G086400.1.p	AH013875-RA
OG0011255	GmISU01.18G056900.1.p, GmISU01.11G178800.1.p	AH013827-RA
OG0011256	GmISU01.18G163100.1.p, GmISU01.09G230800.1.p	AH012478-RA
OG0011257	GmISU01.05G124100.1.p, GmISU01.08G097800.1.p	AH013298-RA
OG0011258	GmISU01.07G225300.1.p, GmISU01.17G009200.2.p, GmISU01.17G009200.3.p	AH014959-RA
OG0011259	GmISU01.15G087700.6.p, GmISU01.15G087700.4.p, GmISU01.15G087700.5.p, GmISU01.13G185200.1.p, GmISU01.15G087700.3.p	AH014718-RA
OG0011261	GmISU01.04G101900.1.p, GmISU01.06G271100.2.p, GmISU01.06G271100.3.p, GmISU01.06G271100.1.p, GmISU01.06G271100.4.p	AH012166-RA, AH012168-RA
